 报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),277877,178600,82125,351513,264334,173950,80297,320659,221053,145216,66954,273899,208065,136643,63505, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 收到的税费返还(万元),1261,783,572,885,880,731,575,1794,1662,1123,513,2129,1889,1583,625, 
 收到的其他与经营活动有关的现金(万元),10205,2968,5832,6963,4256,4093,3181,9180,13497,8726,5255,4257,7015,4474,1673, 
 经营活动现金流入小计(万元),289343,182351,88529,359361,269471,178774,84054,331634,236212,155065,72723,280285,216968,142699,65804, 
 购买商品、接受劳务支付的现金(万元),185148,117882,55969,232778,178873,119292,57695,230064,164645,110928,54440,193663,147703,94859,45489, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 支付给职工以及为职工支付的现金(万元),24028,16635,8239,34155,24180,15986,7906,29889,19892,12885,6657,22816,15778,10423,5613, 
 支付的各项税费(万元),21577,14051,6402,25779,20088,13580,5875,20383,15614,10208,4650,17007,13337,9368,4180, 
 支付的其他与经营活动有关的现金(万元),34251,19099,10907,35528,22801,16695,8735,33225,28826,18804,9837,30440,29509,21453,10586, 
 经营活动现金流出小计(万元),265004,167668,81518,328240,245941,165553,80211,313561,228977,152825,75584,263926,206327,136103,65868, 
 经营活动产生的现金流量净额(万元),24339,14683,7011,31122,23530,13221,3843,18073,7235,2240,-2862,16359,10641,6597,-64, 
 收回投资所收到的现金(万元),380,187,107085,2549,2316,2158,1598,7269,4495,3114,594,18315,13999,12782,2671, 
 取得投资收益所收到的现金(万元),248,201,--,4136,2381,560,--,2901,1921,576,400,4442,3225,1776,790, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3289,3299,326,5792,5637,3964,2946,3645,2584,1704,754,1431,903,605,6, 
 处置子公司及其他营业单位收到的现金净额(万元),82295,90991,--,--,--,0,--,0,--,--,0,0,--,--,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,135,--,0,--,0,--,--,9,0,1160,1148,4, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 投资活动现金流入小计(万元),86212,94678,107411,12613,10334,6681,4544,13814,9000,5394,1756,24188,19286,16311,3471, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7483,4693,2001,7663,6518,3207,1100,10239,8399,5458,3171,19486,16833,6971,2475, 
 投资所支付的现金(万元),824,--,--,3471,3727,3688,681,7752,5742,4667,1822,1542,2405,1537,548, 
 质押贷款净增加额(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,0,--,0,--,--,0,0,--,--,0, 
 支付的其他与投资活动有关的现金(万元),--,--,12849,1158,--,0,--,0,--,--,51,0,917,837,928, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 投资活动现金流出小计(万元),8306,4693,14850,12292,10245,6895,1781,17992,14141,10125,5043,21028,20155,9346,3951, 
 投资活动产生的现金流量净额(万元),77905,89985,92561,322,89,-213,2763,-4177,-5141,-4731,-3287,3160,-868,6965,-480, 
 吸收投资收到的现金(万元),9883,--,--,--,--,0,--,2889,2889,2889,2889,198,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),9883,--,--,--,--,0,--,2889,2889,2889,--,198,--,--,--, 
 取得借款收到的现金(万元),23600,17250,13150,25647,20397,16997,8247,23253,10450,7100,3900,24810,18260,11155,6800, 
 发行债券收到的现金(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,0,--,0,--,--,27,1207,998,954,522, 
 筹资活动现金流入小计(万元),33483,17250,13150,25647,20397,16997,8247,26142,13339,9989,6816,26215,19258,12109,7322, 
 偿还债务支付的现金(万元),26550,21150,9350,26904,19334,15787,7834,25449,13855,9105,7205,28080,22950,17965,10120, 
 分配股利、利润或偿付利息所支付的现金(万元),8828,6253,1461,8845,5081,1750,1010,8582,5749,1908,1035,7497,5474,2671,1715, 
 其中：子公司支付给少数股东的股利、利润(万元),4329,2144,--,--,--,1073,665,2910,2491,1086,--,2548,2548,2029,--, 
 支付其他与筹资活动有关的现金(万元),19,19,--,213,112,112,112,2433,2165,2165,2165,334,--,--,0, 
 筹资活动现金流出小计(万元),35397,27422,10811,35962,24527,17649,8956,36465,21769,13178,10405,35911,28424,20636,11835, 
 筹资活动产生的现金流量净额(万元),-1915,-10172,2339,-10316,-4131,-652,-709,-10323,-8430,-3189,-3588,-9696,-9166,-8527,-4513, 
 汇率变动对现金及现金等价物的影响(万元),-6,-9,1,-546,-511,-493,-313,-351,-149,-187,-87,-67,-87,-40,-0, 
 现金及现金等价物净增加额(万元),100324,94487,101912,20581,18977,11862,5584,3222,-6485,-5867,-9825,9757,519,4995,-5058, 
 加:期初现金及现金等价物余额(万元),76344,76344,76344,55763,55763,55763,55763,52541,52541,52541,52541,42784,42784,42784,42784, 
 期末现金及现金等价物余额(万元),176668,170831,178256,76344,74740,67625,61346,55763,46056,46674,42716,52541,43303,47779,37726, 
 净利润(万元),--,48997,0,32181,0,14236,--,21467,--,10375,--,17582,--,8772,--, 
 少数股东损益(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 资产减值准备(万元),--,120,--,2227,--,28,--,2099,--,371,--,539,--,244,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,2682,0,5104,0,2502,--,5290,--,2668,--,4728,--,2169,--, 
