 报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),3845565,2291976,946718,4160896,2842751,1835548,871283,4252490,2982614,1862415,894990,3709880,2458953,1480871,561587,2082713,1530427,880860,442302,1586843,976881,577974,237685,1592668,1079756,672724,190725,619534,420461,237042,115690,378545,270799,164215,45647,328344,259486,180048,72374,257868, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,--,--,--,--,--,0, 
 收到的税费返还(万元),1,--,--,--,2735,--,--,1581,1581,1581,1096,--,33,33,1,1180,1022,0,--,1522,1531,1531,1522,60,135,1,0,2552,266,0,0,5783,3103,3103,3102,3339,3154,3154,--,3129, 
 收到的其他与经营活动有关的现金(万元),788125,495086,258489,851219,684116,387102,153703,474295,419330,286444,108871,560432,297487,138226,82765,526629,353703,239991,45954,265078,199154,145743,28230,354274,125054,82472,51130,88793,89365,74490,80179,175627,44640,19609,10756,122998,89822,60510,24460,16910, 
 经营活动现金流入小计(万元),4633691,2787062,1205206,5012116,3529602,2222650,1024986,4728366,3403524,2150441,1004957,4270311,2756474,1619131,644352,2610521,1885151,1120850,488256,1853444,1177566,725249,267437,1947002,1204945,755197,241855,710878,510092,311532,195869,559955,318542,186926,59505,454681,352462,243712,96834,277907, 
 购买商品、接受劳务支付的现金(万元),3002682,2026176,992001,3988191,2707431,2062511,989623,3177977,2015510,1062205,474945,2346649,1181008,766408,399627,1893945,1398636,933618,351686,1550459,933446,618213,214469,837025,414084,264591,160873,937482,590455,475972,277615,821320,436455,288900,150506,509919,247692,142433,95393,365878, 
