 报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),854142,537377,378849,1159478,932152,643761,273303,939116,581642,374654,191867,565379,424130,285650,135042, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 收到的税费返还(万元),7257,7257,7257,696,0,--,--,2,68,68,--,--,--,0,--, 
 收到的其他与经营活动有关的现金(万元),5012,3037,2272,8882,5988,3511,1607,3533,686,666,545,1262,75,36,19, 
 经营活动现金流入小计(万元),866412,547671,388378,1169055,938140,647273,274911,942651,582397,375388,192411,566641,424205,285686,135060, 
 购买商品、接受劳务支付的现金(万元),1155644,406922,97901,1153409,927981,685446,317961,689262,449346,298041,166336,456206,376421,260700,79802, 
 客户贷款及垫款净增加额(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,0,--,--,--,--,0,--,--,--,0,--, 
