 报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),753047,518618,216121,767847,589281,363119,177002,736452,499801,334725,177684,533758,368958,219098,98173,510995,343321,224131,105433,371598,252556,147391,83235, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到的税费返还(万元),147,147,147,296,246,244,--,862,55,54,--,16,17,16,--,40,33,28,--,92,65,66,24, 
 收到的其他与经营活动有关的现金(万元),109023,33004,25271,55244,67496,44167,24321,47587,49059,43261,29800,39434,26789,15871,6445,34277,11054,7004,6393,29207,2564,4760,1628, 
 经营活动现金流入小计(万元),862217,551769,241538,823387,657023,407530,201323,784901,548915,378039,207484,573208,395764,234984,104618,545312,354409,231163,111826,400897,255185,152217,84886, 
 购买商品、接受劳务支付的现金(万元),774075,478552,213208,598306,540383,327129,174773,615819,413343,283108,179671,434935,339226,207896,103131,465765,323533,217530,115304,322845,233140,142292,87991, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),38462,21290,12185,41295,32940,22137,11367,39061,29478,20510,10692,32686,20592,13274,6475,25603,19075,12009,5856,20332,13155,8037,3922, 
 支付的各项税费(万元),21950,15316,7927,21485,16225,12185,4951,15937,12984,9002,3657,10463,8311,5653,3436,10335,7671,5335,2838,8853,6860,5174,3206, 
 支付的其他与经营活动有关的现金(万元),74888,44197,26813,71575,50752,49777,21976,48891,58990,55993,32204,44385,29473,14799,8838,32097,29014,14874,10615,28037,3876,15575,7292, 
 经营活动现金流出小计(万元),909376,559355,260133,732661,640300,411229,213067,719708,514795,368614,226224,522469,397602,241622,121880,533800,379293,249749,134614,380067,257031,171078,102411, 
 经营活动产生的现金流量净额(万元),-47159,-7586,-18594,90726,16722,-3699,-11744,65193,34120,9425,-18740,50739,-1837,-6637,-17262,11512,-24884,-18586,-22788,20830,-1846,-18860,-17525, 
 收回投资所收到的现金(万元),--,--,--,4381,--,--,--,11280,--,--,--,169,158,158,129,873,593,370,235,1489,18,0,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,12545,--,--,--,14354,14347,2371,71,818,560,245,133,468,250,0,10, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),196,158,72,311,139,104,26,111,91,90,44,41,40,30,22,387,347,227,41,871,753,536,455, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,3369,--,--,--,--,--,--,--,--,--,--,152,--,--,--,--,434,434,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 投资活动现金流入小计(万元),196,158,72,4692,3508,104,26,23936,91,90,44,14564,14545,2559,222,2229,1499,842,410,2827,1455,969,465, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),228777,177368,64081,606129,398173,273469,144258,327077,213320,114600,27282,75733,48098,23353,2846,6337,1557,1432,604,2771,4614,2916,208, 
 投资所支付的现金(万元),--,--,--,532,--,0,--,--,--,--,--,177,158,158,129,2189,1906,--,235,289,18,0,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3526,--,0,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,64,50,25,132,81,--,--,--,--,--,--,7803,--,370,--,--,--,0,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 投资活动现金流出小计(万元),228777,177368,64081,606660,398238,273519,144283,327209,213401,114600,27282,75910,48256,23512,2975,16329,3463,1803,840,6586,4633,2916,208, 
 投资活动产生的现金流量净额(万元),-228581,-177209,-64009,-601968,-394730,-273416,-144257,-303273,-213310,-114509,-27238,-61346,-33710,-20953,-2752,-14100,-1963,-960,-430,-3758,-3178,-1947,257, 
 吸收投资收到的现金(万元),9217,9217,--,62255,39690,31360,15680,32095,14700,--,--,--,--,0,--,24500,24500,--,--,--,--,0,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),9217,9217,--,62255,--,31360,--,32095,--,--,--,--,--,--,--,24500,--,--,--,--,--,0,--, 
 取得借款收到的现金(万元),284950,254950,39000,578210,351400,221600,88800,455900,244800,97400,17400,106197,43031,26000,--,137300,102700,48000,3000,97977,67955,57055,42555, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到其他与筹资活动有关的现金(万元),14065,14044,76,15117,81,50,22,138,119,81,40,654,--,--,--,55,2,--,--,--,--,0,--, 
 筹资活动现金流入小计(万元),308232,278211,39076,655582,391171,253010,104502,488133,259619,97481,17440,106851,43031,26000,--,161855,127202,48000,3000,97977,67955,57055,42555, 
 偿还债务支付的现金(万元),51000,35000,--,99500,65400,37000,2000,173759,51776,31359,136,53000,21536,6000,--,133550,100950,67000,31250,72461,59111,46961,33811, 
 分配股利、利润或偿付利息所支付的现金(万元),41021,25361,11625,31527,19839,12423,5688,12398,7822,4865,1873,7892,4231,2607,1223,3457,2270,1148,471,4221,2736,1022,514, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36,--,--,--,--,--,0,--, 
 支付其他与筹资活动有关的现金(万元),4645,323,--,--,--,--,0,800,800,800,800,323,--,--,--,--,--,--,--,236,122,122,122, 
 筹资活动现金流出小计(万元),96665,60684,11625,131027,85239,49423,7688,186957,60399,37024,2808,61215,25767,8607,1223,137007,103220,68148,31721,76918,61969,48105,34447, 
 筹资活动产生的现金流量净额(万元),211566,217527,27450,524555,305932,203587,96813,301176,199221,60457,14632,45636,17264,17393,-1223,24848,23982,-20148,-28721,21059,5986,8950,8108, 
 汇率变动对现金及现金等价物的影响(万元),-12,-8,-4,-16,-7,-2,--,-1,-1,-0,--,-3,--,--,--,-7,--,-2,--,-1,-1,-1,--, 
 现金及现金等价物净增加额(万元),-64186,32723,-55156,13297,-72083,-73529,-59187,63094,20030,-44627,-31346,35026,-18284,-10197,-21237,22253,-2866,-39696,-51939,38130,962,-11857,-9161, 
 加:期初现金及现金等价物余额(万元),220260,220260,220260,206963,207063,207063,207063,143868,143868,143868,143868,108843,108843,108843,108843,86590,86590,--,86590,48460,48460,0,48460, 
 期末现金及现金等价物余额(万元),156074,252983,165104,220260,134980,133534,147876,206963,163898,99241,112522,143868,90559,98646,87606,108843,83724,--,34651,86590,49422,0,39299, 
 净利润(万元),--,9371,--,17698,--,7727,--,12407,--,5705,0,9601,0,4547,--,8850,--,4688,--,7553,--,3773,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,165,--,--,--,93,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 资产减值准备(万元),--,-342,--,2195,--,210,--,2489,--,-161,--,1584,--,193,--,1870,--,42,--,-90,--,-83,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,6273,--,11390,--,6576,--,8304,--,2878,0,6288,0,2463,--,6254,--,2643,--,6614,--,3347,--, 
 无形资产摊销(万元),--,2414,--,9,--,9,--,5,--,1,--,--,--,1329,--,80,--,1242,--,112,--,56,--, 
