 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),2250,1777,524,3617,3268,2687,1701,6695,2959,1163,23714,14493,11497,7926,30456,16977,8585,6109,16317,14669,9335,4400,37660,21685,14121,6668,43004,39735,34337,30190,28126, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,427,417,96,96,799,545,545,207,207,207,--,637,441,132,88,556,446,206,29,598,361,263,52,600,662,619,511,546, 
 收到的其他与经营活动有关的现金(万元),399,313,269,560,830,692,336,4668,3677,3449,394,2851,1248,286,17973,10526,9503,1345,786,1888,1437,331,1394,510,332,49,2710,1961,2687,2240,2322, 
 经营活动现金流入小计(万元),2649,2090,793,4604,4514,3475,2133,12161,7181,5157,24314,17551,12952,8212,49065,27944,18219,7541,17659,17004,10978,4761,39652,22557,14717,6770,46314,42359,37644,32941,30994, 
 购买商品、接受劳务支付的现金(万元),778,534,178,1853,1539,1197,805,2633,2595,1809,22703,9480,8251,1189,22299,24316,14375,4236,21497,19389,15505,9356,26380,19794,15976,8672,32073,26946,24790,21147,23539, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),949,743,327,1718,1242,835,456,1914,1031,551,2298,1929,1335,619,2939,2326,1639,900,2898,2047,1290,645,3009,2091,1334,746,2818,2647,2096,1633,1434, 
 支付的各项税费(万元),112,64,33,599,307,250,202,506,343,239,1769,1444,1385,604,2438,2318,1292,443,3702,3018,2447,1018,3265,2465,1764,895,2665,2831,1942,2496,1797, 
 支付的其他与经营活动有关的现金(万元),1096,851,458,1287,1276,1091,439,5166,2706,2231,7438,5200,3313,3569,19456,12568,11007,2473,4742,9828,8702,7933,2902,2225,1125,1302,3153,4065,2881,3437,1599, 
 经营活动现金流出小计(万元),2935,2192,996,5457,4364,3373,1902,10220,6675,4829,34208,18053,14284,5981,47132,41528,28313,8051,32838,34282,27944,18952,35556,26575,20199,11614,40708,36488,31708,28712,28369, 
 经营活动产生的现金流量净额(万元),-286,-103,-203,-853,150,102,231,1942,506,328,-9893,-503,-1332,2231,1933,-13584,-10093,-510,-15179,-17278,-16966,-14191,4096,-4019,-5483,-4844,5605,5871,5935,4229,2625, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,0,0,--,--,7,--,--,11,11,9,--,268,268,--,--,7,2,--,--,497,497,497,--,2,31,501,44,138, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,0,0,7,0,0,11,11,9,0,268,268,0,0,7,2,0,0,497,497,497,0,2,31,501,44,138, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),--,--,--,1,1,1,1,10,--,--,681,666,660,133,340,377,377,377,2236,1648,1316,361,1129,1025,546,1094,1273,597,7237,4009,2969, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,-2,7057,4978,--,--,--,228,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),0,0,0,1,1,1,1,10,0,0,681,666,660,132,7397,5354,377,377,2236,1876,1316,361,1129,1025,546,1094,1273,597,7237,4009,2969, 
 投资活动产生的现金流量净额(万元),0,0,0,-1,-0,-1,-1,-4,0,0,-671,-655,-651,-132,-7129,-5086,-377,-377,-2229,-1875,-1316,-361,-632,-528,-49,-1094,-1271,-566,-6736,-3965,-2831, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,2397,--,--,--,23011,228,--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,15187,10516,10516,9916,39500,32500,32500,15000,26290,21290,19290,17000,16000,16000,13600,8000,19800,14456,12000,9000,5895, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63,23011,23011,23011,450,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,0,15187,10516,10516,9916,41897,32500,32500,15000,49364,44529,42301,40011,16450,16000,13600,8000,19800,14456,12000,9000,5895, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,1916,1916,--,13008,13074,13008,7500,35190,28206,22706,12000,25000,17400,14500,13500,15500,10500,10000,6000,21900,11346,5110,4720,2425, 
 分配股利、利润或偿付利息所支付的现金(万元),0,0,0,0,--,--,--,92,56,35,1049,804,569,290,2225,1358,1058,218,2657,2311,1965,360,1643,1185,821,358,1819,1293,865,456,347, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,11788,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
