 报告日期,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),25417,4433,60541,56999,41882,13989,201562,154464,71754,25811,94070,55067,18664, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,0,--,0,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 收到的税费返还(万元),--,--,--,0,--,--,0,--,0,--,--,0,--, 
 收到的其他与经营活动有关的现金(万元),4122,143,6981,6168,5980,464,8165,8284,7353,3758,6009,730,830, 
 经营活动现金流入小计(万元),29539,4576,67522,63167,47862,14453,209727,162748,79106,29568,100079,55798,19494, 
 购买商品、接受劳务支付的现金(万元),5150,3911,25444,23135,18623,12759,58855,48923,34768,18706,62053,36088,21795, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),831,538,1671,1211,862,650,1485,1015,708,416,997,554,291, 
 支付的各项税费(万元),6098,487,38608,37764,33931,11672,20470,16280,9919,3081,13148,10286,575, 
 支付的其他与经营活动有关的现金(万元),710,434,5044,4021,3289,600,9614,8221,5078,14478,3996,1498,470, 
 经营活动现金流出小计(万元),12789,5370,70768,66131,56706,25680,90424,74439,50473,36682,80193,48426,23132, 
 经营活动产生的现金流量净额(万元),16750,-794,-3246,-2964,-8844,-11226,119303,88309,28633,-7113,19886,7372,-3638, 
 收回投资所收到的现金(万元),965,955,10,3,3,3,999,344,299,152,619,45,27, 
 取得投资收益所收到的现金(万元),728,125,600,606,606,6,0,342,204,149,200,32,5, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,4,5,5,5,12,--,0,--,34,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,0,--,0,--,271,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,360,--,0,--,252,0,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 投资活动现金流入小计(万元),1693,1080,614,614,614,14,1372,686,503,301,1377,76,32, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),12,1,200,156,151,147,204,160,49,13,143,102,21, 
 投资所支付的现金(万元),10,--,203,10203,8503,3,1292,12181,11197,173,801,277,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,10000,--,--,--,39000,--,0,--,25,0,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,0,--,0,--,242,0,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 投资活动现金流出小计(万元),22,1,10403,10359,8654,151,40496,12342,11246,187,1211,380,21, 
 投资活动产生的现金流量净额(万元),1671,1079,-9789,-9745,-8040,-136,-39124,-11656,-10743,114,166,-303,11, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 取得借款收到的现金(万元),--,--,22500,19000,--,--,48000,41500,22500,19000,85500,72000,67000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 筹资活动现金流入小计(万元),--,0,22500,19000,--,--,48000,41500,22500,19000,85500,72000,67000, 
 偿还债务支付的现金(万元),--,--,54000,27000,6100,--,77500,72500,14500,10500,86010,56300,51000, 
 分配股利、利润或偿付利息所支付的现金(万元),737,373,3735,3037,1946,1000,15941,5919,3684,1466,9570,3255,1546, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 筹资活动现金流出小计(万元),737,373,57735,30037,8046,1000,93441,78419,18184,11966,95579,59555,52546, 
 筹资活动产生的现金流量净额(万元),-737,-373,-35235,-11037,-8046,-1000,-45441,-36919,4316,7034,-10079,12445,14454, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 现金及现金等价物净增加额(万元),17683,-87,-48270,-23746,-24930,-12363,34737,39734,22206,34,9972,19514,10827, 
 加:期初现金及现金等价物余额(万元),8340,8395,56610,56733,56733,56733,21873,--,0,21923,11901,0,11951, 
 期末现金及现金等价物余额(万元),26023,8308,8340,32988,31804,44371,56610,--,0,21958,21873,0,22779, 
 净利润(万元),7745,0,52729,0,44491,--,21578,2456,2207,--,27192,12029,--, 
 少数股东损益(万元),--,--,--,--,--,--,22290,--,0,--,--,0,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 资产减值准备(万元),149,--,173,--,131,--,55,75,43,--,70,53,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),158,0,371,0,183,--,183,173,116,--,171,132,--, 
 无形资产摊销(万元),1,--,1,--,1,--,1,6,4,--,2,3,--, 
 长期待摊费用摊销(万元),5,--,12,--,6,--,14,6,4,--,107,13,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 预提费用的增加(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,-2,--,-2,--,10,--,0,--,117,0,--, 
 固定资产报废损失(万元),--,--,0,--,--,--,0,--,0,--,0,0,--, 
 公允价值变动损失(万元),-100,--,-1,--,--,--,0,-69,-25,--,-43,-14,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 预计负债(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 财务费用(万元),737,--,2968,--,1660,--,1554,788,492,--,627,379,--, 
 投资损失(万元),-1470,--,-1455,--,-1151,--,-448,-243,-172,--,-177,-23,--, 
 递延所得税资产减少(万元),-33,--,-109,--,-20,--,-181,-4,-79,--,-61,-32,--, 
 递延所得税负债增加(万元),--,0,--,0,--,--,-15,-85,-7,--,14,0,--, 
 存货的减少(万元),3269,--,34638,--,32202,--,5732,-18033,-19995,--,7166,9245,--, 
 经营性应收项目的减少(万元),-33,0,302,0,-8,--,-1489,-3387,-892,--,-49,-75,--, 
 经营性应付项目的增加(万元),6321,0,-92874,0,-86337,--,70252,106627,46936,--,-15101,-14340,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 其他(万元),--,--,--,--,--,--,-232,--,0,--,-150,0,--, 
 经营活动产生现金流量净额(万元),16750,--,-3246,--,-8844,--,119303,88309,28633,--,19886,7372,--, 
 债务转为资本(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 现金的期末余额(万元),26023,8308,8340,32988,31804,44371,56610,61608,44129,21958,21873,31416,22779, 
 现金的期初余额(万元),8340,8395,56610,56733,56733,56733,21873,21873,21923,21923,11901,11901,11951, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,0,--,0,--,--,0,--, 
 现金及现金等价物的净增加额(万元),17683,-87,-48270,-23746,-24930,-12363,34737,39734,22206,34,9972,19514,10827, 

