 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),16196,119665,86945,53396,22384,94635,63652,39061,17366,72066,51252,31136,13871,71337,54752,36570,17048,66492,48883,30147,12616,63813,49318,32270,14918,73473,58044,36484,16967,97379,68153,41612,20416,80501,59831,38903,16485,79427,61077,45763,21287,81862,60347,38521,18124,77627,57847,33648,14725, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 收取利息、手续费及佣金的现金(万元),121,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 收到的税费返还(万元),120,395,344,135,58,28,3,--,--,--,--,--,103,--,--,--,64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 收到的其他与经营活动有关的现金(万元),559,20973,17975,6257,487,3850,2928,1894,1033,10343,8867,4544,4845,18018,11538,8175,3359,5557,4855,2060,963,7859,5431,5378,1664,7084,4070,3765,1821,844,3802,2517,258,903,1157,478,46,334,1257,495,271,409,485,301,38,1081,1030,516,539, 
 经营活动现金流入小计(万元),16997,141033,105264,59788,22929,98512,66583,40955,18399,82409,60119,35680,18819,89354,66290,44745,20471,72049,53738,32206,13579,71672,54749,37649,16582,80557,62114,40249,18788,98224,71955,44130,20674,81404,60988,39380,16532,79761,62335,46258,21558,82271,60833,38822,18162,78708,58877,34164,15264, 
 购买商品、接受劳务支付的现金(万元),1735,12340,7985,5707,2970,13586,8337,4809,2334,16927,9010,3404,1445,16541,7976,4008,2633,8795,6119,3831,2389,13092,8432,4595,3442,19512,18425,11783,5976,38973,26310,13063,6161,23932,17222,11085,4166,25893,19210,11442,5203,19605,14228,8683,5355,20930,14430,7216,3516, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 支付给职工以及为职工支付的现金(万元),5794,16450,13091,9174,4335,16351,11563,8207,4890,14663,11206,7656,4775,14654,10632,7391,4318,19362,17137,12805,10274,13021,9725,6720,3302,12598,8803,5789,2911,11724,9427,6184,3093,10104,9112,5029,2807,8267,7039,4139,2174,6607,5015,3504,1866,6365,4805,3160,1685, 
 支付的各项税费(万元),2995,12856,11411,7727,1774,10529,8644,4920,1170,8573,6168,5239,1308,10548,8853,6217,2209,11751,8727,5220,2082,9080,8092,5117,1861,10406,7788,5244,1724,10665,8937,6320,1746,12311,9429,6206,2596,11798,10100,6192,971,17625,12973,7855,3210,14415,10065,6803,3642, 
 支付的其他与经营活动有关的现金(万元),30996,4392,2545,1459,2066,4510,3844,2371,974,10615,11945,8332,5925,5930,11478,7748,3488,9079,9847,7052,6023,4260,33396,2789,870,5214,2915,1858,1089,3652,5978,1601,1328,2972,2202,1570,676,2734,2488,1646,508,3095,3153,1440,1371,3163,2478,1121,1040, 
 经营活动现金流出小计(万元),41520,46038,35033,24067,11146,44977,32387,20307,9367,50778,38329,24630,13453,47673,38938,25364,12648,48988,41830,28908,20768,39453,59645,19221,9476,47729,37931,24674,11700,65014,50652,27169,12327,49318,37966,23890,10245,48693,38837,23418,8856,46932,35369,21482,11802,44873,31777,18299,9883, 
 经营活动产生的现金流量净额(万元),-24523,94994,70231,35722,11783,53536,34196,20648,9032,31631,21790,11051,5366,41681,27351,19381,7822,23062,11908,3298,-7189,32219,-4895,18427,7107,32828,24183,15575,7087,33210,21303,16961,8347,32086,23023,15490,6286,31068,23497,22840,12701,35339,25464,17341,6360,33835,27100,15865,5381, 
 收回投资所收到的现金(万元),--,2869,1637,1637,1037,3098,1659,156,--,26284,24406,23286,21891,69783,58315,42435,29905,141675,92182,50237,3337,138884,168400,106652,10000,14958,5684,684,684,4292,4000,4000,--,11050,4984,373,524,20693,14642,750,360,14904,5758,6384,2810,35259,5842,511,3, 
 取得投资收益所收到的现金(万元),--,515,515,93,--,1834,451,295,--,1375,900,504,428,3076,2290,1596,3003,3259,2098,1014,9,3350,479,360,86,1442,1442,822,539,1712,1694,1680,539,2305,3341,2281,--,2329,2632,2488,26,7304,4119,2875,2451,1343,164,138,51, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,77,34,34,--,31,7,2,1,18,12,5,0,362,142,136,44,156,83,76,52,-6,0,0,0,0,--,--,--,10,10,10,11,227,89,85,60,1,1,1,--,1,0,0,1,196,121,121,11, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,684,--,--,--,211,--,0,--,--,1386,1386,--,--,--,--,--,3500,3500,--,--,0,0,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,2,44,44,30,1,4,0,0,1,50,50,50,--,188,127,32066,228,1707,1438,74,2823,1246,1242,93,4486,1680,1622,49,5805,3970,3905,120,897,803,690,56,1450,1198,1014,905, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 投资活动现金流入小计(万元),0,3460,2186,1764,1037,4963,2117,453,1,27679,25363,23839,22350,73221,60751,44167,32952,145091,94414,51376,3448,142228,169067,107140,42152,17313,8833,2944,1297,9048,6950,6932,642,18067,11480,5746,633,28827,21244,7144,507,26607,14181,9949,5318,38248,7325,1784,969, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),904,10933,1164,608,312,30133,6345,4554,1644,45833,32217,29089,499,107278,651,345,221,2900,2316,1754,1437,11719,7840,4962,793,9603,5073,4733,3377,11324,5332,1614,1121,4304,2784,2605,975,17112,15294,8539,2072,12949,8331,4523,2301,1878,2161,1487,425, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,13645,12895,11995,10795,63974,57853,25219,10415,160989,124354,75774,3350,145798,162850,114250,10000,36900,26500,15000,--,8983,4983,4983,4611,9979,9882,4912,4700,26995,25526,10631,9958,9645,9057,6140,5594,32980,20900,20322,20000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,500,500,500,9814,--,--,--,22036,--,--,--,--,5290,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,1760,1273,1273,1260,1750,159,--,--,2101,--,--,--,29414,--,--,58550,--,--,--,--,1548,--,0,--,--,100,100,50,--,--,--,--,0,--,--,--,0,0,--,--, 
