报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),4621,5019,6205,3405,1786,1625,1516,2561,2691,1852,2089,2553,
结算备付金(万元),0,0,--,--,0,0,0,--,--,0,--,0,
拆出资金(万元),0,0,--,--,0,0,0,--,--,0,--,0,
交易性金融资产(万元),0,0,0,--,0,0,0,0,--,0,722,53,
衍生金融资产(万元),--,0,--,--,--,0,--,--,--,--,--,0,
应收票据(万元),3404,2913,1904,2212,2697,2624,2192,1712,2115,1615,1091,1377,
应收账款(万元),8681,9535,10044,6825,9938,10020,9630,10196,13044,12398,12463,13429,
预付款项(万元),777,1405,1182,1074,422,511,227,1702,1165,458,909,1169,
应收保费(万元),0,0,--,--,0,0,0,--,--,0,--,0,
应收分保账款(万元),0,0,--,--,0,0,0,--,--,0,--,0,
应收分保合同准备金(万元),0,0,--,--,0,0,0,--,--,0,--,0,
应收利息(万元),0,0,0,--,0,0,0,--,--,0,--,0,
应收股利(万元),--,0,0,--,--,0,--,--,--,--,--,0,
其他应收款(万元),1276,2412,1563,3100,1932,1475,3099,2260,1881,3460,4933,2779,
应收出口退税(万元), --,0,--,--,--,0,--,--,--,--,--,0,
应收补贴款(万元),--,0,--,--,--,0,--,--,--,--,--,0,
应收保证金(万元),--,0,--,--,--,0,--,--,--,--,--,0,
内部应收款(万元),--,0,--,--,--,0,--,--,--,--,--,0,
买入返售金融资产(万元),0,0,--,--,0,0,0,--,--,0,--,0,
存货(万元),6096,6648,7229,8322,8583,9115,9570,9001,7334,6170,6272,6700,
待摊费用(万元),--,0,--,--,--,0,--,--,--,--,--,0,
待处理流动资产损益(万元),--,0,--,--,--,0,--,--,--,--,--,0,
一年内到期的非流动资产(万元),0,0,0,--,0,0,0,--,--,0,--,0,
其他流动资产(万元),4,0,3,--,7,8,12,--,14,17,17,0,
流动资产合计(万元),24858,27932,28130,24939,25365,25377,26247,27432,28244,25970,28496,28060,
发放贷款及垫款(万元),0,0,--,--,0,0,0,--,--,0,--,0,
可供出售金融资产(万元),15425,17592,16158,9341,13403,13768,22223,24360,--,0,--,12405,
持有至到期投资(万元),0,0,0,--,0,0,0,0,2,2,2,2,
长期应收款(万元),0,0,0,--,0,0,0,--,--,0,--,0,
长期股权投资(万元),2757,2757,2757,2757,2757,2757,2757,2757,7714,7714,10283,2907,
其他长期投资(万元),--,0,--,--,--,0,--,--,--,--,--,0,
投资性房地产(万元),5680,5736,5834,5846,1137,1100,1162,1174,--,0,--,1232,
固定资产原值(万元),--,32070,--,32123,--,37663,--,36646,--,43019,--,37641,
累计折旧(万元),--,12635,--,12253,--,18182,--,16846,--,19945,--,16389,
固定资产净值(万元),--,19436,--,19870,--,19481,--,19801,--,23074,--,21252,
固定资产减值准备(万元),--,4651,--,4651,--,4689,--,4689,--,4792,--,4792,
固定资产(万元),14119,14784,15144,15218,14526,14792,14900,15112,17995,18282,18193,16460,
在建工程(万元),1969,38,602,198,5921,4597,3136,2544,1837,1567,2411,1046,
工程物资(万元),0,0,0,--,0,0,0,--,--,0,--,0,
固定资产清理(万元),-33,0,-7,--,-0,0,0,--,4,-10,-0,0,
生产性生物资产(万元),0,0,0,--,0,0,0,--,--,0,--,0,
公益性生物资产(万元),--,0,--,--,--,0,--,--,--,--,--,0,
油气资产(万元),0,0,0,--,0,0,0,--,--,0,--,0,
无形资产(万元),4516,4539,4704,4716,5441,5453,5439,5461,2698,2620,2655,5426,
开发支出(万元),0,0,0,--,0,0,0,--,--,0,--,0,
商誉(万元),0,0,0,--,0,0,0,--,--,0,--,0,
长期待摊费用(万元),172,172,0,--,0,0,0,--,--,0,5,0,
股权分置流通权(万元),--,0,--,--,--,0,--,--,--,--,--,0,
递延所得税资产(万元),2796,2785,1700,1700,1653,1653,1653,1653,1459,1459,1459,1434,
其他非流动资产(万元),0,0,0,--,0,0,0,--,--,0,--,0,
非流动资产合计(万元),47401,48404,46893,39777,44839,44119,51271,53061,31709,31633,35007,40913,
资产总计(万元),72260,76336,75023,64716,70204,69496,77517,80493,59953,57603,63503,68973,
短期借款(万元),15800,14600,18140,17390,13320,12020,11070,11070,12000,11240,11710,16877,
向中央银行借款(万元),0,0,--,--,0,0,0,--,--,0,--,0,
吸收存款及同业存放(万元),0,0,--,--,0,0,0,--,--,0,--,0,
拆入资金(万元),0,0,--,--,0,0,0,--,--,0,--,0,
交易性金融负债(万元),0,0,0,0,0,0,0,--,--,0,--,0,
衍生金融负债(万元),--,0,--,--,--,0,--,--,--,--,--,0,
应付票据(万元),0,0,0,--,0,0,0,--,--,0,--,0,
应付账款(万元),1108,2829,4088,4168,2831,3337,3277,4466,4846,3743,4461,4849,
预收账款(万元),1373,1711,1814,2855,3495,3546,3142,3812,3204,2061,2323,2790,
卖出回购金融资产款(万元),0,0,--,--,0,0,0,--,--,0,--,0,
应付手续费及佣金(万元),0,0,--,--,0,0,0,--,--,0,--,0,
应付职工薪酬(万元),216,285,360,362,435,426,832,481,910,961,873,1137,
应交税费(万元),879,1058,915,294,821,766,558,466,415,393,385,791,
应付利息(万元),0,0,0,--,0,0,0,--,--,0,--,0,
应付股利(万元),151,151,151,151,151,151,151,151,--,--,--,151,
其他应交款(万元),--,0,--,--,--,0,--,--,--,--,--,0,
应付保证金(万元),--,0,--,--,--,0,--,--,--,--,--,0,
内部应付款(万元),--,0,--,--,--,0,--,--,--,--,--,0,
其他应付款(万元),6740,9658,6535,4814,11673,12066,13239,14501,8258,9117,11881,14577,
预提费用(万元),--,0,--,--,--,0,--,--,--,--,--,0,
预计流动负债(万元),--,0,--,--,--,0,--,--,--,--,--,0,
应付分保账款(万元),0,0,--,--,0,0,0,--,--,0,--,0,
保险合同准备金(万元),0,0,--,--,0,0,0,--,--,0,--,0,
代理买卖证券款(万元),0,0,--,--,0,0,0,--,--,0,--,0,
代理承销证券款(万元),0,0,--,--,0,0,0,--,--,0,--,0,
国际票证结算(万元),--,0,--,--,--,0,--,--,--,--,--,0,
国内票证结算(万元),--,0,--,--,--,0,--,--,--,--,--,0,
递延收益(万元),--,0,--,--,--,0,--,--,--,--,--,0,
应付短期债券(万元),--,0,--,--,--,0,--,--,--,--,--,0,
一年内到期的非流动负债(万元),0,0,0,--,0,0,0,--,--,0,--,0,
其他流动负债(万元),1,0,-38,--,255,368,262,--,87,90,190,0,
流动负债合计(万元),26268,30292,31967,30035,32983,32681,32530,34947,29719,27605,31825,41172,
长期借款(万元),2000,2000,2000,2000,0,0,0,--,--,0,--,0,
应付债券(万元),0,0,0,--,0,0,0,--,--,0,--,0,
长期应付款(万元),0,0,0,--,0,0,0,--,--,0,--,0,
专项应付款(万元),0,0,0,--,0,0,0,--,158,188,30,0,
预计非流动负债(万元),0,0,0,0,1199,1199,1199,1188,4759,4759,3609,1570,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),2870,3368,2966,1230,2503,2567,4674,4882,0,0,--,1158,
其他非流动负债(万元),0,0,0,--,0,0,0,--,--,0,--,0,
非流动负债合计(万元),4870,5368,4966,3230,3702,3765,5873,6069,4918,4948,3639,2728,
负债合计(万元),31138,35660,36933,33265,36684,36446,38403,41016,34637,32553,35463,43900,
实收资本(或股本)(万元),21559,21559,21559,21559,21559,21559,21559,21559,21559,21559,21559,21559,
资本公积(万元),19684,21117,19884,14677,17724,17915,24256,25590,11038,11038,11300,15496,
减:库存股(万元),0,0,0,--,0,0,0,--,0,0,--,0,
专项储备(万元),--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),0,0,0,--,0,0,0,--,1256,1256,1126,0,
一般风险准备(万元),0,0,--,--,0,0,0,--,--,0,--,0,
未确定的投资损失(万元),--,0,--,--,--,0,--,--,--,--,--,0,
未分配利润(万元),-4325,-6012,-6838,-7931,-8798,-9246,-9367,-10149,-10992,-11165,-8521,-14181,
拟分配现金股利(万元),--,0,--,--,--,0,--,--,--,--,--,0,
外币报表折算差额(万元),0,0,0,--,0,0,0,--,--,0,--,0,
归属于母公司股东权益合计(万元),36918,36665,34605,28305,30486,30228,36448,37001,22861,22688,25464,22874,
少数股东权益(万元),4204,4012,3485,3147,3034,2822,2666,2475,2456,2363,2576,2199,
所有者权益(或股东权益)合计(万元),41122,40677,38090,31452,33519,33050,39114,39476,25316,25050,28040,25074,
负债和所有者权益(或股东权益)总计(万元),72260,76336,75023,64716,70204,69496,77517,80493,59953,57603,63503,68973,		
  
