报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
存货(万元),--,--,--,--,7,7,7,4,2,5,2,3,--,13,16,9,565,548,541,551,563,573,576,552,1264,1273,2551,1667,3005,3635,1777,12499,14219,15151,12164,19422,13882,18045,15449,12870,12944,13124,12421,13750,11601,11599,11361,12115,9338,9153,9647,9450,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
其他流动资产(万元),--,--,--,--,85278,85278,85278,85278,85278,85278,85278,85278,85278,85278,85278,85278,75571,85459,85459,85459,85422,85422,85422,85422,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
流动资产合计(万元),5550,5548,5549,5553,95274,95304,95321,95606,96311,96380,96385,96575,152594,152570,152589,152847,200829,218196,218435,218530,216115,212180,212905,213144,208744,206154,206798,204885,231828,213377,232120,220927,273967,246780,248217,249105,257741,255129,222002,192888,24468,27898,23504,28151,27735,24314,27962,29180,29644,34656,50056,45844,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,100,100,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,193,273,273,273,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,6475,11220,11427,11548,11748,11876,7115,7243,7371,7499,7627,7755,7883,8011,8226,7708,7765,7821,8330,4742,--,8048,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,106595,--,106624,--,107105,--,107085,--,107083,--,107081,--,107535,--,107531,--,107492,--,107351,--,107160,--,106980,--,106256,--,106254,--,106247,--,106232,--,119611,--,129605,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15988,--,15193,--,14480,--,13648,--,12421,--,11975,--,11407,--,10639,--,9442,--,8517,--,7600,--,6717,--,5551,--,4918,--,3772,--,3198,--,3795,--,5925,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,90607,--,91431,--,92625,--,93437,--,94661,--,95107,--,96128,--,96892,--,98050,--,98834,--,99555,--,100264,--,100704,--,101335,--,102475,--,103034,--,115816,--,123680,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,
固定资产(万元),--,61,--,75,--,--,86490,86829,87165,87510,87857,88204,88600,88948,89300,89652,90054,90607,91028,91431,91845,92625,93012,93437,93853,94661,94411,95107,96070,96128,96346,96892,98017,98050,98605,98834,99158,99555,99935,100264,100292,100704,101021,101335,101767,102475,102760,103034,115204,115816,137308,123680,
在建工程(万元),--,--,--,--,--,--,258,258,258,258,178,178,178,178,178,178,320,109112,109112,109039,109092,109077,108957,108764,108992,108892,109599,108565,108766,108293,105484,105083,96508,87066,67948,67855,62017,61737,48234,38405,8,6,6,6,7,3646,3646,3646,4,--,1,1,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,14,14,14,14,14,14,14,14,14,14,680,224,225,175,167,1176,1027,995,770,493,6,6,--,0,--,--,--,--,--,--,--,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
无形资产(万元),313,313,313,313,4268,4268,4268,4312,4339,4376,4395,4439,4483,4511,4538,4566,4736,5153,5162,5208,5267,5295,5341,5423,5504,5585,5667,5747,5902,5910,5991,6072,6228,6235,6356,6397,6484,6555,6639,6717,5934,6008,6106,6155,6229,6308,6377,6450,406,410,411,6635,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,954,954,954,954,--,954,954,954,954,954,954,954,954,954,954,954,954,954,1240,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,1827,--,--,--,11522,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
递延所得税资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,682,682,682,682,682,682,682,682,682,682,682,682,178,178,194,231,369,369,369,369,140,97,37,37,20,20,20,20,69,86,87,87,214,214,--,169,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
非流动资产合计(万元),370,374,384,388,91001,91006,91015,91398,91762,92144,92429,92820,94215,94590,94970,95349,95792,206523,206951,207328,207854,208646,208960,209273,209999,210787,211327,211068,212550,211687,216054,221600,214651,206370,187980,188252,177611,177607,164150,154855,115809,116421,116964,117455,118224,122150,122561,122965,124350,121455,137993,150327,
资产总计(万元),5920,5923,5933,5942,186275,186310,186337,187004,188073,188524,188814,189395,246809,247160,247559,248197,296621,424719,425387,425857,423970,420826,421865,422417,418743,416941,418125,415954,444378,425064,448174,442527,488618,453150,436197,437357,435352,432736,386151,347743,140278,144319,140468,145606,145959,146464,150523,152146,153993,156110,188048,196171,
短期借款(万元),12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,20105,20105,20105,20191,20991,20991,20991,21296,21296,24996,24496,19846,20100,20400,18100,11000,11000,10200,26200,29200,21700,17000,1600,2800,2800,2800,7300,2800,4500,4500,4500,4200,3600,3900,3900,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3714,3714,3714,3714,3714,3714,3714,3714,2800,--,--,--,7500,25780,16580,20580,48780,54780,26500,40000,31800,27000,2000,0,--,0,--,--,--,--,--,--,3600,3600,3600,3600,
应付账款(万元),22771,22771,--,22771,--,23782,23782,23753,23757,23724,23627,23613,23539,23544,23526,23525,19785,22016,21867,21867,21953,21943,21885,21920,22974,22767,20312,23366,33081,9516,20044,17439,56453,25358,16591,12720,14317,12246,2291,1952,2435,6715,3136,3666,4873,5514,6309,4634,3965,4376,4055,4192,
预收账款(万元),--,--,--,--,114,114,114,114,142,140,141,118,14999,15027,15088,15089,15190,10799,10903,10903,10878,10913,10916,10918,9635,9635,9614,10268,8191,13244,14930,10052,7370,9131,2784,2691,10533,15702,7688,2332,935,685,772,950,226,159,247,5421,4253,1922,2425,2215,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付职工薪酬(万元),478,457,431,422,2191,2186,2189,2181,1199,1486,1499,1439,1664,1587,1412,1308,1236,1430,1342,1149,942,737,723,578,517,81,374,612,233,388,470,510,216,178,51,157,205,168,243,227,154,192,189,248,211,191,208,228,287,319,313,356,
应交税费(万元),854,857,857,862,953,953,954,960,932,925,924,937,919,909,893,906,3555,3554,3554,3554,3554,3554,3555,3587,4216,3551,3260,3535,3730,3505,4186,3433,2946,3416,3736,1883,3090,2351,2719,3008,2925,2743,2815,2551,2842,2717,2606,2283,3923,8272,6444,5783,
应付利息(万元),6886,6886,--,6886,--,6886,6886,6886,6886,6886,6886,6886,5616,5519,5325,5325,3824,3872,3872,3627,3045,2782,2393,2131,1798,1388,1091,1061,9,67,46,48,--,--,--,44,25,25,31,0,84,355,267,266,490,384,287,287,--,--,--,249,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,200,560,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
其他应付款(万元),--,51146,--,50997,--,53410,53344,53302,53318,53255,53170,53117,35828,35684,35686,35560,67937,73577,73400,73194,49840,50236,50549,50320,40028,42948,43152,37397,52844,33633,50758,50550,37756,25253,52261,29644,20678,27673,29886,14733,2606,1875,1527,1778,3010,3595,7281,5826,8582,7828,46265,44982,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,2800,2800,2800,2800,--,--,92,0,
其他流动负债(万元),--,--,--,--,6886,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
流动负债合计(万元),94216,94115,94067,93936,99367,99330,99269,99196,98233,98415,98246,98108,94565,94270,93930,93712,127239,139068,138756,138113,114116,114870,114725,114159,103265,101666,102799,100735,125435,106232,127614,121270,164521,129117,112124,113339,109848,106867,61858,23852,11939,15365,11506,16760,17251,19860,24238,25979,28810,29916,67093,65277,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,511,511,517,517,1197,1197,1197,4379,4498,4918,4757,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
专项应付款(万元),--,--,--,--,--,-11,-11,--,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
预计非流动负债(万元),362326,362326,360922,360922,356877,356877,356877,356877,356877,356877,356877,356877,181642,181642,177698,177698,14914,17413,17413,17413,17188,16515,16515,16515,890,890,890,890,15,15,15,15,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,0,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
其他非流动负债(万元),--,--,--,--,-11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
非流动负债合计(万元),362326,362326,360922,360922,356866,356866,356866,356877,356898,356877,356877,356877,181642,181642,177698,177698,14914,17413,17413,17413,17188,16515,16515,16515,890,890,890,890,15,15,15,15,0,0,0,0,0,0,--,0,--,511,511,517,517,1197,1197,1197,4379,4498,4918,4757,
负债合计(万元),456541,456441,454989,454858,456233,456196,456135,456073,455131,455292,455122,454985,276207,275911,271628,271410,142152,156481,156169,155526,131303,131384,131239,130673,104155,102556,103689,101625,125450,106247,127629,121285,164521,129117,112124,113339,109848,106867,61858,23852,11939,15877,12017,17277,17768,21057,25435,27176,33189,34413,72011,70034,
实收资本(或股本)(万元),149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,149377,124481,124481,124481,56112,56112,56112,56112,56112,56112,56112,56112,56112,56112,56112,56112,
资本公积(万元),128611,128611,128611,128611,128869,128869,128869,128869,128869,128869,128869,128869,128895,128895,128895,128869,128147,129068,128862,128862,129068,128862,128862,128862,128440,128440,128440,128440,127619,127619,127619,127619,127619,127619,127619,127619,128042,152940,152515,152515,9770,9770,9770,9770,9685,9685,9747,9747,9138,9138,9138,9138,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
盈余公积(万元),8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8630,8630,8630,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8218,8218,8218,8218,8202,8202,8202,8202,8202,8202,8202,8202,7903,7903,7879,7879,7157,7177,7177,7218,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
未分配利润(万元),-737266,-737162,-735700,-735561,-564334,-564262,-564174,-563545,-561770,-561509,-561100,-560477,-324397,-323819,-319232,-318492,-141546,-29002,-28122,-27137,-4911,-7211,-6120,-5070,18050,17626,17671,17501,22666,22557,23535,21950,24411,24375,24327,24246,24156,24193,24123,23999,23636,23632,23623,23501,23846,20721,20426,20296,16757,17488,8262,18445,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
