报告日期,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),30439,21877,19649,12331,4007,4596,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,545,136,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),7444,9629,8683,4074,--,256,
应收账款(万元),39693,34630,26553,21744,16471,11856,
预付款项(万元),2056,1597,1318,1965,1600,2285,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),347,241,110,226,252,246,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),6960,7893,6996,4125,5166,2794,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,
流动资产合计(万元),86940,75867,63309,44464,28039,22170,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),704,335,468,423,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),34869,33878,27909,--,--,--,
累计折旧(万元),9881,9071,7636,--,--,--,
固定资产净值(万元),24987,24807,20273,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),24987,24807,20273,19797,15898,12899,
在建工程(万元),3664,2925,4354,112,54,203,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),2155,2167,2209,1234,1263,1292,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),712,716,601,484,260,189,
其他非流动资产(万元),14289,11057,7100,--,--,--,
非流动资产合计(万元),46511,42007,35006,22049,17475,14583,
资产总计(万元),133450,117873,98315,66513,45514,36753,
短期借款(万元),11000,11000,11000,10000,1000,3000,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,
应付账款(万元),3766,4854,4236,2057,3054,2959,
预收账款(万元),1047,1167,1252,1293,1926,772,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),2676,2798,2647,1933,1002,352,
应交税费(万元),6318,5656,4104,4114,2495,2640,
应付利息(万元),18,20,22,21,4,4,
应付股利(万元),4200,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),24665,17863,10214,4049,6133,8051,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),22,1522,1522,8,8,8,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),53711,44881,34997,23476,15622,17787,
长期借款(万元),--,--,--,1500,1500,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),886,796,932,865,461,469,
非流动负债合计(万元),886,796,932,2365,1961,469,
负债合计(万元),54597,45677,35930,25841,17582,18256,
实收资本(或股本)(万元),21000,21000,21000,21000,4135,4135,
资本公积(万元),9830,9517,9630,9592,180,180,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),3469,3469,3469,1068,2364,1452,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),44455,38234,28298,9013,20644,12230,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),-24,-24,-11,--,--,--,
归属于母公司股东权益合计(万元),78730,72197,62386,40672,27322,17997,
少数股东权益(万元),124,--,--,--,609,500,
所有者权益(或股东权益)合计(万元),78854,72197,62386,40672,27931,18497,
负债和所有者权益(或股东权益)总计(万元),133450,117873,98315,66513,45514,36753,		
  
