报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,
货币资金(万元),168,224,203,200,201,2665,4250,3468,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),--,650,129,370,--,20,400,520,
应收账款(万元),6372,6377,13328,13292,18353,18218,12790,10112,
预付款项(万元),989,1205,364,190,878,422,387,208,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,--,247,277,584,606,535,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),11306,10572,8437,7785,5767,5460,7470,10273,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),2,2,64,64,81,81,86,86,
流动资产合计(万元),21034,20592,22747,22148,25557,27449,25989,25203,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),--,--,--,--,--,--,--,--,
累计折旧(万元),--,--,--,--,--,--,--,--,
固定资产净值(万元),--,--,--,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),--,--,--,14634,14855,15188,15523,15857,
在建工程(万元),--,--,--,--,26,26,26,26,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),4287,3800,4497,3903,3954,4006,4057,4108,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,577,--,684,470,509,548,587,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),215,165,215,215,112,150,112,112,
其他非流动资产(万元),--,--,--,--,--,--,--,--,
非流动资产合计(万元),18108,18481,19019,19436,19417,19879,20266,20690,
资产总计(万元),39142,39073,41766,41584,44974,47328,46255,45893,
短期借款(万元),3451,2751,2751,2751,31,38,38,38,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,2719,5250,7710,6223,
应付账款(万元),21050,21153,20999,20740,19975,19771,18524,20422,
预收账款(万元),628,613,91,158,96,153,150,98,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),427,469,554,549,601,463,195,275,
应交税费(万元),-213,-261,352,383,1158,1122,313,45,
应付利息(万元),--,--,--,200,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,
