报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),320925,349315,238736,234124,83993,198049,147145,261418,168373,183605,199993,248734,256473,275148,224190,330878,329736,308208,227643,230764,142306,173992,135649,273324,229409,238940,201096,166984,162855,240336,77829,73577,70738,60351,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,27,102,86,86,20,13,0,489,435,538,672,991,1120,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收票据(万元),20760,14280,11880,4800,4800,--,16034,16965,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收账款(万元),57840,52255,56306,41942,34147,29103,14061,17429,22507,6043,25999,27342,28718,3001,25753,12778,14026,1198,9019,5005,5238,1121,12438,14837,7987,978,7775,6981,8223,1495,4312,5392,6010,5402,
预付款项(万元),55207,20335,44289,42883,32490,14398,35845,28433,17557,6519,25816,18039,24993,6726,19293,3875,4458,5638,42030,19201,33006,18979,31282,2543,6149,5383,16207,3531,14607,3262,3693,4381,389,2466,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,0,--,331,
应收股利(万元),1303,557,1079,1555,107,502,1053,2094,2059,69,97,2611,34,859,395,1056,430,35,825,4473,1170,1170,--,1252,0,0,8,776,17,17,126,1719,163,1899,
其他应收款(万元),29354,43111,37850,32079,40485,33759,139409,100870,83562,68740,4934,4865,3743,3115,3362,3198,7195,6410,4030,3174,2526,3132,3221,2939,2932,2759,3071,3484,46278,8255,10716,10338,4707,17355,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
存货(万元),227183,261375,171210,163049,143405,182102,130044,127930,127160,118860,117545,113728,107933,102433,124218,122730,114877,113031,103392,106538,104078,131483,131070,127244,126506,127049,28310,26209,23036,20297,26952,27177,26212,26042,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,54115,42888,41966,41966,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,4772,0,
流动资产合计(万元),775846,804195,561350,520432,339427,457913,483590,555138,421218,383836,428500,458206,463860,433248,397212,474515,470729,434547,387042,369242,288409,329897,313674,422139,373472,375544,257006,208638,256008,274782,123628,122584,112991,113847,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
可供出售金融资产(万元),363447,278907,131524,86965,120392,144866,162048,120533,148076,155085,143422,148680,140510,120960,133384,152259,169009,165652,155804,149873,252007,259271,171037,193030,156214,93223,176789,179627,109509,130049,81709,58591,--,45852,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
长期应收款(万元),131920,131920,117920,120300,128800,128800,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
长期股权投资(万元),147451,147206,164607,180808,180545,169424,185466,154396,154843,154371,154784,138265,137681,138763,168549,167141,166021,143721,101773,103459,102304,103084,104119,104119,103888,103288,101399,102535,144320,61023,96853,95172,93926,80825,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
投资性房地产(万元),13993,14390,24744,59002,59717,60741,82275,83238,84160,85165,86007,85410,85837,87303,87680,87939,93868,96606,135550,139437,132662,140281,95624,96600,97899,98550,98910,103851,105976,106170,107698,111172,--,105079,
固定资产原值(万元),--,334006,--,236668,--,232762,--,241572,--,241059,--,245666,--,245388,--,293468,--,285613,--,253342,--,249089,--,232984,--,232752,--,226218,--,226074,--,217345,--,224749,
累计折旧(万元),--,98238,--,109885,--,105664,--,112519,--,108129,--,109616,--,105147,--,108479,--,103149,--,100070,--,94744,--,90586,--,85754,--,81433,--,76434,--,72812,--,67894,
固定资产净值(万元),--,235769,--,126783,--,127098,--,129053,--,132930,--,136050,--,140240,--,184989,--,182464,--,153272,--,154345,--,142398,--,146998,--,144786,--,149639,--,144533,--,156855,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,--,25,--,25,--,25,--,25,--,33,--,42,--,42,
固定资产(万元),227215,235769,120914,126783,125067,127098,127505,129053,130713,132930,134519,136050,138552,140240,181464,184989,187289,182464,149755,153247,147754,154320,149740,142373,144367,146973,147217,144760,147629,149606,144117,144491,259213,156813,
在建工程(万元),7616,4965,222707,221384,202166,188903,177052,163558,156957,149695,142375,129691,115165,107247,94695,88345,78439,72952,66423,64056,62518,60586,102141,103677,113913,95834,181104,178405,32424,29009,28353,25913,15452,8992,
工程物资(万元),20,32,33,56,61,112,154,163,123,130,147,146,145,144,522,522,523,527,832,1057,615,578,835,683,661,578,581,566,530,481,344,730,756,712,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
无形资产(万元),129192,130032,128472,129639,130750,131718,132795,133961,135080,136292,138175,139349,140486,141719,142842,144001,144549,146359,97224,98124,99343,98795,100630,100468,101348,102093,102940,103802,104664,105525,106380,107242,108103,108965,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
长期待摊费用(万元),2997,3125,3229,3357,3486,3615,3751,3887,4020,4103,4229,4335,4441,4546,2827,2886,3083,3059,3003,3303,1546,1788,312,344,377,410,410,457,503,560,307,278,284,1036,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
递延所得税资产(万元),11982,12045,7609,7498,7455,7502,6589,6588,6614,6649,4307,4191,2664,4277,2555,2483,2471,2834,8480,8480,8516,8515,7581,7581,7720,7766,6987,6991,7106,7179,5861,6062,5633,5715,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60,60,60,60,60,60,60,160,160,160,160,160,316,316,117,160,
非流动资产合计(万元),1035834,958391,921760,935793,958439,962779,877634,795377,820586,824419,807965,786117,765482,745200,814516,830565,845252,814173,718904,721095,807324,827277,732079,748934,726448,648875,816496,821154,652820,589764,571938,549966,483484,514148,
