报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),172333,266090,37045,56887,111345,129939,169333,185531,2971,710,1855,2318,1329,274,902,519,1209,1249,1608,1476,3665,362,1809,1600,937,731,1783,2693,349,1100,1626,1054,819,289,168,1207,148,238,16,56,86,68,225,488,1973,144,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,3,--,--,--,--,10,369,--,995,--,--,--,--,--,--,--,33,33,141,141,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),--,3067,--,4457,5234,6396,5484,1065,32472,29418,34455,35629,37659,39142,37247,40326,1201,5536,16868,16811,21662,7724,4277,4606,44942,11821,19847,3570,10854,4154,3815,32034,15862,10405,8945,6931,7709,4001,2509,1290,1290,1217,2108,2139,1826,1680,
预付款项(万元),64869,45766,121575,85148,57860,41510,16683,12402,19545,4986,7692,1753,2562,1302,2134,34,35363,26116,26272,5416,2959,11935,7128,2422,9304,9998,9813,11143,9684,4230,4332,2196,1933,5911,5345,4975,3439,3252,4008,2365,2445,204,5850,5884,4138,1727,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
