报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,
货币资金(万元),222,239,286,1,470,25,407,0,147,188,198,202,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),6006,6206,6206,6306,--,--,--,--,--,--,--,--,
预付款项(万元),110,110,110,--,60,--,--,--,--,50,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,208,--,423,6664,7846,838,219,70,109,79,69,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),6540,6763,6811,6730,7194,7871,3372,2346,217,347,277,271,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),109,109,109,109,109,109,109,109,109,109,109,109,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,--,--,--,606,615,622,633,642,651,670,669,
在建工程(万元),--,--,--,--,--,--,--,--,142,142,142,142,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,-0,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),1294,1307,1335,1335,1349,1363,1390,1390,3405,3435,3496,3496,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),1964,1987,2024,2033,2064,2087,2121,2132,4298,4338,4417,4416,
资产总计(万元),8504,8750,8835,8763,9258,9958,5493,4479,4516,4685,4694,4687,
短期借款(万元),11891,11891,11891,11891,11921,11921,11921,12973,12973,12973,12973,12973,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),4372,4372,4372,4372,3914,3914,3914,3914,3914,3914,3914,3914,
预收账款(万元),1172,1172,1172,1172,1172,1172,1172,1472,1472,1172,1172,1172,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),17,21,22,23,25,31,27,29,30,33,35,36,
应交税费(万元),3865,3865,3864,3863,3673,3673,3663,3663,3395,3395,3395,3395,
应付利息(万元),--,73077,71954,70843,69598,68420,67250,66093,64949,63766,62596,61439,
应付股利(万元),--,98,98,98,98,98,98,98,98,98,98,98,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,13823,--,13704,15020,14456,17153,14152,14141,14176,14027,14018,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),29349,29349,29349,29349,1306,29849,29849,30383,1306,1306,1306,1306,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),138601,137667,136546,135314,106726,133533,135047,132778,102279,100834,99517,98353,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,27714,--,--,--,29077,29077,29077,29077,
专项应付款(万元),--,200,--,200,200,200,200,200,200,200,200,200,
预计非流动负债(万元),367,367,367,367,367,367,367,367,367,367,367,367,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,200,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),567,567,567,567,28281,567,567,567,29644,29644,29644,29644,
负债合计(万元),139168,138234,137114,135881,135007,134100,135614,133345,131623,130478,129161,127997,
实收资本(或股本)(万元),11435,11435,11435,11435,11435,11435,11435,11435,11435,11435,11435,11435,
资本公积(万元),5947,5947,5947,5947,5947,5947,5947,5947,5947,5947,5947,5947,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-148924,-147744,-146515,-145381,-144019,-142413,-148398,-147136,-145657,-144043,-142744,-141586,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),-130270,-129089,-127861,-126727,-120917,-123759,-129744,-128482,-125650,-125389,-124090,-122932,
少数股东权益(万元),-394,-394,-418,-391,-384,-384,-377,-384,-405,-405,-377,-377,
所有者权益(或股东权益)合计(万元),-130665,-129484,-128279,-127118,-125365,-124143,-130121,-128866,-127407,-125794,-124467,-123310,
负债和所有者权益(或股东权益)总计(万元),8504,8750,8835,8763,9258,9958,5493,4479,4516,4685,4694,4687,		
  
