报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,
货币资金(万元),11491077,12935816,--,11644764,15409144,12426911,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),106588,--,--,1624171,--,--,
交易性金融资产(万元),13495601,12924512,--,13745273,4634452,2313182,
衍生金融资产(万元),860979,988549,--,1016460,455409,478028,
应收票据(万元),--,--,--,--,--,--,
应收账款(万元),--,--,--,--,--,--,
预付款项(万元),--,--,--,--,--,--,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,798554,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),--,--,--,--,--,--,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),1106139,--,--,2262534,--,--,
存货(万元),--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,
流动资产合计(万元),--,--,--,--,--,--,
发放贷款及垫款(万元),93765241,90202739,--,80014327,64981672,44366866,
可供出售金融资产(万元),--,--,--,--,12789896,6146694,
持有至到期投资(万元),31277717,--,--,--,9156279,4153293,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,--,--,--,--,--,
累计折旧(万元),--,--,--,--,--,--,
固定资产净值(万元),--,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),1209870,1122288,--,701074,660270,304570,
在建工程(万元),--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),100246,--,--,74118,--,--,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),975809,992220,--,772974,736681,460103,
其他非流动资产(万元),3176100,3173234,--,2688100,2147635,892699,
非流动资产合计(万元),--,--,--,--,--,--,
资产总计(万元),172048268,173726925,164669474,162029354,153675210,135485452,
短期借款(万元),--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),122480440,104994495,--,114391285,121742508,113035252,
拆入资金(万元),3016752,--,--,3710069,--,--,
交易性金融负债(万元),1528478,1056494,--,598259,561559,1387561,
衍生金融负债(万元),1109153,1117642,--,1083003,529786,412653,
应付票据(万元),--,--,--,--,--,--,
应付账款(万元),--,--,--,--,--,--,
预收账款(万元),--,--,--,--,--,--,
卖出回购金融资产款(万元),9273427,--,--,6818167,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),407720,--,--,390155,--,--,
应交税费(万元),276309,235424,--,185544,289189,256035,
应付利息(万元),--,--,--,1411417,--,--,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),--,--,--,--,--,--,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),--,--,--,--,--,--,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),20749451,24797818,--,22028022,19055198,11459525,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),357126,329797,--,354395,--,--,
长期递延收益(万元),--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),1100716,1695069,--,1017940,2528195,2186888,
非流动负债合计(万元),--,--,--,--,--,--,
负债合计(万元),160630451,162818239,154424621,151988256,144706435,128737914,
实收资本(或股本)(万元),1871870,1871870,--,1871870,1795970,1795970,
资本公积(万元),2213035,2213035,--,2213035,1997481,1999002,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),602474,602474,--,488298,488298,379041,
一般风险准备(万元),1945424,1945424,--,1846199,1724373,1324246,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),2856893,2485804,--,1871218,1472958,1279328,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),11244586,10742780,10088550,9888057,8819464,6747538,
少数股东权益(万元),173230,165906,--,153042,149312,--,
所有者权益(或股东权益)合计(万元),11417817,10908687,10244854,10041099,8968775,6747538,
负债和所有者权益(或股东权益)总计(万元),172048268,173726925,164669474,162029354,153675210,135485452,		
  
