报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,
货币资金(万元),2198,1658,4352,11310,1151,347,482,4657,602,2545,2822,3998,974,878,1294,2663,12088,14113,1616,6019,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,60,0,100,--,10,--,30,--,--,70,74,--,--,--,--,--,--,--,--,
应收账款(万元),2503,3217,0,3494,3089,3032,3786,3940,4615,3479,2913,2918,2711,1125,2295,5459,8387,766,3000,--,
预付款项(万元),15693,13876,5009,419,2802,1607,732,572,1378,709,4597,4345,7930,8005,3964,687,18332,16606,24219,3000,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,6993,--,13565,263,2296,2245,2121,3038,2154,907,602,1856,1500,1865,617,3350,480,287,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),7537,7348,6349,5454,4050,3481,3605,3389,3197,3176,2333,1715,1951,1375,1316,1288,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),520,516,291,249,1248,1092,773,526,196,2155,341,473,7412,17264,16133,16139,--,3565,--,--,
流动资产合计(万元),34028,33668,28386,34590,14966,11865,11623,15235,13026,14218,13984,14124,22835,30148,26867,26854,42157,35530,29122,9019,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),988,988,988,988,988,988,988,988,988,988,988,988,988,988,--,988,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,112,--,--,0,628,--,988,--,750,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,--,--,--,5073,5144,5223,5295,5306,5332,5365,5422,5450,123,57,58,52,59,--,1,
在建工程(万元),--,--,--,--,12522,11400,9595,9077,4854,1062,366,156,263,48,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),571,433,437,443,1387,1166,1104,1110,410,416,421,391,263,1,2,2,2,2,--,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),11841,11841,11841,11841,12603,12203,12203,12203,11942,12203,11841,11841,--,--,--,--,--,--,--,--,
长期待摊费用(万元),422,429,179,285,415,414,477,400,763,531,1346,493,466,264,144,153,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),119,119,36,119,36,36,32,37,37,46,18,19,6,--,--,45,--,10,--,--,
其他非流动资产(万元),--,--,3504,3150,3415,3415,3436,3440,518,3532,3508,3508,4960,4960,4960,4960,--,4000,5050,4000,
非流动资产合计(万元),26580,26003,29049,24502,36437,34766,33056,32549,24818,24110,23966,22819,12396,6384,5791,6206,1042,4072,5800,4001,
资产总计(万元),60608,59671,57436,59092,51403,46631,44679,47784,37844,38328,37951,36943,35230,36533,32658,33060,43200,39602,34922,13019,
短期借款(万元),4050,2150,2150,1450,7869,7869,7666,8200,1503,1800,1600,800,800,500,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8515,8515,--,--,
应付账款(万元),1606,1766,--,2430,3898,3038,1184,2982,1352,1262,771,764,808,652,108,1446,2018,696,--,--,
预收账款(万元),520,467,499,409,559,171,241,180,75,60,44,67,138,23,45,32,32,--,5249,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),256,146,43,225,195,185,175,184,144,133,86,224,106,45,25,9,652,649,646,1164,
