报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),57498,48682,51246,49945,52358,41826,58008,61624,73411,85639,91393,79647,64479,79030,88011,95679,80351,95364,80432,57770,
结算备付金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
拆出资金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
交易性金融资产(万元),--,--,--,--,--,1300,--,0,--,0,0,--,--,--,--,0,300,0,0,0,
衍生金融资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应收票据(万元),41929,64149,84263,81191,60511,55658,51372,44298,52805,42489,33796,41717,29906,37226,39929,37213,35096,36134,33657,26296,
应收账款(万元),34322,29415,15304,25305,38517,45784,25815,20268,19423,17412,11231,11490,26277,19615,17626,17269,19492,10769,11203,15286,
预付款项(万元),12093,9123,5140,3434,2859,8787,10968,7220,8826,6809,5535,3879,3533,9655,3573,2964,2427,5714,11087,4559,
应收保费(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应收利息(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
应收股利(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
其他应收款(万元),2938,3953,3711,3120,2475,4831,4325,3126,9951,3294,7179,5704,6197,6653,6305,5882,4535,6030,6154,3961,
应收出口退税(万元), --,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应收保证金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
内部应收款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
存货(万元),76367,71633,68249,64061,71023,71721,62546,76302,88011,72095,63911,65183,70358,72740,78575,57464,64420,48091,65432,68611,
待摊费用(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,20,886,0,
其他流动资产(万元),140,1816,85,99,4,4,4,4,--,0,0,221,170,79,92,99,140,0,265,327,
流动资产合计(万元),225287,228772,227997,227155,227747,229911,213039,212842,252427,227739,213045,207842,200920,224998,234112,216572,206762,202121,209115,176810,
发放贷款及垫款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
可供出售金融资产(万元),--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
长期应收款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
长期股权投资(万元),6339,6408,6286,2303,2222,2182,2114,2037,1886,1837,1797,1771,1744,469,694,1061,1646,1655,108,100,
其他长期投资(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
投资性房地产(万元),746,753,760,767,774,781,788,796,803,810,817,824,831,838,845,852,1169,881,1169,881,
固定资产原值(万元),--,413188,--,412481,--,405368,--,396969,--,401980,--,385856,--,348266,--,326944,--,248867,--,238986,
累计折旧(万元),--,132231,--,120607,--,110026,--,98694,--,87622,--,75948,--,63127,--,54728,--,47182,--,41573,
固定资产净值(万元),--,280957,--,291875,--,295342,--,298275,--,314359,--,309908,--,285138,--,272216,--,201685,--,197413,
固定资产减值准备(万元),--,131,--,132,--,134,--,134,--,13,--,14,--,16,--,15,--,15,--,20,
固定资产(万元),272269,280826,286645,291743,291986,295208,292196,298141,309952,314346,304919,309894,306198,285122,268534,272202,211741,201670,198681,197393,
