报告日期,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
应收利息(万元),44554,37034,31728,26611,11456,14256,12555,13864,8629,7383,9569,5038,5010,4291,3730,4720,5575,6784,5175,2885,4697,2545,2018,--,0,0,0,0,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,45240,11694,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
应收保证金(万元),120134,139497,124488,140918,154774,140131,103669,79266,93019,87058,64376,68282,75032,74966,102961,95318,76431,62315,56213,54154,39333,32403,17805,15174,14265,18607,157791,162023,142551,0,0,3187,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
买入返售金融资产(万元),181405,120372,163760,228552,176902,84215,38337,45210,12051,30009,5742,7764,49839,58381,13437,105454,10000,30056,0,170050,30704,100763,0,--,26180,7600,0,0,0,0,0,--,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,0,0,0,472,424,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,127108,5204,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,1998685,1066762,--,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
可供出售金融资产(万元),641610,596925,338468,187006,315254,311536,332363,540447,327626,228550,184985,225009,252253,199215,215552,214935,167267,134392,125504,141811,110385,96756,87920,53451,68227,72787,94306,78914,2535,34809,2535,26375,
持有至到期投资(万元),12000,12000,13297,13295,13294,13292,13291,--,--,--,--,--,--,--,--,--,--,0,0,0,322,322,322,322,431,4890,4994,5179,4882,4950,5027,5076,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
长期股权投资(万元),--,20215,21746,18246,18246,23246,18146,18221,17721,17721,14221,14221,12821,12221,3694,3694,2163,586,586,586,586,586,586,586,586,586,653,653,0,568,568,568,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
投资性房地产(万元),10113,10197,10281,10400,10485,10648,9055,9145,9217,9288,9359,9431,8889,8956,9022,9393,9462,11064,11134,1879,1501,1513,1526,1538,1550,1563,5300,5334,1373,5175,5230,5240,
固定资产原值(万元),--,124978,--,123487,--,123018,--,124227,--,121010,--,119497,--,118600,--,115500,--,113425,0,121371,--,52838,0,51283,0,52305,0,50347,0,47693,0,--,
累计折旧(万元),--,39738,--,36734,--,34926,--,32306,--,29625,--,26164,--,24414,--,20910,--,22087,0,19324,--,18985,0,17484,0,19934,0,18730,0,19479,0,--,
固定资产净值(万元),--,85240,--,86753,--,88093,--,91921,--,91386,--,93333,--,94186,--,94590,--,91337,0,102047,--,33852,0,33798,0,32371,0,31616,0,28214,0,--,
固定资产减值准备(万元),--,239,--,239,--,239,--,239,--,239,--,239,--,239,--,239,--,239,0,239,--,239,0,239,0,239,0,239,0,239,0,--,
固定资产(万元),85140,85001,85723,86514,86988,87853,90540,91682,90833,91146,92246,93094,93284,93947,94755,94351,93074,91098,91503,101808,33893,33613,33866,33559,33019,32132,32425,31377,32630,28852,28820,29499,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,136,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
无形资产(万元),5797,5831,6065,6188,5039,4812,4839,4405,3543,3624,3818,3941,3738,3822,3831,3774,3359,3358,3420,3613,3730,3945,4113,4148,3572,3543,3583,3611,2875,2599,2327,2867,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
商誉(万元),1473,1473,1473,1473,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,805,830,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
递延所得税资产(万元),972,12026,15651,18189,13895,16204,14001,14526,15476,14174,14557,16703,12883,6414,5171,5717,5113,7311,4827,4718,5131,5623,6151,14720,16542,15498,14130,8411,6178,7458,7306,8386,
其他非流动资产(万元),17896,19844,21865,16603,550541,456447,373895,280613,252759,193532,155520,86505,93344,71959,39200,20418,25236,21325,39435,18130,84507,78925,75021,73604,74460,106132,72345,57475,72456,127188,5411,16458,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,85297,52988,--,
资产总计(万元),4658848,4025408,3780824,3458962,3376772,3082274,3437544,3189709,2830372,2897843,2332245,2128702,2021507,2380772,2528404,2683410,2261003,2376016,2652775,2897076,2525086,1896276,1849606,1530499,1552122,1873048,2048597,2279975,2334450,2083982,1119750,786245,
短期借款(万元),--,2035,2873,563,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,9000,9000,13500,13500,13500,18000,18000,28100,28100,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
拆入资金(万元),385800,385800,385800,385800,397300,199300,225300,120000,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,2029,--,19814,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,31338,0,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,63,0,0,--,0,0,24488,22779,29425,0,0,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
应付账款(万元),4232,4437,3639,3870,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,1271,948,--,
预收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,0,0,0,18,20,--,
卖出回购金融资产款(万元),1146060,778758,727204,424597,379017,334226,589926,460969,311863,348854,399659,300041,162762,313381,250125,237640,56498,111568,161162,334752,155007,190251,75000,80000,0,0,0,0,0,0,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
应付职工薪酬(万元),62048,35620,24304,58528,53059,45816,29142,38628,25273,21777,15640,17108,3567,11109,9714,32718,32234,24859,18098,29949,17692,17106,1393,9405,552,903,1255,19700,17508,18651,528,1067,
应交税费(万元),31304,12834,13054,33385,17320,19231,13143,11263,10107,11958,15589,9538,14289,14280,14815,21482,15244,12792,18377,18672,10932,9471,5222,-5198,529,22433,59747,91809,59368,37688,7625,2110,
应付利息(万元),14749,6160,12799,6099,554,147,361,990,34,--,--,544,--,--,--,616,--,62,63,241,88,61,10,17,0,106,0,0,0,0,91,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
其他应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,9187,6003,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
代理买卖证券款(万元),1381337,1185169,1056694,1047773,1014282,1008797,1010939,986149,978011,1040026,1146345,1080008,1097520,1262216,1472058,1646190,1429738,1517591,1717511,1839121,1630979,1102613,1206131,931290,1027223,1311309,1316328,1482821,1630163,1471352,664524,375964,
代理承销证券款(万元),--,--,--,--,--,--,--,78301,--,--,--,--,--,--,--,--,--,0,30720,0,90000,0,0,--,0,0,0,0,0,116,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,299,232,--,
流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,1587919,708071,--,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,11461,0,0,62,0,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
递延所得税负债(万元),253,203,500,325,14141,12392,14151,4375,1557,3266,481,6,12,2007,3857,3781,6267,1110,7919,8656,2106,2229,1162,681,1480,3407,11140,28018,26508,24618,13988,6761,
其他非流动负债(万元),53088,104393,41839,17720,15204,18142,17119,9496,52010,12280,10260,7321,9666,13063,13614,11103,9581,51600,9596,11779,8349,8243,6746,7449,20009,19818,17670,21496,10051,299,232,5202,
非流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,24680,13988,--,
负债合计(万元),3078870,2515409,2268704,1978659,1890876,1638053,1900080,1710170,1378854,1438160,1587975,1416596,1287816,1635870,1764183,1953529,1549562,1719582,1963446,2243170,1915216,1329974,1295664,1032644,1058793,1371476,1455588,1680124,1791024,1612598,722059,419204,
实收资本(或股本)(万元),397241,397241,397241,397241,397241,397241,198620,198620,198620,198620,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,146120,
资本公积(万元),611698,593122,592945,597115,612313,600505,807713,798780,777097,781427,155298,150753,168884,186679,195133,194656,194280,178767,202575,209137,189505,184546,178207,153639,154599,170329,188553,225782,175408,195685,175408,185111,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
盈余公积(万元),79950,79950,79950,79950,69470,69470,69470,69470,61428,61428,61428,61428,55181,55181,55181,55181,42389,42389,42389,42389,30925,30925,30925,30925,26120,26120,26120,26120,5285,5285,5380,5684,
一般风险准备(万元),153703,153703,153703,153703,68957,68957,68957,68957,60915,60915,60915,60915,54668,54668,54668,54668,41875,41875,41875,41875,30412,30412,30412,30412,25607,25607,25607,25607,4771,4771,4867,5171,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
未分配利润(万元),337058,285685,287997,252042,273930,244263,328918,279925,297714,301548,264765,237146,259341,252757,263622,229757,250072,210578,219664,177680,187666,149058,143038,111518,120447,112960,186172,155787,211843,119522,65915,24955,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
归属于母公司股东权益合计(万元),1579651,1509701,1511837,1480052,1485697,1444222,1537464,1479539,1451518,1459683,744270,712106,733692,744902,764221,729880,711441,656434,689329,653906,609870,566301,553942,497855,493329,501572,593008,599852,543427,471383,397691,367041,
少数股东权益(万元),327,298,283,251,199,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
所有者权益(或股东权益)合计(万元),1579978,1509999,1512120,1480303,1485896,1444222,1537464,1479539,1451518,1459683,744270,712106,733692,744902,764221,729880,711441,656434,689329,653906,609870,566301,553942,497855,493329,501572,593008,599852,543427,471383,397691,367041,
负债和所有者权益(或股东权益)总计(万元),4658848,4025408,3780824,3458962,3376772,3082274,3437544,3189709,2830372,2897843,2332245,2128702,2021507,2380772,2528404,2683410,2261003,2376016,2652775,2897076,2525086,1896276,1849606,1530499,1552122,1873048,2048597,2279975,2334450,2083982,1119750,786245,		
  
