报告日期,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),26182,8359,8446,32988,31804,44371,56733,61608,44129,21958,21923,
结算备付金(万元),0,--,--,--,--,0,--,--,0,0,0,
拆出资金(万元),0,--,--,--,--,0,--,--,0,0,0,
交易性金融资产(万元),300,245,200,199,--,0,--,109,148,298,257,
衍生金融资产(万元),0,--,--,--,--,0,--,--,0,--,0,
应收票据(万元),0,--,--,--,--,0,--,66,30,40,0,
应收账款(万元),94,94,82,75,160,200,166,636,616,663,479,
预付款项(万元),1530,1669,1555,1979,1908,2059,1909,2794,1115,1146,115,
应收保费(万元),0,--,--,--,--,0,--,--,0,0,0,
应收分保账款(万元),0,--,--,--,--,0,--,--,0,0,0,
应收分保合同准备金(万元),0,--,--,--,--,0,--,--,0,0,0,
应收利息(万元),0,--,--,--,--,0,--,--,0,0,0,
应收股利(万元),500,500,--,--,--,0,--,--,0,0,0,
其他应收款(万元),505,649,609,678,546,728,662,834,650,11717,744,
应收出口退税(万元), 0,--,--,--,--,0,--,--,0,0,0,
应收补贴款(万元),0,--,--,--,--,0,--,--,0,0,0,
应收保证金(万元),0,--,--,--,--,0,--,--,0,--,0,
内部应收款(万元),0,--,--,--,--,0,--,--,0,--,0,
买入返售金融资产(万元),0,--,--,--,--,0,--,--,0,0,0,
存货(万元),130973,133288,134242,131786,135177,137891,167101,193602,194340,178712,172057,
待摊费用(万元),0,--,--,--,--,0,--,--,0,1,0,
待处理流动资产损益(万元),0,--,--,--,--,0,--,--,0,--,0,
一年内到期的非流动资产(万元),0,--,--,--,--,0,--,--,0,0,0,
其他流动资产(万元),0,--,--,--,--,0,--,--,0,0,0,
流动资产合计(万元),160085,144804,145134,167703,169594,185249,226571,259648,241029,214534,195574,
发放贷款及垫款(万元),0,--,--,--,--,0,--,--,0,0,0,
可供出售金融资产(万元),0,0,--,0,--,0,--,--,0,0,0,
持有至到期投资(万元),0,--,955,955,955,955,955,955,0,0,0,
长期应收款(万元),0,--,--,--,--,0,--,--,0,0,0,
长期股权投资(万元),55135,55351,54903,54826,54597,44355,44053,16010,16010,5010,5010,
其他长期投资(万元),0,--,--,--,--,0,--,--,0,--,0,
投资性房地产(万元),3590,3622,3654,3686,3718,3750,3782,3797,3829,3861,3909,
固定资产原值(万元),2407,--,2405,--,3570,--,3464,--,1031,--,967,
累计折旧(万元),769,--,674,--,675,--,601,--,516,--,453,
固定资产净值(万元),1638,--,1731,--,2895,--,2863,--,515,--,514,
固定资产减值准备(万元),4,--,4,--,4,--,4,--,4,--,4,
固定资产(万元),1635,1681,1727,2835,2891,2946,2859,596,511,511,510,
在建工程(万元),0,--,--,--,--,0,--,--,0,0,0,
工程物资(万元),0,--,--,--,--,0,--,--,0,0,0,
固定资产清理(万元),0,--,--,--,--,0,--,--,0,0,0,
生产性生物资产(万元),0,--,--,--,--,0,--,--,0,0,0,
公益性生物资产(万元),0,--,--,--,--,0,--,--,0,--,0,
油气资产(万元),0,--,--,--,--,0,--,--,0,0,0,
无形资产(万元),4,5,5,5,5,6,6,6,6,7,7,
开发支出(万元),0,--,--,--,--,0,--,--,0,0,0,
商誉(万元),0,--,--,--,--,0,--,--,0,0,0,
