报告日期,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),7559,17827,15289,14901,10517,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),520,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),--,--,--,--,--,
应收账款(万元),14981,8496,6041,6464,4418,
预付款项(万元),2157,2273,2966,3565,1708,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),1930,1598,1217,1481,1547,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),950,916,569,499,423,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,
流动资产合计(万元),28096,31110,26082,26910,18613,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),1260,--,280,300,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),36997,34450,27437,21486,--,
累计折旧(万元),19265,16960,13801,11289,--,
固定资产净值(万元),17732,17490,13636,10197,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),17732,17490,13636,10197,11877,
在建工程(万元),246,1091,11960,4613,2033,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),335,352,164,153,175,
开发支出(万元),--,--,--,--,--,
商誉(万元),7016,7016,6714,6714,7140,
长期待摊费用(万元),21485,20645,7295,6743,7905,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),81,226,484,135,23,
其他非流动资产(万元),--,--,--,--,--,
非流动资产合计(万元),48155,46820,40533,28855,29154,
资产总计(万元),76252,77930,66615,55764,47767,
短期借款(万元),1358,3600,--,--,--,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,--,--,--,--,
应付账款(万元),4770,5839,4753,4671,3356,
预收账款(万元),11159,9264,7557,5488,3346,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),2789,3422,4489,2396,1280,
应交税费(万元),880,1002,845,951,656,
应付利息(万元),2,8,--,--,--,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),1051,814,885,1214,1185,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,300,500,500,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),22009,23947,18830,15219,10323,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,300,800,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,10,
长期递延收益(万元),--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),50,--,--,--,--,
非流动负债合计(万元),50,0,0,300,810,
负债合计(万元),22059,23947,18830,15519,11133,
实收资本(或股本)(万元),12000,12000,12000,12000,12000,
资本公积(万元),24218,24218,24218,24800,24837,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),1263,1263,855,384,113,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),14653,14228,9504,1561,-1768,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),52134,51710,46578,38745,35182,
少数股东权益(万元),2059,2273,1207,1500,1453,
所有者权益(或股东权益)合计(万元),54193,53983,47785,40245,36634,
负债和所有者权益(或股东权益)总计(万元),76252,77930,66615,55764,47767,		
  
