 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),313,62,1224,1051,498,114,1855,1351,634,297,2486,535,284,114,3923,935,170,9,4390,1559,723,611,2901, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),65,103,129,79,60,46,7,557,124,262,14,630,46,30,1822,1480,1057,257,1644,1882,1359,0,999, 
 经营活动现金流入小计(万元),378,165,1353,1130,558,160,1862,1908,758,558,2500,1165,330,144,5744,2415,1227,266,6034,3441,2081,611,3901, 
 购买商品、接受劳务支付的现金(万元),135,66,452,549,418,145,487,1299,738,418,1351,1341,314,712,2180,2043,1066,589,1536,561,323,158,1878, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),357,125,746,567,351,206,822,662,428,203,803,566,307,154,748,559,300,163,853,779,467,242,895, 
 支付的各项税费(万元),52,23,148,143,75,47,183,171,181,33,78,68,29,25,86,53,8,2,66,47,5,1,57, 
 支付的其他与经营活动有关的现金(万元),151,12,319,178,84,68,273,207,70,96,310,300,205,60,1987,255,175,104,3081,2011,1759,578,283, 
 经营活动现金流出小计(万元),696,226,1666,1436,928,465,1765,2339,1416,750,2542,2276,855,951,5002,2910,1549,858,5536,3397,2554,978,3112, 
 经营活动产生的现金流量净额(万元),-317,-61,-313,-307,-370,-305,97,-431,-658,-192,-42,-1111,-525,-807,743,-495,-322,-593,498,44,-472,-367,789, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,9,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),17,5,258,168,95,31,456,113,-17,45,26,-41,9,-16,310,101,92,55,309,441,-23,2,572, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),17,5,258,168,95,31,456,113,-17,45,26,-41,9,-16,310,101,92,55,309,441,-23,32,572, 
 投资活动产生的现金流量净额(万元),-17,-5,-258,-168,-95,-31,-456,-113,17,-45,-26,41,-9,16,-310,-101,-92,-55,-300,-441,23,-32,-572, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,200, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),340,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50, 
 筹资活动现金流入小计(万元),340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 筹资活动产生的现金流量净额(万元),340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),6,-65,-570,-475,-465,-336,-359,-544,-641,-237,-69,-1070,-534,-791,432,-596,-414,-647,198,-397,-449,-399,467, 
 加:期初现金及现金等价物余额(万元),98,98,669,669,669,669,1028,1028,1028,1028,1097,1097,1097,1097,664,664,664,664,467,467,467,467,--, 
 期末现金及现金等价物余额(万元),104,33,98,194,204,333,669,484,386,791,1028,27,563,306,1097,69,250,17,664,69,17,67,467, 
 净利润(万元),-535,-217,-1030,-660,-546,-329,-997,-648,-686,-292,-1300,--,-662,-373,150,--,-536,--,140,--,--,--,-881, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,--,4,--,--,--,4,-104,-104,--,256,--,5,0,10,--,--,--,1,--,--,--,10, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),215,127,560,427,290,147,635,443,284,164,659,--,329,164,659,--,316,--,603,--,--,--,365, 
 无形资产摊销(万元),14,7,31,23,16,8,31,24,16,8,32,--,16,8,32,--,15,--,32,--,--,--,24, 
 长期待摊费用摊销(万元),24,12,30,19,10,5,40,31,3,1,38,--,20,9,14,--,3,--,9,--,--,--,6, 
