 报告日期,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),16921,12051,21219,15229,12762,11386, 
 客户存款和同业存放款项净增加额(万元),0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),0,0,0,0,0,0, 
 拆入资金净增加额(万元),0,0,0,0,0,0, 
 回购业务资金净增加额(万元),0,0,0,0,0,0, 
 收到的税费返还(万元),0,0,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),8,7,360,122,974,421, 
 经营活动现金流入小计(万元),16928,12059,21579,15352,13737,11808, 
 购买商品、接受劳务支付的现金(万元),16322,8397,15833,14265,11727,13800, 
 客户贷款及垫款净增加额(万元),0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),0,0,0,0,0,0, 
 支付保单红利的现金(万元),0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),1055,612,1082,868,748,397, 
 支付的各项税费(万元),1984,1894,2319,1592,2662,1436, 
 支付的其他与经营活动有关的现金(万元),1537,939,2008,847,1306,690, 
 经营活动现金流出小计(万元),20897,11841,21242,17570,16443,16323, 
 经营活动产生的现金流量净额(万元),-3969,217,337,-2218,-2706,-4515, 
 收回投资所收到的现金(万元),0,0,0,0,0,0, 
 取得投资收益所收到的现金(万元),0,0,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,0,0,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),0,0,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),0,0,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),0,0,0,0,0,0, 
 投资活动现金流入小计(万元),0,0,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),66,37,247,211,230,214, 
 投资所支付的现金(万元),0,0,0,0,0,0, 
 质押贷款净增加额(万元),0,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),0,0,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),0,0,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),0,0,0,0,0,0, 
 投资活动现金流出小计(万元),66,37,247,211,230,214, 
 投资活动产生的现金流量净额(万元),-66,-37,-247,211,-230,-214, 
 吸收投资收到的现金(万元),0,0,2340,2340,1080,2430, 
 其中：子公司吸收少数股东投资收到的现金(万元),0,0,0,0,0,0, 
 取得借款收到的现金(万元),18600,4300,14670,0,7800,10942, 
 发行债券收到的现金(万元),0,0,0,11070,0,0, 
