 报告日期,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),10030,58325,49695,33510,14848,52339,39680,28985,11029,51682,35000,22526,9761, 
 客户存款和同业存放款项净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,0,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,40,40,40,40,1189,851,650,352,223,--,--,--, 
 收到的其他与经营活动有关的现金(万元),256,673,500,338,308,1257,1010,679,341,1566,1197,638,316, 
 经营活动现金流入小计(万元),10286,59038,50235,33889,15196,54785,41540,30314,11722,53470,36197,23164,10077, 
 购买商品、接受劳务支付的现金(万元),8271,48041,42567,27250,9506,42592,32425,20780,8732,33448,23304,14872,5490, 
 客户贷款及垫款净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),991,5368,3919,2526,1295,4734,3526,2417,1378,4088,3109,2011,1127, 
 支付的各项税费(万元),757,2612,1981,1525,1102,4437,3614,2699,988,4832,3134,2120,527, 
 支付的其他与经营活动有关的现金(万元),462,1983,1795,1151,625,2151,1608,923,209,2760,2293,1222,666, 
 经营活动现金流出小计(万元),10481,58004,50263,32452,12528,53914,41173,26819,11308,45128,31840,20224,7811, 
 经营活动产生的现金流量净额(万元),-195,1034,-28,1437,2668,871,367,3495,414,8342,4357,2940,2266, 
 收回投资所收到的现金(万元),--,--,--,0,--,44,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3,39,39,39,--,0,0,0,--,57,57,57,28, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),3,39,39,39,--,44,0,0,--,57,57,57,28, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),--,4893,4272,107,103,478,410,294,190,1755,1396,959,434, 
 投资所支付的现金(万元),--,--,--,0,--,49,49,--,--,466,466,466,466, 
 质押贷款净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),--,4893,4272,107,103,527,459,294,190,2221,1861,1425,900, 
 投资活动产生的现金流量净额(万元),3,-4855,-4234,-68,-103,-483,-459,-294,-190,-2164,-1804,-1368,-872, 
 吸收投资收到的现金(万元),--,--,--,0,--,--,--,--,--,980,980,980,980, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),5500,27850,21850,9850,3000,20850,13850,4500,3500,20525,17085,13085,9585, 
 发行债券收到的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),5500,27850,21850,9850,3000,20850,13850,4500,3500,21505,18065,14065,10565, 
 偿还债务支付的现金(万元),3000,22850,16850,7850,1500,19500,14500,8500,5000,24860,18510,13510,6925, 
 分配股利、利润或偿付利息所支付的现金(万元),378,1532,1110,705,343,2792,1589,856,249,1244,962,663,315, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,212,689,696,152,640,459,318,152,630,470,318,161, 
 筹资活动现金流出小计(万元),3378,24594,18649,9251,1995,22932,16549,9674,5401,26734,19942,14491,7401, 
 筹资活动产生的现金流量净额(万元),2122,3256,3201,599,1005,-2082,-2699,-5174,-1901,-5228,-1877,-426,3164, 
 汇率变动对现金及现金等价物的影响(万元),-1,-18,-16,-16,-8,-17,-14,-12,-3,-1,-0,-0,--, 
 现金及现金等价物净增加额(万元),1930,-582,-1077,1952,3563,-1712,-2804,-1985,-1680,949,675,1145,4559, 
 加:期初现金及现金等价物余额(万元),2748,3330,3330,3330,3330,5041,5041,5041,5041,4093,3804,--,3804, 
 期末现金及现金等价物余额(万元),4678,2748,2253,5282,6893,3330,2237,3057,3361,5041,4479,1145,8363, 
 净利润(万元),0,-10257,0,-4538,--,1290,--,--,--,1783,--,--,--, 
 少数股东损益(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
