 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,8, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),--,--,2,--,--,2,3,--,6839,6837,6836,6835,10, 
 经营活动现金流入小计(万元),0,0,2,0,0,2,3,0,6839,6837,6836,6835,17, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),--,--,--,--,--,--,--,--,--,46,45,4,57, 
 支付的各项税费(万元),--,--,--,--,--,--,--,--,74,91,88,81,--, 
 支付的其他与经营活动有关的现金(万元),--,--,--,--,--,--,--,--,--,1090,962,764,7630, 
 经营活动现金流出小计(万元),0,0,0,0,0,0,0,0,74,1227,1096,849,7687, 
 经营活动产生的现金流量净额(万元),0,0,2,0,0,2,3,0,6764,5609,5739,5986,-7670, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,29, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,270, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,0,0,0,298, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0, 
 投资活动产生的现金流量净额(万元),0,0,0,0,0,0,0,0,0,0,0,0,298, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
