 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31, 
 销售商品、提供劳务收到的现金(万元),4,--,15,15,13,--,0,0,0,0,88,2,--,--,0,0,--,--,29,22,15,--,--,22,14,--,--,22,14,--,--,22,14,7,--,44,31,6,23,9,3,2, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),69,1,46,5,2,1,36,2,2,1,9,44,32,51,126,38,26,22,2073,16,12,33,111,16,11,28,118,--,8,35,127,--,--,12,121,1,--,12,69,5,5,16, 
 经营活动现金流入小计(万元),73,1,61,19,16,1,36,2,2,1,96,46,32,51,127,38,26,22,2102,38,27,33,111,37,25,28,118,22,23,35,127,22,14,18,121,45,31,18,92,14,8,18, 
 购买商品、接受劳务支付的现金(万元),30,2007,2000,2035,2027,2007,6,350,289,38,1,26,15,5,0,16,11,--,--,12,7,--,--,20,13,--,--,26,19,--,--,23,18,--,--,15,10,--,21,22,13,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),37,25,82,65,46,25,91,99,77,35,181,70,48,26,72,50,33,20,69,48,34,23,62,44,30,18,61,44,29,22,77,46,28,12,88,54,35,11,60,40,27,16, 
 支付的各项税费(万元),--,--,0,0,0,--,21,22,22,22,--,0,0,0,3,0,0,0,6,4,3,1,6,4,3,1,6,4,1,1,6,4,3,1,4,10,6,0,4,4,1,1, 
 支付的其他与经营活动有关的现金(万元),6,19,133,46,50,19,1524,1078,1068,952,6715,48,19,9,57,11,8,6,107,12,7,9,42,3,2,8,50,--,2,12,45,--,2,5,28,--,13,2,8,--,--,1, 
 经营活动现金流出小计(万元),73,2051,2215,2146,2123,2051,1642,1549,1455,1047,6897,145,82,40,131,78,53,26,182,76,50,33,110,71,48,27,117,73,50,35,127,73,51,19,120,78,65,18,92,66,42,18, 
 经营活动产生的现金流量净额(万元),-0,-2049,-2154,-2127,-2107,-2049,-1607,-1547,-1453,-1046,-6801,-99,-50,11,-5,-40,-26,-4,1920,-38,-23,-0,1,-34,-23,0,1,-52,-27,0,-0,-52,-36,-0,1,-33,-33,0,-0,-52,-34,0, 
 收回投资所收到的现金(万元),--,--,6600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,3341,81,3381,3381,3341,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,273,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,--,--, 
