 报告日期,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),127569,501519,303570,250912,139726,579129,429329,29733,12679,97894,65126,37538,21269,46121,22364,12600,10024,131838,108355,69959,38245,62258,16332,6633,2683,24207,15879,11058,3723, 
 客户存款和同业存放款项净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 向中央银行借款净增加额(万元,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 收到原保险合同保费取得的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 收到再保险业务现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 保户储金及投资款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 处置交易性金融资产净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 收取利息、手续费及佣金的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 拆入资金净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 回购业务资金净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 收到的税费返还(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,168,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 收到的其他与经营活动有关的现金(万元),4954,7558,16770,3795,1450,7201,4108,1270,938,3631,9074,2495,1809,1089,2112,1999,1852,6248,370,546,49,823,436,269,115,484,429,349,359, 
 经营活动现金流入小计(万元),132523,509077,320340,254708,141176,586330,433437,31003,13617,101525,74200,40033,23078,47377,24476,14598,11876,138087,108725,70505,38294,63080,16768,6902,2798,24691,16308,11407,4082, 
 购买商品、接受劳务支付的现金(万元),48583,259138,169946,118404,66744,290406,202946,27875,15191,74616,52606,35942,7221,37115,21048,1532,856,96705,82924,62468,32222,46014,10565,907,611,4896,743,493,853, 
 客户贷款及垫款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 存放中央银行和同业款项净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 支付原保险合同赔付款项的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 支付利息、手续费及佣金的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 支付保单红利的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 支付给职工以及为职工支付的现金(万元),3634,31921,20375,12856,5459,32127,17103,2503,1416,4915,3599,2576,1481,4195,3033,2090,949,4720,3417,2493,1546,3026,1780,1188,584,2125,1962,1070,394, 
 支付的各项税费(万元),23668,87437,61572,41649,17352,89815,70905,2324,1902,5721,4278,3097,2110,5890,4218,3263,2423,5461,4319,3789,2071,4143,3070,2493,1366,5481,4269,2686,1205, 
 支付的其他与经营活动有关的现金(万元),6630,34127,23355,9562,4977,18632,11432,1592,867,5613,10328,2223,1391,2548,1279,765,355,2283,1452,1202,498,1907,1313,892,433,1451,1228,1183,284, 
 经营活动现金流出小计(万元),82515,412622,275248,182471,94531,430980,302386,34294,19376,90864,70811,43838,12203,49748,29579,7651,4582,109168,92112,69952,36337,55091,16728,5479,2994,13953,8201,5431,2736, 
 经营活动产生的现金流量净额(万元),50008,96455,45092,72236,46645,155351,131051,-3291,-5759,10661,3389,-3805,10874,-2370,-5102,6948,7294,28919,16613,553,1957,7989,40,1423,-196,10738,8107,5976,1346, 
 收回投资所收到的现金(万元),5000,14400,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,301,301,--,0,1079,--,294,8, 
 取得投资收益所收到的现金(万元),1551,6715,24380,3331,2416,7070,6993,--,--,--,--,--,--,104,104,104,104,--,--,--,--,0,--,--,0,217,217,217,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,8,8,8,7,4,3,3,2,6,--,--,0,39,39,--,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,--,--,--,418,418,-2153,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,959,--,0, 
 收到的其他与投资活动有关的现金(万元),0,5400,14428,14428,22,2122,1734,--,--,--,--,--,--,2,2,2,0,28,28,23,23,3415,415,--,0,646,--,--,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 投资活动现金流入小计(万元),6552,26515,38808,17759,2438,9611,9145,-2153,0,0,0,--,--,114,114,114,112,32,31,26,25,3722,715,--,0,1980,1214,511,8, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5790,44318,32863,17048,8444,31526,21512,343,147,1033,389,332,63,1436,1232,1109,606,2297,2314,1798,816,52697,47824,298,124,24482,994,578,186, 
 投资所支付的现金(万元),5000,14400,--,--,--,--,5000,--,--,--,--,--,--,40,0,--,--,--,--,--,--,0,--,5643,0,0,--,--,0, 
 质押贷款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,--,--,--,--,--,--,--,-2399,1556,1556,1556,0,0,--,--,--,--,--,--,11286,11286,--,0,0,--,--,0, 
 支付的其他与投资活动有关的现金(万元),--,6196,14438,14414,4,869,-4133,59,59,1545,-4006,-3955,-3955,4,4,3,--,67,63,33,24,573,219,--,0,3448,--,--,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 投资活动现金流出小计(万元),10790,64913,47301,31462,8448,32395,22379,402,206,179,-2061,-2066,-2336,1480,1236,1112,606,2364,2377,1831,840,64557,59329,5941,124,27930,994,578,186, 
 投资活动产生的现金流量净额(万元),-4238,-38398,-8493,-13703,-6010,-22785,-13233,-2556,-206,-179,2061,2066,2336,-1365,-1122,-998,-494,-2332,-2346,-1805,-816,-60835,-58614,-5941,-124,-25950,221,-67,-178, 
 吸收投资收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,22230,--,--,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 取得借款收到的现金(万元),5000,238355,43000,20000,--,50000,34000,--,--,15000,15000,15000,--,63000,63000,20000,10000,--,--,--,--,45000,55000,--,0,0,--,--,0, 
 发行债券收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 收到其他与筹资活动有关的现金(万元),69,0,242,222,136,--,123,--,--,11091,5000,5000,5000,1439,600,--,--,--,--,--,--,15000,--,--,0,12770,--,--,0, 
 筹资活动现金流入小计(万元),5069,238355,43242,20222,136,50000,34123,0,0,26091,20000,20000,5000,64439,63600,20000,10000,--,--,--,--,60000,55000,--,0,35000,--,--,0, 
 偿还债务支付的现金(万元),17976,271020,64172,47886,11484,121980,69640,--,--,20000,20000,20000,20000,54423,54414,27110,19000,5000,--,--,--,0,10000,--,0,0,--,--,0, 
 分配股利、利润或偿付利息所支付的现金(万元),17430,86155,69755,34839,26633,37700,29308,450,201,666,471,265,142,3099,2092,69,13,5492,5,5,--,11112,8000,--,0,0,--,--,0, 
 其中：子公司支付给少数股东的股利、利润(万元),--,38749,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,10640,--,--,0,0,--,--,0, 
 支付其他与筹资活动有关的现金(万元),131,634,404,241,168,567,485,--,--,6091,43,43,43,43,43,0,0,177,31,21,1,13000,--,--,0,0,--,--,0, 
 筹资活动现金流出小计(万元),35537,357809,134331,82966,38284,160247,99432,450,201,26757,20514,20308,20185,57565,56549,27179,19013,10669,35,25,1,24112,18000,--,0,0,--,--,0, 
 筹资活动产生的现金流量净额(万元),-30467,-119454,-91089,-62745,-38149,-110247,-65309,-450,-201,-666,-514,-308,-15185,6874,7051,-7179,-9013,-10669,-35,-25,-1,35888,37000,--,0,35000,--,--,0, 
 汇率变动对现金及现金等价物的影响(万元),14,-28,11,-12,-21,1,2,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 现金及现金等价物净增加额(万元),15316,-61426,-54479,-4224,2466,22320,52510,-6297,-6166,9816,4936,-2047,-1975,3138,827,-1230,-2213,15917,14232,-1277,1141,-16958,-21574,-4518,-320,19788,8327,5909,1169, 
 加:期初现金及现金等价物余额(万元),79604,134513,141030,134513,134513,112193,112193,77162,77162,67346,67346,67346,67346,64208,64208,64208,64208,48291,48291,48291,48291,65248,65248,56515,0,45460,45460,45460,0, 
 期末现金及现金等价物余额(万元),94920,73087,86551,130289,136979,134513,164702,70865,70996,77162,72281,65299,65371,67346,65034,62978,61994,64208,62522,47013,49431,48291,43675,51997,0,65248,53788,51369,0, 
 净利润(万元),--,93714,--,62157,--,69772,--,-4654,--,-11489,--,-11309,--,-7051,0,--,0,2828,0,--,--,4560,--,3591,0,5503,--,4681,0, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,3422,--,--,0,3752,--,--,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 资产减值准备(万元),--,1208,--,-272,--,-56,--,-120,--,-344,--,833,--,1110,0,--,--,274,--,--,--,107,--,--,0,19,--,-2,0, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,71918,--,36666,--,73086,--,3605,--,7115,--,3800,--,8127,0,--,0,7849,0,--,--,3900,--,497,0,1205,--,791,0, 
 无形资产摊销(万元),--,933,--,602,--,1145,--,27,--,54,--,27,--,54,0,--,--,43,--,--,--,39,--,--,0,0,--,--,0, 
 长期待摊费用摊销(万元),--,90,--,77,--,39,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,87,--,--,0,0,--,--,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,16,--,--,--,11,--,--,--,--,--,--,--,-1,0,--,--,0,--,--,--,5,--,--,0,-3,--,--,0, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 公允价值变动损失(万元),--,-45755,--,-33515,--,-33799,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 财务费用(万元),--,14838,--,15763,--,39168,--,2933,--,5881,--,2874,--,5825,0,--,--,5778,--,--,--,2221,--,--,0,0,--,--,0, 
 投资损失(万元),--,-5822,--,-3331,--,-10050,--,-1171,--,-592,--,--,--,-466,0,--,--,-238,--,--,--,225,--,-10,0,168,--,429,0, 
 递延所得税资产减少(万元),--,7128,--,649,--,2593,--,--,--,-41,--,--,--,19,0,--,--,301,--,--,--,-294,--,--,0,13,--,--,0, 
 递延所得税负债增加(万元),--,11338,--,8328,--,3324,--,--,--,--,--,--,--,-89,0,--,0,33,0,--,--,55,--,4,0,0,--,--,0, 
 存货的减少(万元),--,-5435,--,-3854,--,19339,--,3023,--,-487,--,-4733,--,-601,0,--,--,-2238,--,--,--,-12281,--,3,0,59,--,61,0, 
 经营性应收项目的减少(万元),--,-16968,--,-17399,--,-6247,--,-7695,--,4699,--,5410,--,4549,0,--,0,-5597,0,--,--,-26605,--,-177,0,321,--,-137,0, 
 经营性应付项目的增加(万元),--,-30749,--,6442,--,-2773,--,760,--,5969,--,-583,--,-13719,0,--,0,19885,0,--,--,32549,--,-2485,0,-269,--,154,0, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 其他(万元),--,--,--,--,--,-201,--,--,--,-104,--,-124,--,-129,0,--,--,--,--,--,--,0,--,--,0,-28,--,--,0, 
 经营活动产生现金流量净额(万元),--,96455,--,72236,--,155351,--,-3291,--,10661,--,-3805,--,-2370,0,--,--,28919,--,--,--,7989,--,1423,0,10738,--,5976,0, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 现金的期末余额(万元),94920,73087,86551,130289,136979,134513,164702,70865,70996,77162,72281,65299,65371,67346,65034,62978,61994,64208,62522,47013,49431,48291,43675,51997,0,65248,53788,51369,0, 
 现金的期初余额(万元),79604,134513,141030,134513,134513,112193,112193,77162,77162,67346,67346,67346,67346,64208,64208,64208,64208,48291,48291,48291,48291,65248,65248,56515,0,45460,45460,45460,0, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,--,--,0,0,--,--,0, 
 现金及现金等价物的净增加额(万元),15316,-61426,-54479,-4224,2466,22320,52510,-6297,-6166,9816,4936,-2047,-1975,3138,827,-1230,-2213,15917,14232,-1277,1141,-16958,-21574,-4518,0,19788,8327,5909,0, 

