 报告日期,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),671964,393983,188333,581248,380683,175132, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),261,187,42,3132,3065,1516, 
 收到的其他与经营活动有关的现金(万元),3616,2063,802,9768,7755,102, 
 经营活动现金流入小计(万元),675840,396232,189177,594148,391503,176749, 
 购买商品、接受劳务支付的现金(万元),633963,389546,190336,716854,456896,211073, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),24976,15480,8168,19490,12341,5830, 
 支付的各项税费(万元),52789,43753,9477,30627,18405,8005, 
 支付的其他与经营活动有关的现金(万元),10326,6509,3685,9054,6065,4052, 
 经营活动现金流出小计(万元),722054,455288,211666,776024,493708,228960, 
 经营活动产生的现金流量净额(万元),-46214,-59056,-22488,-181876,-102205,-52211, 
 收回投资所收到的现金(万元),32,32,32,851,84,84, 
 取得投资收益所收到的现金(万元),--,--,--,8,8,8, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),109,56,41,-442,-446,20, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),141,88,73,417,-353,112, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5805,2570,1523,11693,7787,4334, 
 投资所支付的现金(万元),17420,--,--,2000,100,100, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
