 报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),1019277,561395,286160,1394002,1121759,765778,383816,1239870,998303,619375,287203,1026729,755048,449424,197692, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 收到的税费返还(万元),14678,14678,1483,6370,--,--,1496,10138,7373,4298,6694,10428,7678,5107,2851, 
 收到的其他与经营活动有关的现金(万元),10370,7255,29077,15268,7341,4831,843,4826,11941,8420,3079,4829,11890,6758,3973, 
 经营活动现金流入小计(万元),1044325,583327,316719,1415640,1129099,770609,386155,1254835,1017617,632093,296976,1041986,774615,461289,204517, 
 购买商品、接受劳务支付的现金(万元),795144,436853,220266,1062823,916230,630230,340455,941034,766245,493443,235950,758238,527761,317901,146031, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),112746,72613,33657,144021,99211,64023,33486,104675,77105,49351,25121,81156,59301,40830,22507, 
 支付的各项税费(万元),52305,32744,10201,83958,49540,33932,16892,61108,41630,25354,12369,48029,33153,21812,10870, 
 支付的其他与经营活动有关的现金(万元),50331,33223,48419,96653,50553,46409,29671,84934,60255,37685,12925,52696,75322,43969,18091, 
 经营活动现金流出小计(万元),1010526,575432,312543,1387455,1115534,774594,420504,1191752,945234,605834,286366,940118,695536,424512,197499, 
 经营活动产生的现金流量净额(万元),33798,7895,4176,28185,13565,-3985,-34350,63082,72383,26259,10610,101868,79079,36778,7018, 
 收回投资所收到的现金(万元),--,--,--,621,--,--,--,36,3000,0,--,48,--,0,25, 
 取得投资收益所收到的现金(万元),927,203,58,1693,1189,770,623,990,413,279,9,1339,753,714,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),145,69,53,36,707,700,662,45087,85,92,717,4751,130,53,5, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,0,--,0,49,--,43,0,5, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 投资活动现金流入小计(万元),1072,272,111,2350,1895,1470,1286,46113,3498,372,774,6138,926,767,36, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),120218,55717,43513,81448,172931,141509,49654,135633,174174,69843,31056,186452,128343,64392,38345, 
 投资所支付的现金(万元),7031,6277,3605,966,560,560,--,6136,9188,4706,2506,3164,759,7240,5568, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 支付的其他与投资活动有关的现金(万元),--,--,611,--,--,2954,--,0,86,0,2303,--,2385,0,1249, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 投资活动现金流出小计(万元),127249,61994,47729,82414,173491,145023,49654,141769,183448,74549,35866,189616,131487,71632,45162, 
 投资活动产生的现金流量净额(万元),-126176,-61722,-47618,-80064,-171596,-143553,-48368,-95656,-179950,-74178,-35092,-183479,-130561,-70865,-45126, 
 吸收投资收到的现金(万元),107026,98026,--,11940,13149,13149,--,3872,272,0,--,5799,5666,0,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,3872,--,0,--,--,--,0,--, 
 取得借款收到的现金(万元),761061,464588,366363,680155,618475,403291,289898,617264,606235,308788,184194,580344,373871,160828,146245, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,80000,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 筹资活动现金流入小计(万元),868087,562614,366363,692095,631624,416440,289898,621136,606506,308788,184194,586143,379537,240828,146245, 
 偿还债务支付的现金(万元),674074,376080,291363,567805,456263,223166,154560,517704,442908,231327,141010,466594,297755,191740,101114, 
 分配股利、利润或偿付利息所支付的现金(万元),33080,24413,11344,55916,3263,18987,8997,38162,29618,19074,10128,30236,22666,12664,6081, 
 其中：子公司支付给少数股东的股利、利润(万元),910,682,--,--,--,--,--,582,590,590,--,523,519,519,--, 
 支付其他与筹资活动有关的现金(万元),21681,18697,--,4692,--,--,--,0,--,0,--,--,--,0,--, 
 筹资活动现金流出小计(万元),728835,419190,302707,628413,459527,242153,163557,555867,472527,250401,151138,496830,320421,204404,107195, 
 筹资活动产生的现金流量净额(万元),139252,143423,63657,63682,172097,174287,126341,65269,133979,58387,33056,89313,59116,36424,39050, 
 汇率变动对现金及现金等价物的影响(万元),-60,-164,-7,-1276,-751,-742,-363,-208,-51,-22,-7,-135,-26,-16,-13, 
 现金及现金等价物净增加额(万元),46814,89432,20207,10528,13316,26007,43260,32488,26361,10446,8567,7567,7608,2321,928, 
 加:期初现金及现金等价物余额(万元),105672,105672,105672,95144,95144,95144,95144,62656,62656,62656,63182,55089,55089,55089,55079, 
 期末现金及现金等价物余额(万元),152486,195104,125880,105672,108460,121151,138405,95144,89018,73102,71750,62656,62697,57410,56008, 
 净利润(万元),--,-8101,0,-136233,0,-4128,--,-49757,--,-16539,--,--,--,-13743,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 资产减值准备(万元),--,274,--,683,--,-11,--,1567,--,57,--,--,--,-134,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,30367,0,55656,0,26646,--,56101,--,26717,--,--,--,25711,--, 
