 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),7078,3437,15802,9076,6788,3077,13708,8802,6368,3585,16884,14722,9918,6982,1196,37779,31129,9936,3049, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),18,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),60,38,326,239,--,--,666,--,365,--,275,--,--,--,5,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),11334,21303,268,342,-1126,-1530,4404,2723,4742,73,6984,7718,3189,1528,78314,-7660,6,16881,124, 
 经营活动现金流入小计(万元),18490,24779,16396,9657,5662,1547,18777,11525,11475,3657,24143,22440,13106,8511,79515,30119,31135,26817,3173, 
 购买商品、接受劳务支付的现金(万元),6326,3571,7658,4936,4833,3863,9836,4293,5777,2826,13750,20729,13083,8176,1715,49315,35138,28928,5946, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1121,605,2788,1636,933,608,2143,1199,1074,307,1045,106,45,25,1272,560,25,11,8, 
 支付的各项税费(万元),391,271,1115,1018,914,306,1602,1166,847,623,1586,1028,598,535,350,586,270,53,--, 
 支付的其他与经营活动有关的现金(万元),17807,23207,1739,4039,601,147,1634,3294,1705,437,3193,2284,1282,1528,79010,3057,14066,427,25, 
 经营活动现金流出小计(万元),25647,27654,13299,11629,7279,4924,15215,9952,9403,4193,19574,24147,15008,10264,82348,53519,49499,29420,5979, 
 经营活动产生的现金流量净额(万元),-7157,-2875,3097,-1972,-1618,-3377,3561,1573,2072,-535,4570,-1707,-1901,-1754,-2833,-23400,-18364,-2603,-2806, 
 收回投资所收到的现金(万元),1125,--,--,--,--,--,1900,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,1,--,--,--,--,1926,--,--,1743,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,11298,--,--,--,1480,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,921,--,--,--,3396,--,2120,--,23908,--,--,--,40160,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1126,0,12219,0,0,0,6777,0,2120,0,23908,1926,0,0,41903,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5808,5089,6153,2537,2492,649,7926,5373,922,1230,3990,6732,380,-25,167,-3996,2,1049,1, 
 投资所支付的现金(万元),50,--,--,400,--,--,1900,--,1900,112,--,0,0,-360,988,988,--,750,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,319,--,319,--,12066,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),726,--,1135,--,--,--,6125,--,3240,--,10705,--,--,--,58192,--,--,--,4000, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),6584,5089,7288,2937,2492,649,16270,5373,6381,1343,26761,6732,380,-385,59347,-3008,2,1799,4001, 
 投资活动产生的现金流量净额(万元),-5458,-5089,4932,-2937,-2492,-649,-9493,-5373,-4261,-1343,-2853,-4805,-380,385,-17444,3008,-2,-1799,-4001, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,3372,--,--,17176,26460,26460,17176,12824, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),6348,1200,2150,2216,-131,-135,8500,404,1500,702,800,1474,500,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,2310,--,--,--,177,--,--,--,934,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),6348,1200,4460,2216,-131,-135,8677,404,1500,702,1734,4845,500,0,17176,26460,26460,17176,12824, 
 偿还债务支付的现金(万元),3276,170,2900,631,--,--,925,--,500,--,1000,--,--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),108,24,1131,182,68,14,178,--,45,--,27,22,3,--,87,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,1804,--,--,--,983,--,219,--,1088,--,--,--,169,--,--,--,--, 
 筹资活动现金流出小计(万元),3384,194,5835,813,68,14,2086,0,763,0,2115,22,3,0,256,0,0,0,0, 
 筹资活动产生的现金流量净额(万元),2964,1006,-1375,1403,-199,-149,6591,404,737,702,-381,4824,497,0,16920,26460,26460,17176,12824, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-9652,-6958,6653,-3506,-4310,-4175,659,-3396,-1453,-1176,1336,-1688,-1784,-1369,-3356,0,8094,12773,6018, 
 加:期初现金及现金等价物余额(万元),11310,11310,4657,4657,4657,4657,3998,3998,3998,3998,2663,2663,2663,2663,6019,6019,6019,12046,1, 
 期末现金及现金等价物余额(万元),1658,4352,11310,1151,347,482,4657,602,2545,2822,3998,974,878,1294,2663,6069,14113,24820,6019, 
 净利润(万元),--,--,13506,--,526,--,1066,--,613,--,2700,--,531,--,1761,--,455,--,426038, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,--,584,--,7,--,233,--,146,--,-176,--,-14,--,296,--,66,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,--,571,--,275,--,504,--,242,--,201,--,157,--,9,--,2,--,--, 
 无形资产摊销(万元),--,--,45,--,--,--,24,--,10,--,4,--,--,--,1,--,--,--,--, 
 长期待摊费用摊销(万元),--,--,118,--,414,--,120,--,110,--,74,--,264,--,4,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,0,--,0,--,--,--,--,--,1,--,0,--,--,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,251,--,68,--,191,--,40,--,45,--,3,--,87,--,87,--,10550, 
 投资损失(万元),--,--,-15726,--,-109,--,-66,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,--,-82,--,--,--,-18,--,-28,--,31,--,--,--,-39,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,1,--,--,--,--,--,--,--,45,--,--,--,-10,--,--, 
 存货的减少(万元),--,--,-2099,--,-91,--,-1675,--,-1461,--,418,--,-87,--,-800,--,--,--,--, 
 经营性应收项目的减少(万元),--,--,-4871,--,-283,--,1731,--,2894,--,4496,--,-3866,--,-5485,--,-14852,--,-3000, 
 经营性应付项目的增加(万元),--,--,10800,--,-1373,--,1452,--,-495,--,-3225,--,2133,--,1334,--,-4111,--,142, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,-1055,--,--,--,--,--,--,--,-1067,--,--,--,--,--,-436535, 
 经营活动产生现金流量净额(万元),--,--,3097,--,-1618,--,3561,--,2072,--,4570,--,-1901,--,-2833,--,-18364,--,-2806, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
