 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),952723,504427,2080716,1617747,945063,529959,1783200,1384957,797246,410181,1529256,1179907,671720,352039,1345029,1034931,611081,313136,1271030,977702,603628,299433,1182194,891718,527517,254492,1095854,844023,501398,224253,986248,733095,431150,198973,735284,540261,310399,145903,537254,397258,233643,112115,514246,372937,240511,122012,461500,337071,195762,92978,426661,300574,181946,84598, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 收到的税费返还(万元),8272,3739,16059,8378,8339,3962,2010,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,0,--,0,0, 
 收到的其他与经营活动有关的现金(万元),11211,2209,45151,35516,32012,2601,20533,17468,9383,4524,25035,20218,16107,6013,16287,17522,11926,6706,37394,19625,13950,8092,29872,20910,13707,4615,13837,11300,7368,1548,10022,8270,6490,2029,9702,2127,1247,813,14409,15768,9322,6763,7953,4918,1709,824,6247,4943,3354,2227,25084,24513,7973,3019, 
 经营活动现金流入小计(万元),972205,510376,2141926,1661641,985414,536523,1805743,1402425,806629,414705,1554290,1200125,687828,358052,1361316,1052453,623007,319842,1308424,997328,617578,307526,1212066,912628,541223,259107,1109691,855323,508766,225801,996270,741365,437639,201002,744987,542388,311646,146716,551663,413026,242964,118878,522199,377855,242220,122836,467747,342014,199116,95205,451745,325087,189919,87617, 
 购买商品、接受劳务支付的现金(万元),691696,361380,1478295,1115412,698208,360698,1257652,924824,564464,306420,981746,729463,421730,240613,859129,673757,426485,217776,951767,691023,437359,225048,829697,607397,375327,178236,713474,517678,329636,154552,578888,413201,256133,122056,429552,319239,197645,84522,328859,235872,133832,72489,336264,244154,144638,83169,324507,226492,134862,63871,288289,187991,111215,56912, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),172238,106798,312797,243435,170303,103208,278101,210822,143682,91460,233562,177475,121587,78148,191777,136123,92965,67419,141048,123809,88270,56728,149108,115204,82088,46506,128071,86222,59992,34685,109052,66252,50191,28586,82733,53273,35367,22334,61415,43397,29905,16325,54346,30483,27577,13498,38249,27042,19370,10312,26791,22654,14536,5769, 
 支付的各项税费(万元),44658,30348,72108,29219,23674,5228,50394,30180,24468,7349,66827,45853,34141,5275,44959,27647,16932,3157,41663,25296,17106,6069,68734,55973,39241,12692,70666,74103,48694,14437,65536,72196,45310,15558,49770,40433,25077,7560,19943,23392,15863,4109,17656,13178,12641,6168,24042,9959,8742,4936,12888,9605,6514,4252, 
 支付的其他与经营活动有关的现金(万元),9205,4582,33725,10785,7339,6686,34155,17876,9099,5825,29450,14160,7919,7025,23005,16498,8467,6377,27963,13290,7057,5299,23409,10273,7631,4851,24847,6043,6295,4462,18289,3636,2674,3647,15424,6022,5396,4081,9712,9017,6691,1088,7949,13043,12754,2563,7492,5937,4689,3347,17850,1818,4267,3190, 
 经营活动现金流出小计(万元),917797,503108,1896924,1398851,899524,475821,1620301,1183702,741714,411054,1311585,966951,585378,331061,1118870,854025,544849,294730,1162441,853418,549793,293144,1070948,788846,504287,242286,937059,684046,444617,208136,771765,555285,354307,169847,577479,418968,263485,118497,419929,311677,186291,94010,416215,300858,197610,105398,394290,269431,167663,82466,345817,222067,136533,70123, 
 经营活动产生的现金流量净额(万元),54408,7268,245002,262790,85890,60702,185442,218723,64915,3651,242706,233174,102450,26990,242446,198428,78158,25112,145983,143909,67785,14382,141119,123782,36937,16820,172632,171278,64149,17665,224505,186081,83332,31155,167508,123420,48161,28219,131735,101348,56674,24867,105983,76997,44610,17438,73457,72583,31453,12739,105928,103020,53387,17494, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,20080,20080,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,68475,66418,33209,0, 
 取得投资收益所收到的现金(万元),--,--,1793,1463,--,--,2274,1984,57,--,2302,2012,438,--,879,611,611,--,1515,1433,1433,1433,245,--,--,150,1625,1373,--,170,1184,1048,--,206,285,337,110,256,210,483,321,--,1121,113,113,--,96,96,0,0,850,375,375,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3,2,5927,6020,6018,5962,341,2,--,0,182,1,--,3,9233,4717,3773,1886,7420,8064,4378,45,17468,15149,32,1,8,6,4,2,2664,21,17,9,3,--,1,0,32757,31714,31714,34606,2,4,2,1,0,--,0,0,427,276,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,91,--,0,--,75,--,0,0,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),21,7,9,12,--,51,--,--,--,23,--,1,--,27,--,--,--,35,--,--,--,129,--,--,--,--,--,69,0,--,--,38,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,0,--,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,0,--,0,--, 
 投资活动现金流入小计(万元),25,9,7730,7495,6018,6013,2615,1986,57,23,2484,2015,438,30,30192,25408,4384,1921,8935,9496,5810,1607,17713,15149,32,151,1633,1448,4,172,3848,1106,17,215,288,337,111,256,32967,32197,32035,34606,1215,117,115,1,171,96,0,0,69752,67069,33584,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),122140,72192,419618,277444,186178,87618,226145,150865,105949,24050,217022,134355,103049,26042,218219,138054,78264,30930,185436,165546,117676,34683,172309,113520,53208,20356,223383,143982,83271,11906,149521,122613,55550,35504,108525,81105,46554,17742,100220,85588,45691,24297,129808,100105,46798,19414,129960,92484,39903,16539,62276,40827,35145,19874, 
