 报告日期,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),76898,59603,33945,17226,63166,58600,38700,11264,80695,61635,38551,16280,72847,53793,33972,13905, 
 客户存款和同业存放款项净增加额(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 处置交易性金融资产净增加额(万元),3397,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 收到的税费返还(万元),--,--,--,0,1,--,0,--,--,--,0,0,12,8,8,--, 
 收到的其他与经营活动有关的现金(万元),2309,2640,1742,386,375,1440,1119,1160,5061,3761,3234,2379,9064,4567,924,1131, 
 经营活动现金流入小计(万元),82603,62243,35687,17612,63542,60040,39819,12424,85755,65396,41784,18658,81924,58368,34903,15036, 
 购买商品、接受劳务支付的现金(万元),18386,16467,9651,3667,13425,25341,25794,3741,20202,15730,7519,2710,14375,13678,8324,2432, 
 客户贷款及垫款净增加额(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
