 报告日期,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),7476598,5484879,3496169,1241497,6439541,4838815,3209782,1816024,10378212,2862378,1753366,849084,9207194,2728530,1740002,937451,9525064,2772370,1930165,681373,9495724,3412041,2487952,906558,6619522,2636913,1751851,973069,5351068,2559333,1875791,713401,7319712,4991847,3494454,1344439,5030243,3323123,2200900,1000203,4822051,2681356,1678738,671333, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 收到的税费返还(万元),22144,15391,10016,4674,40510,31029,24146,14763,41870,445,383,308,579,500,432,--,6085,3125,3061,87,2949,186,90,67,150253,120253,120185,120185,7282,7282,7279,7279,127283,58455,2,--,35460,--,0,--,0,--,0,0, 
 收到的其他与经营活动有关的现金(万元),25175,21606,10385,3678,22574,14343,9355,4141,33344,16198,8679,14060,15716,10536,5840,3423,10222,7226,4935,21703,9854,8064,2267,527,2596,2805,2042,679,5633,1706,1279,492,4101,10059,7054,4491,4151,1319,949,520,2736,1808,1315,634, 
 经营活动现金流入小计(万元),7523917,5521877,3516569,1249848,6502626,4884186,3243283,1834929,10453425,2879020,1762428,863452,9223489,2739566,1746274,940874,9541371,2782722,1938161,703163,9508527,3420291,2490310,907152,6772371,2759971,1874078,1093934,5363983,2568322,1884349,721172,7451096,5060361,3501510,1348930,5069854,3324442,2201850,1000723,4824787,2683164,1680054,671967, 
 购买商品、接受劳务支付的现金(万元),6322203,4735396,2909953,1059989,5979440,4329164,2627805,1581067,8716033,1986886,1214239,640003,7949592,1876584,1106269,596572,8411743,2126154,1504767,375705,8572254,2784146,2013348,731994,5656383,2032358,1512822,853177,3919756,1647497,1167206,498102,5311872,3769859,2500492,1005117,3095505,2106183,1373876,621843,3310317,1700682,1079787,523630, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),388574,280770,193194,98872,411855,308252,208035,108767,520914,334653,221369,116716,478715,355312,240979,128979,444490,340371,229260,113226,465671,315479,209136,82617,294664,213416,137467,75856,262256,193560,126925,82887,260317,194792,128415,62685,242304,115148,74994,40213,209758,85959,57321,33808, 
 支付的各项税费(万元),140852,94922,58721,9921,278176,200907,135516,52408,319533,206287,136070,50704,278703,216715,182559,115197,195336,118646,95233,70699,281377,241162,173504,67896,173189,122359,92092,47375,294480,59685,38380,16718,769029,519129,311980,155967,656222,465829,303122,140294,540460,356384,193000,91820, 
 支付的其他与经营活动有关的现金(万元),78259,52413,39592,25899,103153,69766,45745,28835,126542,69835,39125,17975,93664,75056,46717,22275,104338,96862,63822,56963,113695,109390,72008,16797,75220,48207,32864,14664,94107,37780,23034,22662,100705,53540,28277,33775,91247,60496,39854,18765,74745,55646,34967,16862, 
 经营活动现金流出小计(万元),6929888,5163502,3201459,1194681,6772624,4908089,3017102,1771077,9683021,2597661,1610802,825398,8800674,2523667,1576523,863024,9155907,2682033,1893082,616593,9432997,3450177,2467997,899305,6199457,2416341,1775245,991073,4570600,1938522,1355546,620369,6441923,4537319,2969165,1257543,4085278,2747656,1791846,821115,4135281,2198671,1365075,666120, 
 经营活动产生的现金流量净额(万元),594029,358374,315110,55167,-269998,-23903,226181,63851,770404,281359,151625,38054,422815,215899,169751,77850,385464,100688,45079,86570,75530,-29886,22313,7848,572914,343630,98833,102861,793383,629800,528803,100803,1009173,523042,532345,91387,984577,576786,410004,179608,689506,484493,314979,5847, 
 收回投资所收到的现金(万元),--,--,--,--,--,122,--,--,2015,2012,2012,2012,91,--,--,--,1113,--,--,--,--,--,--,--,5000,5000,--,--,68069,44481,23555,--,--,145856,--,--,0,--,0,--,0,--,0,0, 
 取得投资收益所收到的现金(万元),23644,12388,10242,9946,14491,11487,7486,6876,25120,2446,0,--,4385,4385,--,--,7204,5760,--,0,10969,10915,5077,--,5684,5630,4930,--,7314,7314,1236,--,6328,6002,3424,--,1414,1214,1214,1214,1324,1243,1043,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8383,11020,--,--,508,43,--,--,1,--,0,--,22880,380,342,--,76039,27,27,0,14,14,14,--,1,1,1,0,1912,--,--,--,3149,86,65,-121,5540,1,1,1,7711,8,8,3, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0, 
