 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),63446,31372,164589,128662,82323,41098,191148,171168,142549,43862,253828,205466,93470,62888,237073,212359,94781,54301,269086,190991,122912,56299,266214,178869,121852,54688,305038,216253,140902,60301,267321,181433,109596,47456,207643,138147,87245,40701,175726,107052,66360,25815,139310,90450,54437,28337,128079,97698,68283,29971,108153,66030,44532,16480, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 收到的税费返还(万元),428,289,467,429,375,212,568,388,279,165,680,395,256,176,551,349,193,87,456,295,156,46,317,237,86,46,227,92,78,18,176,84,74,44,88,46,18,4,78,37,9,9,58,38,26,8,110,67,27,0,86,81,78,40, 
 收到的其他与经营活动有关的现金(万元),3410,485,3494,2794,3765,414,7897,2054,8976,423,7593,2068,4774,675,7113,2474,3200,561,8575,6433,5654,4535,6222,2225,1434,593,5835,1628,6946,311,4281,1286,1331,363,3901,1800,907,681,833,876,378,196,4036,1078,846,228,3776,496,723,1802,111,192,60,331, 
 经营活动现金流入小计(万元),67284,32147,168550,131885,86463,41724,199612,173610,151803,44450,262101,207929,98500,63738,244737,215181,98173,54949,278117,197719,128722,60880,272753,181332,123371,55327,311099,217974,147926,60630,271778,182802,111000,47863,211633,139994,88170,41386,176637,107965,66748,26020,143404,91566,55309,28572,131965,98261,69033,31773,108349,66303,44670,16852, 
 购买商品、接受劳务支付的现金(万元),58496,37484,133333,117840,79584,44774,153281,155719,134980,48617,201192,178978,80269,69216,186624,185429,84076,60184,218202,168322,109117,53380,216366,151604,112293,55691,244484,185032,128819,60095,230252,161093,104080,49744,194684,140298,83776,41375,138755,93946,58090,24490,116780,82387,52095,28410,98697,80425,57178,25024,93476,57079,38823,15123, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12375,7408,25331,18503,13461,8103,24501,18182,13509,7529,24053,18424,12503,6840,24754,18130,11384,5573,22873,15349,10202,5342,18017,14031,9066,4954,17430,14431,9204,4609,14169,10577,6570,3568,11094,8276,5568,2759,9666,7500,5086,2525,8684,6330,3736,2407,8519,6393,4197,2252,8407,6303,3743,2146, 
 支付的各项税费(万元),4989,2665,8411,6332,4336,2561,11140,7635,5014,3529,9269,6343,3261,1738,10131,7827,5285,1887,9768,6625,4673,2213,12309,8481,6034,3032,12537,8804,5387,3486,7873,6023,4719,3131,6051,5357,3526,2185,6091,4383,3129,1668,6475,4857,2604,1697,3682,2560,1821,782,3281,2906,1408,598, 
 支付的其他与经营活动有关的现金(万元),7834,4233,17017,14378,11609,4461,15411,11727,11918,4488,16672,14482,12126,3972,21631,15753,11016,6253,20173,18264,10381,8938,21391,14354,9503,4905,23801,13879,7337,4148,17674,12541,7977,4124,16143,9309,5449,2585,10503,6575,4308,2231,6238,4094,2337,2053,7597,5677,2172,1661,5543,4827,4558,1226, 
 经营活动现金流出小计(万元),83694,51790,184092,157052,108990,59899,204334,193263,165420,64164,251187,218228,108158,81766,243140,227139,111761,73897,271015,208560,134373,69874,268083,188471,136897,68582,298253,222147,150747,72338,269968,190234,123346,60567,227972,163241,98319,48904,165015,112404,70614,30914,138177,97668,60772,34568,118496,95055,65369,29719,110706,71115,48533,19094, 
 经营活动产生的现金流量净额(万元),-16410,-19643,-15542,-25168,-22528,-18175,-4722,-19654,-13616,-19715,10915,-10299,-9658,-18028,1597,-11958,-13588,-18948,7102,-10841,-5651,-8994,4670,-7139,-13526,-13255,12847,-4173,-2821,-11708,1811,-7432,-12346,-12704,-16339,-23247,-10149,-7518,11621,-4439,-3866,-4894,5226,-6101,-5463,-5995,13469,3206,3664,2055,-2357,-4812,-3862,-2242, 
