 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31, 
 销售商品、提供劳务收到的现金(万元),1299,538,50,50,96,46,18,16,16,15,5708,11,11,7,3095,95,95,--,208,156,152,150,567,14,56,11,597,108,108,95,1300,692,550,211,646,248,568,89,450,718,407,74, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),208,54,252,130,76,68,55,745,432,442,755,1290,1256,2,395,921,395,424,1566,1428,938,367,219,1369,627,719,125,60,5,--,433,54,--,349,585,51,290,290,436,--,405,261, 
 经营活动现金流入小计(万元),1507,592,302,180,172,113,73,761,448,458,6464,1302,1267,9,3490,1015,489,424,1774,1584,1090,518,786,1383,683,730,722,168,113,95,1733,746,550,559,1231,299,859,379,886,718,812,335, 
 购买商品、接受劳务支付的现金(万元),1277,323,45,50,50,--,193,401,249,377,1715,--,--,6,3473,1,1,--,245,22,23,15,285,94,28,0,204,122,29,15,742,813,70,105,853,249,600,156,498,717,662,223, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),22,36,161,161,161,153,102,97,98,65,194,113,81,53,11543,10638,531,405,918,755,585,311,967,981,463,390,1043,798,569,222,3318,794,566,315,7137,264,467,235,2566,227,440,436, 
 支付的各项税费(万元),6,6,--,6,6,1,340,342,342,8,527,543,533,424,2532,2528,1274,0,--,--,--,--,12,8,8,11,316,315,220,220,2523,2501,2498,3,32,3,2,1,15,5,7,1, 
 支付的其他与经营活动有关的现金(万元),319,150,1050,488,478,183,422,310,157,-42,1908,3732,3685,504,6346,3738,450,215,604,1419,913,433,527,888,584,510,2461,2006,26,--,164,168,--,296,147,19,290,194,155,41,399,--, 
 经营活动现金流出小计(万元),1623,516,1255,705,695,337,1057,1149,846,408,4345,4389,4299,987,23894,16904,2255,621,1766,2196,1521,759,1790,1971,1083,911,4024,3241,843,457,6748,4277,3760,720,8169,535,1360,586,3234,989,1508,660, 
 经营活动产生的现金流量净额(万元),-116,76,-954,-524,-523,-224,-985,-388,-398,50,2119,-3087,-3032,-978,-20404,-15889,-1765,-197,8,-612,-431,-241,-1004,-588,-400,-181,-3302,-3073,-730,-362,-5015,-3531,-3210,-160,-6939,-236,-501,-207,-2349,-271,-696,-325, 
 收回投资所收到的现金(万元),--,--,--,--,--,52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,2372,1816,1816,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,50,380,--,--,--,854,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,102,380,0,0,0,854,0,0,0,2372,1816,1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,3993,--,--,--,--,--,--,--,0,--,--,--,3,--,--,--,--,22,22,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,0,--,--,167,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),0,0,4,0,0,167,0,0,0,0,3993,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,22,0,0,0,0,--,0,0,0,0,0,0,0,0, 
 投资活动产生的现金流量净额(万元),0,0,-4,0,0,-65,380,0,0,0,-3139,0,0,0,2372,1816,1816,0,-0,0,0,0,-3,0,0,0,0,-22,-22,0,0,0,0,--,0,0,0,0,0,0,0,0, 
