 报告日期,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),687540,525560,376984,85834,485998,289761,221724,118259,564272,416407,258281,103184,66968,49369,30589,15914,103167,91575,67279,36519, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,0,0,0,--,--,--,0,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,0,--,0,--,--,--,--,0,0,0,--,--,--,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,0,0,0,--,--,--,0,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,0,--,0,--,--,--,--,0,0,0,--,--,--,0,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,0,--,0,--,--,--,--,0,0,0,--,--,--,0,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,0,0,0,--,--,--,0,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,0,0,0,--,--,--,0,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,0,--,0,--,--,--,--,0,0,0,--,--,--,0,--,--, 
 拆入资金净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,0,0,0,--,--,--,0,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,0,0,0,--,--,--,0,--,--, 
 收到的税费返还(万元),55498,50416,34472,17306,42642,37593,36818,16661,32799,18128,10921,1787,561,194,100,10,598,247,167,100, 
 收到的其他与经营活动有关的现金(万元),15583,10584,8785,9883,29369,7567,12672,3828,12763,14242,12042,26893,812,8427,6074,3508,2508,10305,5163,10228, 
 经营活动现金流入小计(万元),758620,586561,420242,113024,558009,334921,271214,138749,609834,448777,281244,131864,68341,57991,36763,19432,106273,102126,72609,46847, 
