 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),226309,194875,119108,86282, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1215,590,568,1144, 
 经营活动现金流入小计(万元),227524,195466,119675,87426, 
 购买商品、接受劳务支付的现金(万元),132711,119801,73332,55707, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),19603,12835,8155,5244, 
 支付的各项税费(万元),14952,15456,10746,4575, 
 支付的其他与经营活动有关的现金(万元),29287,24304,18096,14838, 
 经营活动现金流出小计(万元),196553,172397,110330,80363, 
 经营活动产生的现金流量净额(万元),30971,23069,9345,7063, 
 收回投资所收到的现金(万元),--,--,160,--, 
 取得投资收益所收到的现金(万元),78,51,27,7, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,247,5,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),73738,70402,68436,15791, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),73818,70700,68628,15798, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7017,13703,4505,1868, 
 投资所支付的现金(万元),--,600,400,64, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),10194,--,--,--, 
 支付的其他与投资活动有关的现金(万元),73738,70402,67792,16435, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),90949,84705,72697,18367, 
 投资活动产生的现金流量净额(万元),-17131,-14006,-4069,-2569, 
 吸收投资收到的现金(万元),--,7883,700,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--, 
 取得借款收到的现金(万元),3112,6720,700,2400, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),8291,400,--,--, 
 筹资活动现金流入小计(万元),11403,15003,1400,2400, 
 偿还债务支付的现金(万元),6161,3259,2483,2427, 
 分配股利、利润或偿付利息所支付的现金(万元),194,8465,5143,939, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),13740,2550,400,--, 
 筹资活动现金流出小计(万元),20096,14273,8026,3366, 
 筹资活动产生的现金流量净额(万元),-8693,730,-6626,-966, 
 汇率变动对现金及现金等价物的影响(万元),-64,5,37,0, 
 现金及现金等价物净增加额(万元),5083,9797,-1313,3529, 
 加:期初现金及现金等价物余额(万元),13170,3373,4687,1158, 
 期末现金及现金等价物余额(万元),18253,13170,3373,4687, 
 净利润(万元),18550,14656,10551,7174, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),1009,554,1115,401, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),2765,1309,1153,1258, 
 无形资产摊销(万元),566,257,57,51, 
 长期待摊费用摊销(万元),412,179,129,109, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),2,-0,0,54, 
 固定资产报废损失(万元),0,0,13,5, 
 公允价值变动损失(万元),--,0,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),194,317,91,139, 
 投资损失(万元),-78,-51,-52,9, 
 递延所得税资产减少(万元),195,-545,-449,-114, 
 递延所得税负债增加(万元),--,0,0,0, 
 存货的减少(万元),-6996,-8582,-5205,-4016, 
 经营性应收项目的减少(万元),-2750,-765,-3995,3568, 
 经营性应付项目的增加(万元),17100,15740,5937,-1576, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),--,0,0,0, 
 经营活动产生现金流量净额(万元),30971,23069,9345,7063, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),18253,13170,3373,4687, 
 现金的期初余额(万元),13170,3373,4687,1158, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),5083,9797,-1313,3529, 

