 报告日期,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),351513,320659,273899, 
 客户存款和同业存放款项净增加额(万元),--,0,0, 
 向中央银行借款净增加额(万元,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,0,0, 
 收到原保险合同保费取得的现金(万元),--,0,0, 
 收到再保险业务现金净额(万元),--,0,0, 
 保户储金及投资款净增加额(万元),--,0,0, 
 处置交易性金融资产净增加额(万元),--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,0,0, 
 拆入资金净增加额(万元),--,0,0, 
 回购业务资金净增加额(万元),--,0,0, 
 收到的税费返还(万元),885,1794,2129, 
 收到的其他与经营活动有关的现金(万元),6963,9180,4257, 
 经营活动现金流入小计(万元),359361,331634,280285, 
 购买商品、接受劳务支付的现金(万元),232778,230064,193663, 
 客户贷款及垫款净增加额(万元),--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,0,0, 
 支付保单红利的现金(万元),--,0,0, 
 支付给职工以及为职工支付的现金(万元),34155,29889,22816, 
 支付的各项税费(万元),25779,20383,17007, 
 支付的其他与经营活动有关的现金(万元),35528,33225,30440, 
 经营活动现金流出小计(万元),328240,313561,263926, 
 经营活动产生的现金流量净额(万元),31122,18073,16359, 
 收回投资所收到的现金(万元),2549,7269,18315, 
 取得投资收益所收到的现金(万元),4136,2901,4442, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5792,3645,1431, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,0, 
 收到的其他与投资活动有关的现金(万元),135,0,0, 
 减少质押和定期存款所收到的现金(万元),--,0,0, 
 投资活动现金流入小计(万元),12613,13814,24188, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7663,10239,19486, 
 投资所支付的现金(万元),3471,7752,1542, 
 质押贷款净增加额(万元),--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,0, 
 支付的其他与投资活动有关的现金(万元),1158,0,0, 
 增加质押和定期存款所支付的现金(万元),--,0,0, 
 投资活动现金流出小计(万元),12292,17992,21028, 
 投资活动产生的现金流量净额(万元),322,-4177,3160, 
 吸收投资收到的现金(万元),--,2889,198, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,2889,198, 
 取得借款收到的现金(万元),25647,23253,24810, 
 发行债券收到的现金(万元),--,0,0, 
 收到其他与筹资活动有关的现金(万元),--,0,1207, 
 筹资活动现金流入小计(万元),25647,26142,26215, 
 偿还债务支付的现金(万元),26904,25449,28080, 
 分配股利、利润或偿付利息所支付的现金(万元),8845,8582,7497, 
 其中：子公司支付给少数股东的股利、利润(万元),--,2910,2548, 
 支付其他与筹资活动有关的现金(万元),213,2433,334, 
 筹资活动现金流出小计(万元),35962,36465,35911, 
 筹资活动产生的现金流量净额(万元),-10316,-10323,-9696, 
 汇率变动对现金及现金等价物的影响(万元),-546,-351,-67, 
 现金及现金等价物净增加额(万元),20581,3222,9757, 
 加:期初现金及现金等价物余额(万元),55763,52541,42784, 
 期末现金及现金等价物余额(万元),76344,55763,52541, 
 净利润(万元),32181,21467,17582, 
 少数股东损益(万元),--,0,0, 
 未确认的投资损失(万元),--,0,0, 
 资产减值准备(万元),2227,2099,539, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),5104,5290,4728, 
 无形资产摊销(万元),476,504,689, 
 长期待摊费用摊销(万元),443,429,491, 
 待摊费用的减少(万元),--,0,0, 
 预提费用的增加(万元),--,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-1478,-711,-414, 
 固定资产报废损失(万元),1,2,149, 
 公允价值变动损失(万元),--,0,0, 
 递延收益增加(减：减少)(万元),--,0,0, 
 预计负债(万元),--,0,0, 
 财务费用(万元),1338,1412,1057, 
 投资损失(万元),-9538,-10423,-7334, 
 递延所得税资产减少(万元),-141,-143,29, 
 递延所得税负债增加(万元),0,0,0, 
 存货的减少(万元),-2474,-2874,3046, 
 经营性应收项目的减少(万元),-2204,-2921,-8243, 
 经营性应付项目的增加(万元),5187,3943,4039, 
 已完工尚未结算款的减少(减:增加)(万元),--,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,0,0, 
 其他(万元),--,0,0, 
 经营活动产生现金流量净额(万元),31122,18073,16359, 
 债务转为资本(万元),--,0,0, 
 一年内到期的可转换公司债券(万元),--,0,0, 
 融资租入固定资产(万元),--,0,0, 
 现金的期末余额(万元),76344,55763,52541, 
 现金的期初余额(万元),55763,52541,42784, 
 现金等价物的期末余额(万元),--,0,0, 
 现金等价物的期初余额(万元),--,0,0, 
 现金及现金等价物的净增加额(万元),20581,3222,9757, 

