 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),96298,81071,53501,38332, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),422,430,198,--, 
 收到的其他与经营活动有关的现金(万元),1833,352,289,66, 
 经营活动现金流入小计(万元),98554,81853,53988,38398, 
 购买商品、接受劳务支付的现金(万元),70651,50817,35144,22843, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),15941,13190,11154,8530, 
 支付的各项税费(万元),3811,2994,2950,1827, 
 支付的其他与经营活动有关的现金(万元),2809,2739,1949,1434, 
 经营活动现金流出小计(万元),93212,69740,51197,34634, 
 经营活动产生的现金流量净额(万元),5342,12113,2791,3764, 
 收回投资所收到的现金(万元),--,--,--,--, 
 取得投资收益所收到的现金(万元),16,17,40,29, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),59,1950,587,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),9300,12500,20210,1000, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),9375,14467,20837,1029, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),21002,31300,9436,4152, 
 投资所支付的现金(万元),--,--,--,1337, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),8500,12600,19660,2250, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),29502,43900,29096,7739, 
 投资活动产生的现金流量净额(万元),-20128,-29433,-8259,-6710, 
 吸收投资收到的现金(万元),--,10534,600,9436, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--, 
 取得借款收到的现金(万元),30500,6500,--,200, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),11050,2635,10116,40, 
 筹资活动现金流入小计(万元),41550,19669,10716,9676, 
 偿还债务支付的现金(万元),17540,2000,197,3, 
 分配股利、利润或偿付利息所支付的现金(万元),1190,375,36,1, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),5173,2203,2185,7496, 
 筹资活动现金流出小计(万元),23903,4578,2417,7500, 
 筹资活动产生的现金流量净额(万元),17647,15091,8298,2176, 
 汇率变动对现金及现金等价物的影响(万元),0,-54,16,46, 
 现金及现金等价物净增加额(万元),2861,-2283,2846,-724, 
 加:期初现金及现金等价物余额(万元),761,3044,198,922, 
 期末现金及现金等价物余额(万元),3622,761,3044,198, 
 净利润(万元),9807,6910,6277,5059, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),522,295,254,265, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),3876,2092,1150,706, 
 无形资产摊销(万元),107,84,37,13, 
 长期待摊费用摊销(万元),2001,1364,769,504, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-30,-53,40,14, 
 固定资产报废损失(万元),41,49,26,0, 
 公允价值变动损失(万元),--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),2148,612,81,-45, 
 投资损失(万元),-16,-17,-41,-29, 
 递延所得税资产减少(万元),545,-623,-55,-17, 
 递延所得税负债增加(万元),--,--,--,--, 
 存货的减少(万元),-2346,-9557,-2873,-4760, 
 经营性应收项目的减少(万元),-10252,-3423,-9304,-4165, 
 经营性应付项目的增加(万元),-1060,14380,6429,6219, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),--,--,--,--, 
 经营活动产生现金流量净额(万元),5342,12113,2791,3764, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),3622,761,3044,198, 
 现金的期初余额(万元),761,3044,198,922, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),2861,-2283,2846,-724, 

