 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),26977666,20846068,17690170,14297641,11184283,10881371,8755753,6603828,5710409,4218628,1636169,1396655,690460,354932, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),4319,4007,1944,--,--,--,--,--,--,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),4131507,5648578,4282290,1566565,1060718,1546155,990809,420671,344206,179235,101371,143584,66252,6043, 
 经营活动现金流入小计(万元),31113492,26498653,21974404,15864206,12245001,12427526,9746562,7024499,6054615,4397863,1737540,1540239,756712,360975, 
 购买商品、接受劳务支付的现金(万元),14382325,18962339,11725603,8667267,9045610,9805542,7419862,6256250,7434882,3906584,2067209,2228297,929840,374801, 
 客户贷款及垫款净增加额(万元),-8879,12460,28281,688,--,--,--,--,--,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),634480,509711,377052,306096,252181,199520,145595,107932,63582,40496,31752,18432,9999,5835, 
 支付的各项税费(万元),3757031,2699459,2326032,2133602,1789585,1759879,1359265,1131166,670379,462143,284392,155274,78652,35151, 
 支付的其他与经营活动有关的现金(万元),11159204,7244269,4112042,2978089,2203462,1637997,512582,321342,122761,103120,113234,75816,140408,28873, 
 经营活动现金流出小计(万元),29924160,29428239,18569009,14085741,13290838,13402936,9437303,7816690,8291605,4512342,2496588,2477820,1158898,444660, 
