 报告日期,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),5310971,4708653,3565992,2739412,2938603,2046927,986413, 
 客户存款和同业存放款项净增加额(万元),--,--,--,0,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,0,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,0,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,0,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,0,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,0,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,0,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,0,--,0,--, 
 拆入资金净增加额(万元),--,--,--,0,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,0,--,0,--, 
 收到的税费返还(万元),261030,274510,150713,44447,146866,68208,38680, 
 收到的其他与经营活动有关的现金(万元),250293,133951,306322,56717,50577,18935,10881, 
 经营活动现金流入小计(万元),5822294,5117114,4023026,2840576,3136046,2134070,1035974, 
 购买商品、接受劳务支付的现金(万元),3830783,3091589,2077884,1702291,1965704,1400311,554087, 
 客户贷款及垫款净增加额(万元),--,--,--,0,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,0,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,0,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,0,--,0,--, 
 支付保单红利的现金(万元),--,--,--,0,--,0,--, 
 支付给职工以及为职工支付的现金(万元),394070,424530,340460,192629,182686,123190,69314, 
 支付的各项税费(万元),291252,310885,227679,179410,132148,63171,40304, 
 支付的其他与经营活动有关的现金(万元),875534,994219,832432,560599,480223,384046,267948, 
 经营活动现金流出小计(万元),5391640,4821223,3478454,2634929,2760761,1970717,931653, 
 经营活动产生的现金流量净额(万元),430655,295892,544572,205647,375285,163353,104322, 
 收回投资所收到的现金(万元),--,12720,--,1441,3100,29150,728, 
 取得投资收益所收到的现金(万元),34592,39687,10806,4698,4061,3000,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1450,5131,3232,15905,2431,7327,14305, 
 处置子公司及其他营业单位收到的现金净额(万元),--,3447,1770,3863,722,0,0, 
 收到的其他与投资活动有关的现金(万元),--,158,--,0,--,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,0,--,0,--, 
 投资活动现金流入小计(万元),36042,61143,15807,25907,10314,39477,15033, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),152409,385252,393718,112311,202785,118577,83235, 
 投资所支付的现金(万元),--,--,--,2033,3525,25362,294, 
 质押贷款净增加额(万元),--,--,--,0,--,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),17131,147387,43317,22827,189196,0,3646, 
 支付的其他与投资活动有关的现金(万元),--,--,--,0,--,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,0,--,0,--, 
 投资活动现金流出小计(万元),169540,532638,437035,137171,395506,143939,87176, 
 投资活动产生的现金流量净额(万元),-133498,-471495,-421228,-111264,-385193,-104462,-72143, 
 吸收投资收到的现金(万元),9215,430437,5199,326690,4536,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),9215,--,5199,35375,--,0,0, 
