 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),103856,93483,41950,47025,39450,51448,46782,29092, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),47,375,1229,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),3971,6104,7344,4598,5486,1132,884,97, 
 经营活动现金流入小计(万元),107874,99962,50523,51623,44936,52581,47666,29189, 
 购买商品、接受劳务支付的现金(万元),85302,96009,40531,39034,41590,52089,38887,31689, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3087,2338,2084,1503,1365,1400,888,1048, 
 支付的各项税费(万元),2535,3979,2396,3235,2645,1489,1041,916, 
 支付的其他与经营活动有关的现金(万元),5663,4903,8642,3275,4794,848,1322,905, 
 经营活动现金流出小计(万元),96586,107230,53652,47047,50394,55827,42138,34558, 
 经营活动产生的现金流量净额(万元),11288,-7269,-3129,4576,-5458,-3246,5528,-5369, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),14,50,24,7,113,179,104,59, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,600,2100,900,--,--,403,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),14,650,2124,907,113,179,507,59, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2381,4049,620,720,558,532,2758,1729, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,307,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,600,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),2381,4049,1527,720,558,532,2758,1729, 
 投资活动产生的现金流量净额(万元),-2367,-3400,597,187,-445,-353,-2251,-1670, 
 吸收投资收到的现金(万元),746,25,14384,43,--,--,--,4500, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,43,--,--,--,--, 
 取得借款收到的现金(万元),19458,19538,13594,17050,29690,20339,16941,11260, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),1884,492,111,--,--,--,208,--, 
 筹资活动现金流入小计(万元),22088,20055,28089,17093,29690,20339,17149,15760, 
 偿还债务支付的现金(万元),21179,8761,19496,19360,23821,19111,16955,4902, 
 分配股利、利润或偿付利息所支付的现金(万元),2174,1317,636,1500,1530,1203,989,341, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),8696,869,3981,192,87,146,90,419, 
 筹资活动现金流出小计(万元),32049,10947,24112,21052,25437,20460,18034,5662, 
 筹资活动产生的现金流量净额(万元),-9961,9107,3977,-3959,4252,-121,-885,10098, 
 汇率变动对现金及现金等价物的影响(万元),-1,-1,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-1041,-1562,1445,804,-1651,-3720,2392,3060, 
 加:期初现金及现金等价物余额(万元),6033,7594,6149,5346,6996,10716,8324,5265, 
 期末现金及现金等价物余额(万元),4991,6033,7594,6149,5346,6996,10716,8324, 
