 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),271979,197919,154900,105833,99569,85435,72130,60907, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),79,105,309,65,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4032,2317,924,1016,321,78,411,1131, 
 经营活动现金流入小计(万元),276091,200341,156133,106915,99890,85512,72541,62038, 
 购买商品、接受劳务支付的现金(万元),171342,126359,97389,65465,54759,48657,40175,34260, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),26932,22675,18768,15147,11439,8677,7217,5375, 
 支付的各项税费(万元),23435,18921,18756,13043,12921,11705,9107,7875, 
 支付的其他与经营活动有关的现金(万元),34990,24483,16289,9941,9262,6634,4946,5974, 
 经营活动现金流出小计(万元),256700,192438,151202,103596,88381,75673,61445,53483, 
 经营活动产生的现金流量净额(万元),19391,7903,4932,3318,11509,9839,11096,8555, 
 收回投资所收到的现金(万元),10400,62400,250157,--,--,--,--,780, 
 取得投资收益所收到的现金(万元),280,365,3430,899,46,57,95,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),414,677,444,521,171,182,125,4, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,223,578,260, 
 收到的其他与投资活动有关的现金(万元),--,80,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),11094,63522,254031,1420,217,462,799,1044, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),52995,46236,38875,22131,16110,10756,6903,8299, 
 投资所支付的现金(万元),--,40900,219300,65584,--,--,--,300, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,4159,--,--,--,--,--, 
