 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),57471,52396,48240,47403,44108,34122,32146, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2720,3705,2869,3063,2916,1927,1435, 
 经营活动现金流入小计(万元),60191,56101,51110,50466,47024,36049,33581, 
 购买商品、接受劳务支付的现金(万元),21670,24318,15733,18815,16684,12805,8516, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8464,6728,6461,5866,4653,4512,4113, 
 支付的各项税费(万元),8130,8025,7970,8870,5404,6023,6386, 
 支付的其他与经营活动有关的现金(万元),15920,11581,9747,10562,10657,7488,8982, 
 经营活动现金流出小计(万元),54184,50652,39911,44113,37398,30828,27996, 
 经营活动产生的现金流量净额(万元),6008,5449,11198,6352,9626,5221,5585, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),23,4,7,15,--,--,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),291832,127705,3296,270,869,60,415, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),291855,127709,3303,285,869,60,417, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2207,2504,1218,2458,3084,3334,1396, 
 投资所支付的现金(万元),3200,--,--,--,--,--,90, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),261912,150804,7132,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),267319,153308,8350,2458,3084,3334,1486, 
 投资活动产生的现金流量净额(万元),24536,-25599,-5047,-2173,-2215,-3274,-1069, 
 吸收投资收到的现金(万元),--,57268,--,--,--,2490,1248, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,90,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,1000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,57268,0,0,0,2490,2248, 
 偿还债务支付的现金(万元),--,--,--,--,--,1000,2980, 
 分配股利、利润或偿付利息所支付的现金(万元),2069,1287,2181,1081,1258,954,1844, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,500,--,--,1632, 
 筹资活动现金流出小计(万元),2069,1287,2181,1581,1258,1954,6456, 
 筹资活动产生的现金流量净额(万元),-2069,55981,-2181,-1581,-1258,536,-4208, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),28475,35832,3970,2598,6153,2484,308, 
 加:期初现金及现金等价物余额(万元),61200,25368,21398,18800,12647,10163,9856, 
 期末现金及现金等价物余额(万元),89675,61200,25368,21398,18800,12647,10163, 
 净利润(万元),12832,12095,11522,10923,8692,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),297,499,547,386,907,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1876,1901,1869,1594,1366,--,--, 
 无形资产摊销(万元),114,111,105,102,93,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,5,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-12,2,0,31,20,--,--, 
 固定资产报废损失(万元),--,5,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),-2218,-527,-14,--,--,--,--, 
 投资损失(万元),-79,--,--,--,--,--,--, 
 递延所得税资产减少(万元),-2,-44,-143,-158,-322,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),310,-2129,-363,579,-2247,--,--, 
