 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),55202,52070,44623,39203,38756, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),2067,1994,399,563,336, 
 收到的其他与经营活动有关的现金(万元),3205,2176,1653,1159,1072, 
 经营活动现金流入小计(万元),60474,56240,46675,40925,40164, 
 购买商品、接受劳务支付的现金(万元),29945,28060,22431,18387,20340, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12426,10940,9533,9166,8944, 
 支付的各项税费(万元),3177,3375,2829,2275,2802, 
 支付的其他与经营活动有关的现金(万元),3722,3952,4760,2993,1980, 
 经营活动现金流出小计(万元),49271,46327,39553,32821,34067, 
 经营活动产生的现金流量净额(万元),11203,9913,7122,8104,6097, 
 收回投资所收到的现金(万元),--,--,--,--,--, 
 取得投资收益所收到的现金(万元),250,271,217,364,262, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),34,374,370,145,270, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),29084,14831,17537,26693,15800, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),29367,15476,18125,27202,16332, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6905,3048,5378,1025,1578, 
 投资所支付的现金(万元),--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),72084,14634,17966,26693,14470, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),78989,17682,23343,27718,16048, 
 投资活动产生的现金流量净额(万元),-49622,-2206,-5218,-516,284, 
 吸收投资收到的现金(万元),50483,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),3500,4051,8079,3189,6, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流入小计(万元),53983,4051,8079,3189,6, 
 偿还债务支付的现金(万元),3500,9278,2838,4749,1011, 
 分配股利、利润或偿付利息所支付的现金(万元),2236,2146,7260,6060,2546, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1361,--,--,--,--, 
 筹资活动现金流出小计(万元),7097,11424,10098,10809,3557, 
 筹资活动产生的现金流量净额(万元),46886,-7374,-2019,-7620,-3551, 
 汇率变动对现金及现金等价物的影响(万元),421,-216,139,338,50, 
 现金及现金等价物净增加额(万元),8888,117,24,306,2880, 
 加:期初现金及现金等价物余额(万元),5879,5763,5739,5433,2552, 
 期末现金及现金等价物余额(万元),14767,5879,5763,5739,5433, 
 净利润(万元),12184,10670,7897,4997,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),379,177,211,95,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1322,1331,1416,1568,--, 
 无形资产摊销(万元),183,174,102,87,--, 
 长期待摊费用摊销(万元),18,20,20,10,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),49,86,-335,-0,--, 
 固定资产报废损失(万元),--,11,6,5,--, 
 公允价值变动损失(万元),-341,-8,-41,49,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),-682,590,-290,-309,--, 
 投资损失(万元),-504,-392,-543,-536,--, 
 递延所得税资产减少(万元),-168,19,-104,-25,--, 
 递延所得税负债增加(万元),51,--,--,-0,--, 
 存货的减少(万元),-920,-2092,-638,680,--, 
 经营性应收项目的减少(万元),-1933,-1520,-359,-1525,--, 
 经营性应付项目的增加(万元),1388,642,-1095,1443,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),178,204,873,1563,--, 
 经营活动产生现金流量净额(万元),11203,9913,7122,8104,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),14767,5879,5763,5739,5433, 
 现金的期初余额(万元),5879,5763,5739,5433,2552, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),8888,117,24,306,2880, 

