 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),334559,274590,234941,177915,199064,164557,117609,85473,52910,36043,26541,19221, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),4284,1699,981,360,--,--,--,--,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到的税费返还(万元),16057,16271,17327,16446,12481,16229,6142,6780,4593,3820,2254,1721, 
 收到的其他与经营活动有关的现金(万元),2381,4610,3018,3186,3889,5979,4270,3346,1366,1294,729,1100, 
 经营活动现金流入小计(万元),357282,297170,256268,197907,215433,186765,128021,95600,58869,41157,29524,22042, 
 购买商品、接受劳务支付的现金(万元),19801,14210,15418,6553,4860,3047,3161,1637,1212,1272,981,925, 
 客户贷款及垫款净增加额(万元),32064,8172,10307,7217,50,--,--,--,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),168010,140999,105872,100790,85274,63514,49535,33837,19849,12809,11371,7277, 
 支付的各项税费(万元),39864,36859,39056,28655,34415,27645,20026,15426,8748,6081,5072,3481, 
 支付的其他与经营活动有关的现金(万元),52273,37373,33793,36213,30773,25691,18279,12818,9662,6891,5945,4804, 
 经营活动现金流出小计(万元),312012,237612,204446,179426,155372,119898,91001,63718,39471,27053,23370,16487, 
 经营活动产生的现金流量净额(万元),45270,59558,51823,18480,60061,66867,37020,31881,19398,14104,6154,5555, 
 收回投资所收到的现金(万元),98695,100000,9,95611,116512,57000,--,--,--,0,0,0, 
 取得投资收益所收到的现金(万元),3071,3605,653,1351,2346,1107,--,--,--,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,3332,3229,14,16,44,336,190,14,6,3,6, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流入小计(万元),101777,106937,3891,96975,118873,58150,336,190,14,6,3,6, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),20253,14365,49700,8856,8051,12598,13200,8664,1383,7017,2400,3266, 
 投资所支付的现金(万元),81911,161164,26836,103530,92560,84000,--,--,--,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),1400,2319,--,1599,12623,2523,5607,26964,4697,0,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,160,36,--,--,--,--,--,0,10,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流出小计(万元),103564,177847,76696,114021,113235,99121,18807,35628,6081,7017,2410,3266, 
 投资活动产生的现金流量净额(万元),-1787,-70910,-72805,-17046,5638,-40971,-18470,-35439,-6067,-7011,-2407,-3260, 
 吸收投资收到的现金(万元),10636,2448,4632,70,30,7373,--,--,145000,0,1001,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),850,2448,4632,70,30,275,--,--,--,0,0,0, 
 取得借款收到的现金(万元),14500,5500,--,--,--,--,--,--,--,3000,0,2000, 
 发行债券收到的现金(万元),--,--,98500,--,--,--,--,--,--,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,0,1,0, 
 筹资活动现金流入小计(万元),25136,7948,103132,70,30,7373,0,0,145000,3000,1002,2000, 
 偿还债务支付的现金(万元),105,83,83,106,--,--,--,--,3000,2000,0,0, 
 分配股利、利润或偿付利息所支付的现金(万元),33195,38902,24266,31649,22113,20670,13788,10930,6138,2179,2386,2023, 
 其中：子公司支付给少数股东的股利、利润(万元),600,1331,1644,1557,804,420,288,130,71,46,0,0, 
 支付其他与筹资活动有关的现金(万元),--,--,2761,--,158,--,--,--,7437,70,0,0, 
 筹资活动现金流出小计(万元),33300,38985,27111,31756,22271,20670,13788,10930,16575,4249,2386,2023, 
 筹资活动产生的现金流量净额(万元),-8165,-31037,76022,-31686,-22241,-13297,-13788,-10930,128425,-1249,-1384,-23, 
 汇率变动对现金及现金等价物的影响(万元),2032,-1915,1764,159,-2400,-90,43,-68,4,-0,-1,-0, 
 现金及现金等价物净增加额(万元),37351,-44305,56804,-30093,41059,12510,4805,-14556,141760,5843,2362,2271, 
 加:期初现金及现金等价物余额(万元),183665,227970,171166,201259,160200,147690,142885,157441,15681,9838,7476,5204, 
 期末现金及现金等价物余额(万元),221016,183665,227970,171166,201259,160200,147690,142885,157441,15681,9838,7476, 
 净利润(万元),43269,49406,43754,25652,60514,49551,31298,28192,16452,10563,6435,5740, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 资产减值准备(万元),5581,390,519,983,173,61,135,368,40,4,-14,-3, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),4090,3364,3362,3349,2782,1489,1117,932,715,613,475,406, 
 无形资产摊销(万元),2295,1494,1171,818,723,694,756,344,174,151,128,99, 
 长期待摊费用摊销(万元),990,925,447,406,252,199,173,64,26,15,4,4, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),9,63,-5235,9,27,50,-157,-30,14,6,4,-5, 
 固定资产报废损失(万元),20,--,--,--,--,--,--,--,--,105,0,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 财务费用(万元),4888,4253,456,4,--,--,--,--,67,131,1,0, 
 投资损失(万元),-2199,-2008,-1489,-1045,-2556,-1085,--,-68,--,0,7,0, 
 递延所得税资产减少(万元),-371,-56,-160,411,-8,-401,-4,-4,-4,-0,-12,10, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,0,-12,6, 
 存货的减少(万元),69,-364,307,-342,-182,-160,-34,-101,-34,-3,73,-83, 
 经营性应收项目的减少(万元),-50839,-12434,-10883,-8568,-2578,158,-1607,-735,-429,-60,268,162, 
 经营性应付项目的增加(万元),36001,14525,19575,-1296,-1410,12024,5344,2919,2377,2579,-1202,-782, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 其他(万元),1467,--,--,-1901,2324,4288,--,--,--,0,0,0, 
 经营活动产生现金流量净额(万元),45270,59558,51823,18480,60061,66867,37020,31881,19398,14104,6154,5555, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 现金的期末余额(万元),221016,183665,227970,171166,201259,160200,147690,142885,157441,15681,9838,7476, 
 现金的期初余额(万元),183665,227970,171166,201259,160200,147690,142885,157441,15681,9838,7476,5204, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
