 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),4334521,4915184,11407250,14970070,9837276,9705845,4749194,3675018,5937619,4157206,1674504,504196,1250080,732581,508233, 
 向中央银行借款净增加额(万元,4428400,--,2687000,242000,173000,--,--,10000,8000,0,0,--,--,--,-12734, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),5951075,5195305,4859042,3993147,3019901,2095670,1730510,1310124,767956,354067,278971,180771,132330,117363,90998, 
 拆入资金净增加额(万元),--,--,2697737,274151,4438710,--,--,828070,--,240367,-244137,324100,-373291,127842,137892, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),388896,88443,63225,913049,174961,11732,16851,42816,8643,33736,37940,5464,4097,13489,164746, 
 经营活动现金流入小计(万元),18151043,10796618,21714253,20392417,17643848,11813247,6496555,5866028,6722217,4785375,1747278,1014531,1013217,991275,889135, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 客户贷款及垫款净增加额(万元),9074743,5870432,8343709,7915356,2884946,2193768,2257398,1892036,1688456,2692670,963416,518193,544299,455668,303140, 
 存放中央银行和同业款项净增加额(万元),--,--,5092165,1928182,1682293,486554,1069262,1849401,378606,780042,61726,311109,117293,22817,-39, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),1693643,1655300,1439935,1619513,1243335,1012775,799522,571750,261200,2833,1391,1293,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),476141,407095,346743,270537,200013,162491,139548,116031,80709,52352,39062,28519,23543,21654,16606, 
 支付的各项税费(万元),437065,566388,590382,359128,276622,210168,172308,98212,76001,73711,31393,33818,21016,13432,6511, 
 支付的其他与经营活动有关的现金(万元),301593,603228,988598,197362,204070,175614,112044,85232,70523,45437,31380,44294,76287,28235,16890, 
 经营活动现金流出小计(万元),13985029,10758056,16801531,12290077,6491279,5150066,5382144,4612662,4431593,3647045,1128368,937225,782437,541806,343108, 
 经营活动产生的现金流量净额(万元),4166014,38563,4912722,8102341,11152569,6663182,1114411,1253366,2290624,1138330,618910,77306,230780,449470,546027, 
 收回投资所收到的现金(万元),191621203,121721524,153089395,144914316,54994751,56703824,54963832,49075747,87287221,83957144,110663056,27058895,41423782,32791371,12666480, 
 取得投资收益所收到的现金(万元),141939,6257,5739,9452,17382,15147,3784,2647,3535,14345,8453,797,2999,2282,-3089, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),1061,--,49962,--,78,22,93,--,--,158,20,4,221,4855,621, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--, 
 投资活动现金流入小计(万元),191764203,121727781,153145096,144923768,55012211,56718993,54967709,49078394,87290756,83971646,110671529,27059697,41427001,32798508,12664013, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),243742,136077,120072,141951,179400,54825,53286,39310,77343,30135,49069,13038,7119,6280,6311, 
