 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),137966,152433,80852,64951, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),18586,13576,10211,5432, 
 收到的其他与经营活动有关的现金(万元),2516,904,504,421, 
 经营活动现金流入小计(万元),159068,166913,91567,70803, 
 购买商品、接受劳务支付的现金(万元),101151,119686,64234,51607, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),26098,21328,17659,15201, 
 支付的各项税费(万元),5115,4245,2415,3108, 
 支付的其他与经营活动有关的现金(万元),6942,5685,6298,6015, 
 经营活动现金流出小计(万元),139306,150944,90607,75930, 
 经营活动产生的现金流量净额(万元),19762,15969,960,-5127, 
 收回投资所收到的现金(万元),9000,38473,22780,70880, 
 取得投资收益所收到的现金(万元),30,49,147,97, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),13,36,53,5, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,168,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),9043,38726,22980,70982, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4517,7393,12515,7475, 
 投资所支付的现金(万元),9000,38300,22850,66990, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,0,166, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),13517,45693,35366,74631, 
 投资活动产生的现金流量净额(万元),-4474,-6967,-12386,-3649, 
 吸收投资收到的现金(万元),--,--,50,18010, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,50,--, 
 取得借款收到的现金(万元),19482,30932,6825,4661, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),59,608,--,1836, 
 筹资活动现金流入小计(万元),19541,31539,6875,24507, 
 偿还债务支付的现金(万元),25410,20986,3024,6076, 
 分配股利、利润或偿付利息所支付的现金(万元),977,3459,110,50, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),3020,--,1128,--, 
 筹资活动现金流出小计(万元),29407,24445,4261,6127, 
 筹资活动产生的现金流量净额(万元),-9865,7094,2614,18381, 
 汇率变动对现金及现金等价物的影响(万元),270,5,77,-39, 
 现金及现金等价物净增加额(万元),5694,16102,-8735,9566, 
 加:期初现金及现金等价物余额(万元),19647,3545,12280,2714, 
 期末现金及现金等价物余额(万元),25340,19647,3545,12280, 
 净利润(万元),11035,6207,2859,348, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),915,456,693,295, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1679,1146,655,480, 
 无形资产摊销(万元),324,182,150,59, 
 长期待摊费用摊销(万元),39,86,46,23, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),17,17,30,4, 
 固定资产报废损失(万元),--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),735,408,116,52, 
 投资损失(万元),-30,-49,-115,-97, 
 递延所得税资产减少(万元),-194,-238,-88,-162, 
 递延所得税负债增加(万元),--,--,--,--, 
 存货的减少(万元),-2487,-6294,-8934,-4858, 
 经营性应收项目的减少(万元),-55,10947,-19566,-3740, 
 经营性应付项目的增加(万元),7785,3035,24032,1287, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),--,66,1084,1182, 
 经营活动产生现金流量净额(万元),19762,15969,960,-5127, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),25340,19647,3545,12280, 
 现金的期初余额(万元),19647,3545,12280,2714, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),5694,16102,-8735,9566, 

