 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),83737,86214,71183,44859,20757,9201, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),4039,4962,4375,57,33,45, 
 收到的其他与经营活动有关的现金(万元),1079,1149,2190,239,345,751, 
 经营活动现金流入小计(万元),88855,92324,77748,45155,21135,9997, 
 购买商品、接受劳务支付的现金(万元),44227,47423,32324,15132,10603,3202, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),26276,20935,15760,10333,4387,3308, 
 支付的各项税费(万元),2540,4872,4735,5848,1638,1127, 
 支付的其他与经营活动有关的现金(万元),7571,6082,7656,4790,2355,957, 
 经营活动现金流出小计(万元),80614,79312,60475,36102,18983,8595, 
 经营活动产生的现金流量净额(万元),8240,13013,17273,9053,2152,1402, 
 收回投资所收到的现金(万元),--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),634,342,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,13,41,17,7,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),112046,30290,287,537,1768,950, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),112681,30644,328,554,1775,950, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),22556,22239,14945,10077,5208,2572, 
 投资所支付的现金(万元),--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),117000,29919,1470,93,--,--, 
