 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),129588,78454,57932,28032,18510, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1609,738,75,14,119, 
 经营活动现金流入小计(万元),131197,79193,58007,28046,18629, 
 购买商品、接受劳务支付的现金(万元),76617,50588,34341,15399,14015, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),21167,14008,11081,7283,4874, 
 支付的各项税费(万元),9556,6885,4941,1903,935, 
 支付的其他与经营活动有关的现金(万元),2663,1933,1273,923,837, 
 经营活动现金流出小计(万元),110003,73413,51636,25508,20661, 
 经营活动产生的现金流量净额(万元),21194,5779,6371,2538,-2032, 
 收回投资所收到的现金(万元),--,--,5,--,280, 
 取得投资收益所收到的现金(万元),--,--,0,--,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,3,0,--,15, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,22, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),7,3,5,0,317, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9560,5678,2470,1205,1897, 
 投资所支付的现金(万元),--,--,5,--,280, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,1, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),9560,5678,2475,1205,2178, 
 投资活动产生的现金流量净额(万元),-9553,-5675,-2470,-1205,-1861, 
 吸收投资收到的现金(万元),36024,--,4950,4000,500, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),1100,1326,1486,2206,1968, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),360,466,921,1670,6374, 
 筹资活动现金流入小计(万元),37484,1792,7357,7876,8842, 
 偿还债务支付的现金(万元),1326,897,2016,2049,1763, 
 分配股利、利润或偿付利息所支付的现金(万元),71,31,61,1283,86, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),7505,1640,2092,5695,3179, 
 筹资活动现金流出小计(万元),8902,2568,4170,9027,5029, 
 筹资活动产生的现金流量净额(万元),28582,-776,3187,-1151,3813, 
 汇率变动对现金及现金等价物的影响(万元),20,-0,0,0,0, 
 现金及现金等价物净增加额(万元),40243,-671,7088,182,-79, 
 加:期初现金及现金等价物余额(万元),6800,7472,383,201,280, 
 期末现金及现金等价物余额(万元),47043,6800,7472,383,201, 
 净利润(万元),16172,9902,5851,969,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),1447,785,287,345,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1439,877,619,457,--, 
 无形资产摊销(万元),42,33,15,15,--, 
 长期待摊费用摊销(万元),258,163,93,55,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),26,210,41,--,--, 
 固定资产报废损失(万元),--,--,38,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),269,188,396,370,--, 
 投资损失(万元),--,--,-0,--,--, 
 递延所得税资产减少(万元),-200,-73,-29,-51,--, 
 递延所得税负债增加(万元),-0,-0,-0,0,--, 
 存货的减少(万元),-4539,-8463,-1154,-3472,--, 
 经营性应收项目的减少(万元),-23909,-12407,-3826,-3039,--, 
 经营性应付项目的增加(万元),29973,15198,3170,6069,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),217,-634,871,820,--, 
 经营活动产生现金流量净额(万元),21194,5779,6371,2538,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),47043,6800,7472,383,201, 
 现金的期初余额(万元),6800,7472,383,201,280, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),40243,-671,7088,182,-79, 

