 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),33589,30587,45771,28136,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),42,6,7,0,--,--, 
 收到的其他与经营活动有关的现金(万元),24187,11018,748,7586,0,0, 
 经营活动现金流入小计(万元),57818,41611,46526,35722,0,0, 
 购买商品、接受劳务支付的现金(万元),24552,25193,41006,20544,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),867,818,1266,2773,--,--, 
 支付的各项税费(万元),1139,1765,706,1117,--,--, 
 支付的其他与经营活动有关的现金(万元),26068,12456,1964,8742,0,0, 
 经营活动现金流出小计(万元),52626,40233,44943,33176,0,0, 
 经营活动产生的现金流量净额(万元),5192,1378,1583,2546,-0,-0, 
 收回投资所收到的现金(万元),--,17321,16763,9470,--,--, 
 取得投资收益所收到的现金(万元),9,--,156,576,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),666,727,28,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,1598,125,--,--,--, 
 收到的其他与投资活动有关的现金(万元),19895,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),20570,19645,17072,10046,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1772,1259,735,30,--,--, 
 投资所支付的现金(万元),755,18300,13480,13645,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,20134,--,--,--, 
 支付的其他与投资活动有关的现金(万元),20396,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),22923,19559,34349,13675,0,0, 
 投资活动产生的现金流量净额(万元),-2353,87,-17277,-3630,0,0, 
 吸收投资收到的现金(万元),--,--,1350,--,--,--, 
