 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),129001,97390,86297,64824,64013,76137,71822,83673, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2499,1667,1857,1678,2456,2399,2360,2164, 
 收到的其他与经营活动有关的现金(万元),1163,2144,2190,3042,1629,5005,3480,4575, 
 经营活动现金流入小计(万元),132663,101201,90344,69545,68098,83541,77662,90411, 
 购买商品、接受劳务支付的现金(万元),107414,81405,73855,51825,49026,56473,56450,65853, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10286,10252,9099,8685,9170,9046,8609,7823, 
 支付的各项税费(万元),3182,3313,3382,2567,3354,3881,4018,3930, 
 支付的其他与经营活动有关的现金(万元),7309,7907,7836,4556,6891,10371,9688,10504, 
 经营活动现金流出小计(万元),128191,102877,94172,67633,68441,79773,78766,88110, 
 经营活动产生的现金流量净额(万元),4472,-1676,-3827,1911,-343,3768,-1104,2301, 
 收回投资所收到的现金(万元),--,--,--,--,200,--,--,68, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,100,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),159,78,537,5,18,34,15,85, 
