 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),95880,86800,89780,89581,69538,66037,58914, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),17,8,2,--,--,1,--, 
 收到的其他与经营活动有关的现金(万元),8473,6515,6893,5002,10146,9560,5122, 
 经营活动现金流入小计(万元),104370,93322,96675,94583,79685,75598,64036, 
 购买商品、接受劳务支付的现金(万元),64194,61649,54979,58022,48212,44226,44307, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12242,11514,10140,9003,7246,6840,5560, 
 支付的各项税费(万元),3966,1803,802,851,1077,1944,1079, 
 支付的其他与经营活动有关的现金(万元),8558,7342,9133,10038,15847,15258,10964, 
 经营活动现金流出小计(万元),88960,82308,75054,77914,72382,68268,61910, 
 经营活动产生的现金流量净额(万元),15410,11014,21620,16669,7303,7330,2126, 
 收回投资所收到的现金(万元),42340,22000,32539,13000,--,2000,--, 
 取得投资收益所收到的现金(万元),296,109,103,15,--,49,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,58,--,0,--,--,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),42636,22167,32642,13015,0,2049,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),12666,23602,15203,12325,12205,7797,7261, 
 投资所支付的现金(万元),40330,24000,28539,17000,--,2002,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),872,--,--,--,472,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,0,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),53868,47602,43742,29325,12677,9799,7261, 
 投资活动产生的现金流量净额(万元),-11232,-25435,-11100,-16311,-12677,-7751,-7260, 
 吸收投资收到的现金(万元),2718,22567,--,270,110,9000,1600, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,270,110,--,--, 
 取得借款收到的现金(万元),57127,39130,28331,32249,20416,16954,15424, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),3000,2028,7857,5330,5000,8460,3909, 
 筹资活动现金流入小计(万元),62844,63725,36188,37849,25526,34414,20933, 
 偿还债务支付的现金(万元),46587,23981,29304,30912,15898,14263,8540, 
 分配股利、利润或偿付利息所支付的现金(万元),3059,1688,1412,1773,1806,1293,1068, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),3861,8065,7759,3810,212,12929,4946, 
 筹资活动现金流出小计(万元),53506,33734,38475,36495,17916,28485,14554, 
 筹资活动产生的现金流量净额(万元),9338,29991,-2287,1354,7610,5929,6379, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),13516,15571,8233,1713,2236,5509,1245, 
 加:期初现金及现金等价物余额(万元),38443,22872,14639,12926,10690,5181,3936, 
 期末现金及现金等价物余额(万元),51959,38443,22872,14639,12926,10690,5181, 
 净利润(万元),3825,5258,4962,4812,4580,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),1436,1024,2086,1844,768,--,--, 
