 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),84685,54948,42110,39474,38659,41594,34119,41178, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,73,25,150,--,393,30,196, 
 收到的其他与经营活动有关的现金(万元),2382,2215,2038,1502,1948,2378,2262,9016, 
 经营活动现金流入小计(万元),87067,57236,44173,41126,40607,44365,36411,50391, 
 购买商品、接受劳务支付的现金(万元),51155,31772,23985,22420,21628,23864,19125,28571, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),19475,16305,12795,11901,10812,9326,7210,5061, 
 支付的各项税费(万元),2867,1724,1548,1648,1135,1409,1272,1735, 
 支付的其他与经营活动有关的现金(万元),11185,7485,6845,6813,6115,5735,5094,5904, 
 经营活动现金流出小计(万元),84682,57285,45174,42782,39691,40333,32701,41271, 
 经营活动产生的现金流量净额(万元),2385,-49,-1000,-1656,916,4032,3710,9119, 
 收回投资所收到的现金(万元),6500,--,--,--,23200,57160,--,--, 
 取得投资收益所收到的现金(万元),116,--,--,--,81,222,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1193,0,0,1,0,0,4,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),7809,0,0,1,23281,57382,4,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2428,417,616,252,4765,4243,123,379, 
 投资所支付的现金(万元),6639,100,--,--,23200,57160,79,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),5658,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),14725,517,616,252,27965,61403,202,379, 
 投资活动产生的现金流量净额(万元),-6916,-517,-616,-251,-4684,-4021,-198,-377, 
 吸收投资收到的现金(万元),--,2426,16489,--,--,4,--,7981, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,4,--,--, 
 取得借款收到的现金(万元),15165,--,8651,8592,3519,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),15165,2426,25140,8592,3519,4,0,7981, 
 偿还债务支付的现金(万元),--,3563,10254,4945,2000,--,--,1500, 
 分配股利、利润或偿付利息所支付的现金(万元),1323,647,217,850,1062,825,1011,3067, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,425,--,--,--,--,--, 
 筹资活动现金流出小计(万元),1323,4210,10896,5795,3062,825,1011,4567, 
 筹资活动产生的现金流量净额(万元),13842,-1784,14244,2797,457,-821,-1011,3414, 
 汇率变动对现金及现金等价物的影响(万元),1,-2,3,3,1,6,-1,--, 
 现金及现金等价物净增加额(万元),9312,-2353,12630,894,-3310,-803,2500,12156, 
 加:期初现金及现金等价物余额(万元),28618,30970,18340,17447,20757,21560,--,--, 
 期末现金及现金等价物余额(万元),37930,28618,30970,18340,17447,20757,--,--, 
 净利润(万元),4869,3619,3439,3516,3513,4969,4503,3969, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),867,1258,1440,814,544,316,486,-646, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),365,226,241,283,294,257,276,240, 
 无形资产摊销(万元),181,112,114,100,44,34,33,0, 
 长期待摊费用摊销(万元),14,10,8,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-1307,3,0,4,4,1,-2,20, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),603,6,225,201,133,--,0,67, 
 投资损失(万元),-110,--,--,--,-81,-222,0,0, 
 递延所得税资产减少(万元),-379,-221,-205,-100,-85,-74,-72,123, 
 递延所得税负债增加(万元),0,--,--,--,--,--,--,--, 
 存货的减少(万元),-8331,878,-1266,2322,-1505,2074,-3613,698, 
 经营性应收项目的减少(万元),-5094,-12811,-5250,-4586,-7118,-2363,-437,5484, 
 经营性应付项目的增加(万元),10650,6680,252,-4210,5172,-961,2536,-835, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
 其他(万元),56,192,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),2385,-49,-1000,-1656,916,4032,3710,9119, 
 债务转为资本(万元),--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),37930,28618,30970,18340,17447,20757,--,--, 
 现金的期初余额(万元),28618,30970,18340,17447,20757,21560,--,--, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),9312,-2353,12630,894,-3310,-803,--,--, 

