 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),42143,38298,41066,34044,28425,26873, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,744,895,517, 
 收到的其他与经营活动有关的现金(万元),36708,751,2740,4746,1910,1183, 
 经营活动现金流入小计(万元),78851,39049,43806,39534,31230,28573, 
 购买商品、接受劳务支付的现金(万元),2718,2455,3643,2939,2881,2029, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7346,6568,5743,5199,4336,3396, 
 支付的各项税费(万元),5919,4957,6146,5033,3617,4160, 
 支付的其他与经营活动有关的现金(万元),61293,2044,3209,4093,3618,1074, 
 经营活动现金流出小计(万元),77276,16024,18741,17264,14452,10659, 
 经营活动产生的现金流量净额(万元),1576,23025,25065,22270,16778,17914, 
 收回投资所收到的现金(万元),62290,11100,31350,4400,--,--, 
 取得投资收益所收到的现金(万元),216,38,39,5,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,15,45,27,--,4, 
 处置子公司及其他营业单位收到的现金净额(万元),4863,--,--,999,--,--, 
 收到的其他与投资活动有关的现金(万元),17728,--,15,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),85105,11153,31448,5431,0,4, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),38424,10045,5932,15166,7435,14390, 
 投资所支付的现金(万元),63290,11100,31200,4400,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
