 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),504967,757491,342985,187108,197256,70108,72388,55302,33837, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),7913,10105,10734,10214,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4418,8569,920,17358,1404,385,761,4866,686, 
 经营活动现金流入小计(万元),517299,776165,354639,214680,198659,70493,73148,60168,34522, 
 购买商品、接受劳务支付的现金(万元),503662,741992,314863,158637,185106,48641,45669,33327,7115, 
 客户贷款及垫款净增加额(万元),-13774,6901,16868,5843,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),1409,1577,1757,1747,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8978,7525,8402,4572,3602,3331,2445,2559,1777, 
 支付的各项税费(万元),9804,22523,15773,11639,5324,6612,5781,4127,3603, 
 支付的其他与经营活动有关的现金(万元),2722,4370,11523,1836,1763,1016,827,624,9899, 
 经营活动现金流出小计(万元),512800,784888,369186,184275,195794,59600,54722,40637,22394, 
 经营活动产生的现金流量净额(万元),4498,-8723,-14547,30405,2865,10893,18426,19531,12129, 
 收回投资所收到的现金(万元),--,14764,--,--,--,--,--,--,5059, 
 取得投资收益所收到的现金(万元),426,283,763,171,1251,76,60,75,45, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),22387,6,3,2681,--,0,18,--,37, 
 处置子公司及其他营业单位收到的现金净额(万元),2488,1100,341,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),27889,19892,35400,56146,--,--,150,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),53189,36044,36506,58998,1251,76,228,75,5140, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),361,2294,2623,6147,12143,1065,1418,17266,996, 
 投资所支付的现金(万元),9540,9600,30,2351,--,--,62,--,5020, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,23552,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),23355,20819,28053,22000,56504,--,--,150,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),33256,32713,30706,54050,68646,1065,1480,17416,6016, 
 投资活动产生的现金流量净额(万元),19933,3331,5800,4948,-67395,-989,-1251,-17341,-875, 
 吸收投资收到的现金(万元),--,--,1800,--,54007,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),54839,123827,122764,48888,37000,30000,30000,29000,44000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,639,2000,--,--,--,1114,100,--, 
 筹资活动现金流入小计(万元),54839,124466,126564,48888,91007,30000,31114,29100,44000, 
 偿还债务支付的现金(万元),76698,107609,116473,52809,35950,30699,27720,30130,37444, 
 分配股利、利润或偿付利息所支付的现金(万元),11573,13723,4502,5146,6642,2254,2303,2052,1621, 
 其中：子公司支付给少数股东的股利、利润(万元),7360,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),3536,1109,607,30000,--,79,215,263,53, 
 筹资活动现金流出小计(万元),91807,122441,121582,87955,42593,33033,30238,32445,39119, 
 筹资活动产生的现金流量净额(万元),-36967,2025,4981,-39067,48414,-3033,877,-3345,4881, 
 汇率变动对现金及现金等价物的影响(万元),--,-0,0,0,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-12536,-3367,-3766,-3714,-16116,6872,18051,-1156,16135, 
 加:期初现金及现金等价物余额(万元),15606,18973,22739,26453,42392,35520,17469,18625,2490, 
 期末现金及现金等价物余额(万元),3070,15606,18973,22739,26276,42392,35520,17469,18625, 
 净利润(万元),-416640,23780,26144,16980,12639,11708,11945,9732,7405, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),208191,840,333,-21,182,51,10,-12,-3, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),2278,2572,2615,2060,1801,1692,1677,1636,1704, 
 无形资产摊销(万元),663,1009,1013,822,829,823,823,622,422, 
 长期待摊费用摊销(万元),740,677,664,605,138,99,133,165,103, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-5337,12,4,-100,--,--,34,--,6, 
 固定资产报废损失(万元),11,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,-1,1,-10,10,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--, 
 财务费用(万元),4872,4447,3021,2422,2386,2266,2474,2230,1621, 
 投资损失(万元),-15510,1325,-835,196,-1261,-76,-60,-75,-104, 
 递延所得税资产减少(万元),1776,-1251,70,102,-125,32,-234,-190,-24, 
 递延所得税负债增加(万元),-75,-75,-76,2090,--,--,--,--,--, 
 存货的减少(万元),25367,-12318,-3540,-1835,1062,-263,-147,1966,8972, 
 经营性应收项目的减少(万元),90321,-63221,-64788,2934,-27139,-2502,-339,2397,-1685, 
 经营性应付项目的增加(万元),100493,26174,23261,601,23257,-2890,2926,1219,-6291, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--, 
 其他(万元),7348,7309,-2435,3559,-10911,-46,-816,-159,--, 
 经营活动产生现金流量净额(万元),4498,-8723,-14547,30405,2865,10893,18426,19531,12129, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),3070,15606,18973,22739,26276,42392,35520,17469,18625, 
 现金的期初余额(万元),15606,18973,22739,26453,42392,35520,17469,18625,2490, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-12536,-3367,-3766,-3714,-16116,6872,18051,-1156,16135, 

