 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),65985,65491,77416,83101,71601,39956,34195,37246,28581, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2110,2208,2873,3146,2391,1904,1146,87,1033, 
 收到的其他与经营活动有关的现金(万元),2192,1845,4416,1146,327,715,604,691,45, 
 经营活动现金流入小计(万元),70287,69544,84706,87393,74319,42575,35945,38024,29660, 
 购买商品、接受劳务支付的现金(万元),21098,27261,32275,30278,30120,20983,13339,22124,13601, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),11957,11133,13428,11596,9771,5823,3361,2687,1911, 
 支付的各项税费(万元),6316,7579,10141,13772,10170,6201,5624,3771,4151, 
 支付的其他与经营活动有关的现金(万元),8134,8916,12852,10419,6664,4679,3521,3533,2624, 
 经营活动现金流出小计(万元),47505,54889,68696,66066,56724,37686,25844,32114,22288, 
 经营活动产生的现金流量净额(万元),22782,14655,16010,21327,17596,4889,10101,5910,7372, 
 收回投资所收到的现金(万元),236604,272020,134250,139764,74940,16200,2000,49800,--, 
 取得投资收益所收到的现金(万元),5273,3697,1409,605,331,107,7,140,114, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,3,3,5,4,--,13,3382,962, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,1550,--, 
 收到的其他与投资活动有关的现金(万元),17585,83480,171073,46,20,50,88,15243,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),259464,359200,306734,140419,75294,16357,2108,70114,1076, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6926,10169,10938,12145,3333,4740,1538,928,470, 
 投资所支付的现金(万元),245564,291549,243212,153374,74940,16200,2000,47620,1000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,4338,--, 
 支付的其他与投资活动有关的现金(万元),12100,69575,197330,--,--,--,--,260,450, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
