 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),71359,38037,23267,29979,34229,30009,26907,11379, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),4,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),5410,882,389,827,207,779,79,533, 
 经营活动现金流入小计(万元),76773,38919,23656,30805,34436,30787,26986,11912, 
 购买商品、接受劳务支付的现金(万元),49494,22341,10177,17487,19639,17369,17091,8064, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),9610,5437,3549,3184,3461,2975,2312,1755, 
 支付的各项税费(万元),6003,4210,2971,2913,2994,3304,2431,1944, 
 支付的其他与经营活动有关的现金(万元),6284,4461,2794,2696,4074,3725,2878,2146, 
 经营活动现金流出小计(万元),71390,36448,19491,26279,30168,27373,24713,13910, 
 经营活动产生的现金流量净额(万元),5384,2470,4165,4526,4268,3414,2273,-1998, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),119,15,--,5,0,47,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),161,36591,224,500,500,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),280,36606,224,505,500,47,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4250,2895,2627,4476,2557,1878,471,532, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),5554,34786,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),190,24350,12000,--,448,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),9994,62030,14627,4476,3005,1878,471,532, 
 投资活动产生的现金流量净额(万元),-9715,-25424,-14403,-3971,-2505,-1831,-471,-532, 
 吸收投资收到的现金(万元),--,30438,20325,--,--,--,4610,3345, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),6521,1966,--,--,--,--,2200,2120, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),6521,32404,20325,0,0,0,6810,5465, 
 偿还债务支付的现金(万元),2600,2998,--,--,--,--,3700,1500, 
 分配股利、利润或偿付利息所支付的现金(万元),2748,1604,932,2476,1482,1860,698,855, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),90,154,504,--,--,--,--,--, 
 筹资活动现金流出小计(万元),5438,4756,1436,2476,1482,1860,4398,2355, 
 筹资活动产生的现金流量净额(万元),1084,27648,18889,-2476,-1482,-1860,2413,3110, 
