 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),901355,798867,846779,812029,679252,578525,549034,606154,607053,559857,538411,193867,107701,83229, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收到的税费返还(万元),677,980,968,3379,577,197,266,281,404,459,--,0,0,0, 
 收到的其他与经营活动有关的现金(万元),8037,7626,7532,8802,9312,4588,5552,6368,5799,8592,3213,7664,414,902, 
 经营活动现金流入小计(万元),910069,807472,855280,824209,689141,583311,554852,612803,613256,568909,541624,201530,108114,84131, 
 购买商品、接受劳务支付的现金(万元),620356,596485,548858,545961,457090,402108,366960,388718,375558,340413,320378,110199,90574,72379, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),61951,55828,52689,54962,52118,49930,49078,47048,44568,35146,22353,8005,2878,2395, 
 支付的各项税费(万元),44353,50428,54224,53795,46503,44047,39768,51481,50333,43408,35372,12046,2513,2066, 
 支付的其他与经营活动有关的现金(万元),142539,99840,98836,83368,73888,62682,68805,84339,87845,71612,68192,28822,8958,6516, 
 经营活动现金流出小计(万元),869199,802582,754606,738085,629599,558767,524611,571586,558304,490579,446295,159072,104922,83357, 
 经营活动产生的现金流量净额(万元),40870,4890,100674,86125,59541,24543,30241,41217,54952,78330,95329,42459,3192,774, 
 收回投资所收到的现金(万元),838,292,2533,277,--,10000,--,35263,30065,1000,--,0,0,0, 
 取得投资收益所收到的现金(万元),7661,5097,4638,3213,3416,2840,109,--,--,49,--,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),18402,115,1809,12904,156,41,130,59,142,85,71,93,0,8, 
 处置子公司及其他营业单位收到的现金净额(万元),10685,508,--,--,--,12147,--,--,--,--,--,0,0,0, 
 收到的其他与投资活动有关的现金(万元),126627,349552,206350,11100,30028,360,--,--,--,--,--,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流入小计(万元),164213,355564,215330,27494,33599,25388,239,35322,30207,1134,71,93,0,8, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),11232,3540,3535,7132,14209,23386,20003,14467,36216,29662,26512,9119,555,346, 
 投资所支付的现金(万元),5171,13131,36365,21634,1068,--,--,38575,30000,--,1000,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),1250,--,--,--,--,--,--,--,--,--,--,7058,0,0, 
 支付的其他与投资活动有关的现金(万元),112400,269500,224520,84231,15000,25000,--,--,--,--,--,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流出小计(万元),130052,286170,264420,112997,30277,48386,20003,53042,66216,29662,27512,16177,555,346, 
 投资活动产生的现金流量净额(万元),34161,69394,-49090,-85502,3323,-22998,-19764,-17720,-36008,-28528,-27441,-16084,-555,-338, 
 吸收投资收到的现金(万元),3700,80,80,647,3065,710,--,--,--,--,145874,12073,0,351, 
 其中：子公司吸收少数股东投资收到的现金(万元),3700,80,80,647,--,710,--,--,--,--,--,661,0,0, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收到其他与筹资活动有关的现金(万元),21000,3753,47382,44545,--,200,477,133,--,--,--,0,0,0, 
 筹资活动现金流入小计(万元),24699,3833,47462,45192,3065,910,477,133,0,--,145874,12073,0,351, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 分配股利、利润或偿付利息所支付的现金(万元),53777,48365,58931,54749,48709,44490,14988,99478,47137,30601,21102,12020,0,0, 
 其中：子公司支付给少数股东的股利、利润(万元),--,2314,5200,8684,10662,6443,--,8164,11626,9241,--,1294,0,0, 
 支付其他与筹资活动有关的现金(万元),22535,33734,69670,13789,100,610,--,--,--,--,--,0,0,0, 
 筹资活动现金流出小计(万元),76313,82099,128601,68538,48809,45100,14988,99478,47137,30601,21102,12020,0,0, 
 筹资活动产生的现金流量净额(万元),-51614,-78266,-81139,-23346,-45744,-44190,-14511,-99346,-47137,-30601,124772,53,0,351, 
 汇率变动对现金及现金等价物的影响(万元),182,-803,438,469,47,-94,87,43,-9,-3,-9,-65,171,-7, 
 现金及现金等价物净增加额(万元),23599,-4784,-29116,-22255,17167,-42738,-3948,-75806,-28202,19197,192651,26363,2808,780, 
 加:期初现金及现金等价物余额(万元),67196,71980,101096,123351,106184,148922,152871,228677,256879,237681,45030,18667,6449,5668, 
 期末现金及现金等价物余额(万元),90795,67196,71980,101096,123351,106184,148922,152871,228677,256879,237681,45030,9257,6449, 
 净利润(万元),74166,70991,73336,67092,61543,57000,51469,55403,67573,71410,63982,36268,4334,3813, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 资产减值准备(万元),989,1250,2324,411,482,1924,1066,512,452,2375,-18,616,104,50, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),6305,6483,6386,7035,5862,4636,4627,4462,3841,2673,1260,707,84,69, 
 无形资产摊销(万元),859,943,889,944,955,1309,1324,1047,771,766,585,382,32,9, 
 长期待摊费用摊销(万元),543,182,309,309,131,3,3,3,--,--,--,55,0,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-10785,-140,-4538,49,320,86,45,5,18,119,18,0,0,0, 
 固定资产报废损失(万元),245,134,0,--,--,8,--,--,--,--,--,15,0,22, 
