 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),36176,32158,30870,19295,19496,15557,20286,13312,11986,8396, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),439,94,40,182,238,48,127,414,--,--, 
 收到的其他与经营活动有关的现金(万元),14621,18018,9648,12612,99,423,897,220,2525,2746, 
 经营活动现金流入小计(万元),51236,50271,40559,32090,19833,16027,21310,13947,14511,11142, 
 购买商品、接受劳务支付的现金(万元),25283,21920,16636,9430,5346,6877,6906,2984,2058,3033, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7425,7355,6284,5103,4846,5288,4598,4184,2669,1613, 
 支付的各项税费(万元),1050,1317,2258,1468,1713,1500,1652,1356,1919,960, 
 支付的其他与经营活动有关的现金(万元),18931,19646,12187,12775,774,1027,1542,1804,3744,2921, 
 经营活动现金流出小计(万元),52690,50238,37365,28777,12679,14692,14698,10328,10390,8527, 
 经营活动产生的现金流量净额(万元),-1454,33,3194,3313,7153,1335,6612,3620,4121,2615, 
 收回投资所收到的现金(万元),69490,39050,49150,34576,28900,10400,--,--,--,--, 
 取得投资收益所收到的现金(万元),1692,1162,820,738,611,125,--,9,67,37, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),16,100,11,0,0,1,1,0,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,85,--,--, 
 收到的其他与投资活动有关的现金(万元),342,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),71539,40312,49981,35314,29512,10526,1,94,67,37, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),572,49,136,2652,16,70,3689,902,281,97, 
 投资所支付的现金(万元),69830,40460,55084,41000,34476,20300,--,102,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,108,9137,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),60,--,--,300,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),70462,40509,55327,53088,34492,20370,3689,1004,281,97, 
 投资活动产生的现金流量净额(万元),1077,-197,-5347,-17774,-4980,-9845,-3688,-910,-214,-60, 
 吸收投资收到的现金(万元),--,--,140,120,17880,--,--,1092,50,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,140,120,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,824,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,964,120,17880,0,0,1092,50,0, 
 偿还债务支付的现金(万元),--,400,424,--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),400,609,660,747,600,600,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),400,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,522,90,138,155,--,--, 
 筹资活动现金流出小计(万元),400,1009,1084,747,1122,690,138,155,0,0, 
 筹资活动产生的现金流量净额(万元),-400,-1009,-120,-627,16758,-690,-138,937,50,0, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-777,-1173,-2274,-15088,18931,-9199,2787,3646,3958,2555, 
 加:期初现金及现金等价物余额(万元),9313,10486,12760,27848,6657,15857,13070,9424,5466,2911, 
 期末现金及现金等价物余额(万元),8537,9313,10486,12760,25588,6657,15857,13070,9424,5466, 
 净利润(万元),2632,-2310,1578,3592,3733,4562,6538,5365,3433,2554, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),26,32,62,152,-223,433,125,71,-35,32, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),287,337,303,294,307,327,381,259,177,112, 
 无形资产摊销(万元),352,353,314,142,4,8,11,8,5,0, 
 长期待摊费用摊销(万元),1,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-7,-41,3,1,0,0,1,12,0,4, 
 固定资产报废损失(万元),11,3,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--, 
