 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),53080,43576,51239,33153,33403,22081,16387, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,32,450,124,--, 
 收到的其他与经营活动有关的现金(万元),24278,1951,592,1282,837,2011,787, 
 经营活动现金流入小计(万元),77358,45526,51831,34467,34690,24216,17174, 
 购买商品、接受劳务支付的现金(万元),24811,18536,12366,7739,6737,6403,3887, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),14881,11727,9887,7882,7033,5757,5059, 
 支付的各项税费(万元),5213,5879,9050,4460,3665,2119,2695, 
 支付的其他与经营活动有关的现金(万元),8486,5391,3563,2828,3688,1895,1661, 
 经营活动现金流出小计(万元),53391,41533,34865,22909,21123,16174,13302, 
 经营活动产生的现金流量净额(万元),23967,3993,16966,11558,13567,8043,3872, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),306,--,7,8,56,--,219, 
