 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),541010,432170,373273,367147,462527,417959,535441,624588,424151,284505, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),99,2072,1154,398,549,1504,1669,2175,1687,1165, 
 收到的其他与经营活动有关的现金(万元),17217,2902,2276,4546,2790,598,1544,920,548,169, 
 经营活动现金流入小计(万元),558327,437144,376703,372091,465866,420061,538654,627683,426386,285839, 
 购买商品、接受劳务支付的现金(万元),442746,357576,322086,337597,398355,371028,489870,562208,388951,248345, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),13086,11350,9682,9581,8718,7982,7698,6129,4758,4214, 
 支付的各项税费(万元),41318,27609,14924,15354,28634,18020,18638,15254,9534,8504, 
 支付的其他与经营活动有关的现金(万元),10504,8362,6482,4922,5187,4724,4204,4724,3030,3032, 
 经营活动现金流出小计(万元),507654,404898,353174,367455,440894,401754,520410,588314,406274,264095, 
 经营活动产生的现金流量净额(万元),50673,32246,23529,4636,24971,18307,18244,39369,20112,21744, 
 收回投资所收到的现金(万元),57900,55151,60000,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),2055,2493,2250,533,353,291,358,21,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1333,2444,15,10,216,246,9,192,0,16, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),31,3668,821,799,524,507,1041,437,203,570, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),61319,63756,63085,1342,1094,1044,1409,650,203,586, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),39028,21540,27198,29952,10311,9740,3191,4856,12080,14185, 
 投资所支付的现金(万元),31337,88036,62131,62502,5499,1291,--,--,--,2000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),2097,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),45,25,--,290,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),72507,109601,89329,92744,15810,11031,3191,4856,12080,16185, 
 投资活动产生的现金流量净额(万元),-11188,-45845,-26243,-91402,-14716,-9987,-1782,-4205,-11877,-15599, 
 吸收投资收到的现金(万元),--,--,--,101810,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),29781,--,--,2208,40025,33648,58250,78351,57184,41976, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,3800,--,5000,--,8500,1500, 
 筹资活动现金流入小计(万元),29781,0,0,104018,43825,33648,63250,78351,65684,43476, 
 偿还债务支付的现金(万元),25181,--,--,2208,45474,51668,70472,72661,50184,38176, 
 分配股利、利润或偿付利息所支付的现金(万元),36669,4680,4000,5260,5096,4664,6197,6584,9462,4492, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,1500,--,--,5040,--,8990,3007, 
 筹资活动现金流出小计(万元),61850,4680,4000,8968,50570,56331,81709,79245,68636,45676, 
 筹资活动产生的现金流量净额(万元),-32069,-4680,-4000,95050,-6745,-22683,-18459,-894,-2952,-2200, 
 汇率变动对现金及现金等价物的影响(万元),213,-248,272,100,-92,190,-231,709,40,-10, 
 现金及现金等价物净增加额(万元),7628,-18527,-6442,8384,3418,-14173,-2228,34979,5324,3935, 
 加:期初现金及现金等价物余额(万元),36538,55065,61507,53123,49705,63878,66105,31127,25803,21868, 
 期末现金及现金等价物余额(万元),44166,36538,55065,61507,53123,49705,63878,66105,31127,25803, 
 净利润(万元),38625,35142,25360,22160,26414,23173,22606,23167,23799,20136, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),3354,287,194,560,96,366,89,309,153,-129, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),8787,5785,5547,4378,4508,4261,4292,4190,2183,1571, 
 无形资产摊销(万元),280,181,191,171,169,137,80,79,79,79, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-323,-71,17,-2,55,-70,29,62,1,-1, 
 固定资产报废损失(万元),0,353,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),24,-107,-19,57,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),504,191,-307,-889,154,281,2179,1928,1093,562, 
 投资损失(万元),1449,-2802,-2639,-900,-446,-410,-309,-410,-279,14, 
