 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),493462,272619,87546,187248,194395,113174,125196,83328,81131,66539,68190,52410, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),1794,2457,2954,2691,870,--,--,--,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,80,0,0, 
 收到的其他与经营活动有关的现金(万元),10615,16862,3008,4788,1672,3431,4697,2518,4105,3070,1505,1529, 
 经营活动现金流入小计(万元),505872,291938,93508,194726,196937,116605,129893,85846,85236,69688,69695,53939, 
 购买商品、接受劳务支付的现金(万元),337660,177285,77248,156023,159283,103775,101044,91872,81636,57402,58640,42093, 
 客户贷款及垫款净增加额(万元),1528,1763,1743,1993,19860,--,--,--,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),87749,42671,2766,3111,3043,2278,2118,1716,1505,1302,1198,1011, 
 支付的各项税费(万元),25329,13341,4901,9677,4239,2330,4620,2418,4500,2742,2259,4088, 
 支付的其他与经营活动有关的现金(万元),31883,30936,4143,6116,11358,11300,11471,6841,7735,3599,3829,4071, 
