 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),40762,43316,45861,33695,19157,8475, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),685,3512,5109,1083,764,322, 
 收到的其他与经营活动有关的现金(万元),6155,3162,3960,1464,1628,466, 
 经营活动现金流入小计(万元),47601,49990,54930,36242,21549,9264, 
 购买商品、接受劳务支付的现金(万元),35711,23810,38684,31267,8417,5725, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12131,10109,10114,7413,4092,2431, 
 支付的各项税费(万元),999,1574,2250,2438,314,786, 
 支付的其他与经营活动有关的现金(万元),6322,5643,2938,2484,2488,2242, 
 经营活动现金流出小计(万元),55163,41136,53986,43602,15311,11184, 
 经营活动产生的现金流量净额(万元),-7562,8854,944,-7360,6238,-1920, 
 收回投资所收到的现金(万元),--,--,52000,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,63,5,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),608,0,--,25,5,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,117,--,--, 
 收到的其他与投资活动有关的现金(万元),11479,15122,1218,3475,60,500, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),12087,15123,53218,3681,70,500, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),11672,4962,4829,7331,7989,288, 
 投资所支付的现金(万元),8150,3000,27000,25000,3000,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),11000,15000,--,2415,270,550, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),30822,22962,31829,34746,11259,838, 
 投资活动产生的现金流量净额(万元),-18735,-7839,21390,-31066,-11190,-338, 
 吸收投资收到的现金(万元),1,22044,0,44460,876,4090, 
 其中：子公司吸收少数股东投资收到的现金(万元),1,--,0,245,--,865, 
 取得借款收到的现金(万元),18351,--,--,--,4000,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,2000,500, 
 筹资活动现金流入小计(万元),18352,22044,0,44460,6876,4590, 
 偿还债务支付的现金(万元),--,--,--,4000,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),2276,--,--,169,74,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,1107,--,2000,--,5500, 
 筹资活动现金流出小计(万元),2276,1107,0,6169,74,5500, 
 筹资活动产生的现金流量净额(万元),16076,20937,0,38291,6802,-910, 
 汇率变动对现金及现金等价物的影响(万元),32,-935,309,315,4,-18, 
