 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),231919,221568,213115,201617,186381,189920,169551, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),403,113,14,1733,1372,4086,2246, 
 收到的其他与经营活动有关的现金(万元),5952,3919,5735,3695,5353,4236,18866, 
 经营活动现金流入小计(万元),238274,225600,218864,207045,193106,198242,190663, 
 购买商品、接受劳务支付的现金(万元),128950,89151,82903,87238,83218,97880,88774, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),70755,66314,59565,60052,54794,50640,47761, 
 支付的各项税费(万元),19698,22370,22048,19015,17323,19409,19611, 
 支付的其他与经营活动有关的现金(万元),24695,21410,19444,17755,16428,12149,14894, 
 经营活动现金流出小计(万元),244098,199245,183959,184060,171762,180077,171039, 
 经营活动产生的现金流量净额(万元),-5824,26355,34905,22985,21344,18164,19624, 
 收回投资所收到的现金(万元),449566,110609,--,2500,2000,--,--, 
 取得投资收益所收到的现金(万元),1463,792,156,24,75,60,76, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),305,988,1502,20,115,549,792, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,592,300,195, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),451334,112389,1658,2544,2781,909,1063, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),26348,10155,5846,4997,9378,9399,22932, 
